figure,title,source,path,sha256,bytes,width,height,decodable
01_static_seed_conditional_ci.png,每个训练 seed 的静态 FTV 配对增益,conditional_seed_bootstrap_ci,additional_experiments/g3_multiseed_generalization/figures/final/01_static_seed_conditional_ci.png,3114ea3dd6e030abc5964625ee9720d4ba05d94aea6d6ba6d273d5ae3c25973e,38900,1156,637,True
02_dynamic_seed_conditional_ci.png,每个训练 seed 的观测 ΔFTV 配对增益,conditional_seed_bootstrap_ci,additional_experiments/g3_multiseed_generalization/figures/final/02_dynamic_seed_conditional_ci.png,a510f161aa316d3104cb4ae2efd330769834d7fe5e621c8a06d8401b7783cfdc,42034,1156,637,True
03_base_degradation_heatmap.png,seed×fold 基础损失退化,seed_fold_effects,additional_experiments/g3_multiseed_generalization/figures/final/03_base_degradation_heatmap.png,b010811b998213acaebbcca8d71752d57517c310437399a644a950b06a11e8ad,57596,1000,767,True
04_dynamic_gain_heatmap.png,seed×fold 动态增益,seed_fold_effects,additional_experiments/g3_multiseed_generalization/figures/final/04_dynamic_gain_heatmap.png,afb3ed914d0fd2d4357d4575ab680fb2e4ce66d3e00b2d25a8994242cabc4dc7,57123,1001,767,True
05_fold3_base_degradation.png,fold 3 基础损失退化,seed_fold_effects,additional_experiments/g3_multiseed_generalization/figures/final/05_fold3_base_degradation.png,fae1ce3ddf0efa4f3b642a597d889475630f35aaf6d77463b76fc9788cfaba0c,48494,1156,637,True
06_static_gain_distribution.png,静态增益分布,seed_level_robustness,additional_experiments/g3_multiseed_generalization/figures/final/06_static_gain_distribution.png,941ebd39d9a881144716d76e24dc51976eeb5850ae725e844f9b161c348e03cc,36387,1027,637,True
07_dynamic_gain_distribution.png,动态增益分布,seed_level_robustness,additional_experiments/g3_multiseed_generalization/figures/final/07_dynamic_gain_distribution.png,184ee77b3d90d58bd1f176d31fcf6366c9c4607d1e88305ee0b79f94ea834306,35599,1027,637,True
08_pcr_secondary_auroc.png,pCR 次要终点配对 AUROC,pcr_secondary_seed_metrics,additional_experiments/g3_multiseed_generalization/figures/final/08_pcr_secondary_auroc.png,60eedb754e81a4c3aa70fef8663be7f5b4be99d5c39bf55fd732a24cffd73ad3,34702,1287,637,True
09_variance_decomposition.png,seed/fold/交互方差,variance_decomposition,additional_experiments/g3_multiseed_generalization/figures/final/09_variance_decomposition.png,46c949b5735aee2bd219049860847a09e0a89f899701daabe970a539c23df5b0,39833,1287,637,True
10_fold_level_mean_sd.png,fold 层面均值与标准差,fold_level_robustness,additional_experiments/g3_multiseed_generalization/figures/final/10_fold_level_mean_sd.png,82d79cbcc3bc4d5579606a157107258fef0f4fab064817eddbd4566c1e5d268e,60925,1287,637,True
11_selected_epoch_representation_std.png,选中 epoch 与表征标准差,training_stability_seed_fold,additional_experiments/g3_multiseed_generalization/figures/final/11_selected_epoch_representation_std.png,86b1a379cb12f83f9878fd3009e0c82d816b6b9cbc143f804070b5a284fab533,56692,1807,1027,True
