kind,path,sha256,bytes,seed_base,model,fold,rows
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g1/fold_0.csv,b9e54d90b634d9e0361ccc69e38c16ec2378c4b8a7599874de5fdeb19cc3f63e,7024,2026,G1,0,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g1/fold_1.csv,c3570c7b35753effd0dcd47cec7ddb33e5b5aadedab13d41735fea7660953768,6309,2026,G1,1,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g1/fold_2.csv,e7877f906e61394cb5249d2383a27fc69eeca84c4e57b1d73168c39ba4ef7358,6331,2026,G1,2,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g1/fold_3.csv,9fb6e9473987c1cdf817e88a002c55bef35cfc0f4dd3fdfddbca1fbe19947a21,7046,2026,G1,3,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g1/fold_4.csv,c7f9849ed570f2138189ffa67de30d25c5df3ccea6b08b584f0e0a8bcce8a89f,7030,2026,G1,4,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_0.csv,bd03250eb6c8963f62c5a8f0e060458c8e8b15f5946d660a28a9f2a7c202dc19,8771,2026,G3,0,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_1.csv,dd7499e9da30e23fe5fb928cdc07e1ed6b1c14c1c89e5b4d8066effdb1e7f927,7790,2026,G3,1,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_2.csv,5939134ffeed9a463a95965e5d92127397b6e47d9492cf8cace2a3a2e425a2b6,7808,2026,G3,2,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_3.csv,11382aba1f8d396cfdf0e08d48c67e97f3aadb76e3b3ba0a83b01869b7ae21b8,8753,2026,G3,3,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_2026/g3/fold_4.csv,39cd843f511a17e91667881ba2cddc92282b981525d47dd7e3d2fef7cc3b2331,7773,2026,G3,4,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g1/fold_0.csv,cf6f1fd444a6eba9450c9e29a6254f050416ba23bbf803804e626d5700869e8b,7018,3026,G1,0,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g1/fold_1.csv,880d75fb1f6977a86d719d519953412b49e6936e406c623307bced429ef95766,7033,3026,G1,1,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g1/fold_2.csv,be6827359550af071a53f61c24c6749f5e7e5e2fbf678678d7a2db24d7dfbb6e,7004,3026,G1,2,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g1/fold_3.csv,d5ac3787c1367f0f33aa48f1327548a1df00d2c282fa0bf96e66d83671859f44,7038,3026,G1,3,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g1/fold_4.csv,25515e4548a4341d4134ae243dc37403fbdb01e469b95bd0068e48102ac88c70,7028,3026,G1,4,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_0.csv,64099646ec0d828d79543097f1f024b558741ec1322c07662ec5e237ae140110,8777,3026,G3,0,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_1.csv,c40078553e55db9c7d439e3bf023fbf63cb8cc7a06ed79eba1b60a149da6f4e9,7769,3026,G3,1,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_2.csv,737ac9e74babde3aebc5282847e43136259ff779575dacf69d8c58a565913e6f,8757,3026,G3,2,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_3.csv,898e63206f1e2ffce43e59421159c140225e0ca19a9f70f4b1afb012acdf6918,7814,3026,G3,3,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_3026/g3/fold_4.csv,562506bf7787af8c292cf72813bdf321a65857afad67e6939c7f2b794360ffb3,8733,3026,G3,4,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g1/fold_0.csv,89cdb99a5293501722954871848bbe3852b9063d16f6d1e1ec42a0caaf982e5f,7029,4026,G1,0,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g1/fold_1.csv,97ccf4fc8d5aeabb0fe9269a09c87041a5463ffca6e51c1ce096b8728e3501c5,7043,4026,G1,1,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g1/fold_2.csv,c96afad4293ef66d957eb92bc6254a2d691b97e03cd9ca658b38488f39125fc6,6316,4026,G1,2,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g1/fold_3.csv,acc3ba0f740e6417b9d23cdc2e2a9fb0b63dca1d0304640a9ffea59200d95b5c,6317,4026,G1,3,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g1/fold_4.csv,2dc70b85a4a64eee61a9b35ba12c238de7c62759558828890186ba1beb79249e,7048,4026,G1,4,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g3/fold_0.csv,5cad6a1de290b3a518ce098870b0b41397fe6c39cc1759a83392e7025de161cc,8778,4026,G3,0,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g3/fold_1.csv,3072557c7bc1de1fceb48686f4b34be1e1e9182e6907c20eae01f5afec8b4760,8767,4026,G3,1,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g3/fold_2.csv,1cad893b0b6401aafd41c6df5bae05fd7059c4b64cf72c96e0d63ecb9865d6e1,7799,4026,G3,2,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g3/fold_3.csv,5b53cb9b52bd2182a4b2e68f9c4ef6b3e5ccae9653f756b788898fa7a9777fe0,7794,4026,G3,3,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_4026/g3/fold_4.csv,5fbc55b1ccbb511f7f0e5da3856f8c9a13327b4ea1324113c3f1a8e1d1d34241,8792,4026,G3,4,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g1/fold_0.csv,55b7edc50834f1351a6752784d098c25b0b047fb99b6297b8f71cb2e28d42b8a,6323,5026,G1,0,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g1/fold_1.csv,6aa848ac3de45d743d76646bb0b489aa087add080f4d40677f614a9529988b5e,6305,5026,G1,1,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g1/fold_2.csv,d85a2c7623ec0180351a09e55cc2885aa097cb5986cabd1b1841e6aed25c2a2f,6315,5026,G1,2,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g1/fold_3.csv,6cea36644624f5b9eea8cc83e4e0d11398bcbadf5935443dac80321f88a6241b,6318,5026,G1,3,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g1/fold_4.csv,1a58fc13598d18e4f1ffdbf61127b3c8b036d1dc9f8501b71248a483b57404e7,6309,5026,G1,4,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g3/fold_0.csv,3c6730fe14fa8bb5373f6720ca6c482699e682e2b56628d4fe17c69661025cb9,7807,5026,G3,0,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g3/fold_1.csv,a64975dea29fcec350190e359e07faef98daa32e65fe4901d47e27240e48f3a2,7786,5026,G3,1,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g3/fold_2.csv,13bdab8ddb15ce5583a72107341566360bf5c5f483ce5f0fa5107bf46e4f499c,7777,5026,G3,2,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g3/fold_3.csv,6f63bee0c1d88dec0b9ed2040fa349684e9b24ecc96c172b0a21b4eed4b1014f,7795,5026,G3,3,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_5026/g3/fold_4.csv,0cc53d31249e212d102e13dd9a75b41e1d346abdbd697e73ca2d9c9a98341232,7801,5026,G3,4,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g1/fold_0.csv,2e281af76f336b68166d6c9ea19d30de09520768796d3484fc22101cc565f449,7046,6026,G1,0,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g1/fold_1.csv,87b494805c44efcc8c899bc2e9324870cf0e621b7406643b64f23fd472e4c741,6317,6026,G1,1,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g1/fold_2.csv,7365614b57556e7e7e9ea56d4cd14ace73eb080abeaf8e91cdf87544bff3b1d1,7046,6026,G1,2,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g1/fold_3.csv,6ffdb334ee14fa40c5660b9d7e72807ac35718840474486334ca66700e3da816,6300,6026,G1,3,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g1/fold_4.csv,5636cf63523c8a2a3bf20d6060c026f72e5a25370544ea9ac618907cac0d85ef,7058,6026,G1,4,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g3/fold_0.csv,bd7bd643af02fc05777c9a000da6bdf47fa33edffbe27f4d90a3eb6509c07c4c,8764,6026,G3,0,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g3/fold_1.csv,4491a70ea10de40ed06fd15b3b0af7daa671ac00fa8f3486d2c52b882d424c2a,7805,6026,G3,1,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g3/fold_2.csv,0625d137c35e4ad4f06ccc316968235762d14c49850160aed3e37149e59d6ac0,8765,6026,G3,2,7
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g3/fold_3.csv,599b9085384db4c0282182428c426973d433c7897bff0979af4010d0fa6d6a13,7812,6026,G3,3,6
training_history,additional_experiments/g3_multiseed_generalization/metrics/training/formal/seed_6026/g3/fold_4.csv,839f6b914d053142dd50f147e7be793682378d307df5a067bc81f4a2aabafa62,8773,6026,G3,4,7
