seed_base,decision_point,g1_auroc,g3_auroc,delta_auroc,g1_auprc,g3_auprc,delta_auprc,g1_accuracy,g3_accuracy,delta_accuracy,g1_sensitivity,g3_sensitivity,delta_sensitivity,g1_specificity,g3_specificity,delta_specificity,n_patients
2026,T0,0.5159542896128262,0.5148081187105578,-0.0011461709022684285,0.345942091574005,0.3469646549232339,0.0010225633492289,0.5,0.5,0.0,0.4690909090909091,0.5818181818181818,0.11272727272727268,0.5159474671669794,0.45778611632270166,-0.058161350844277704,808
2026,T0-T1,0.5384751833532321,0.5449701517994201,0.006494968446188021,0.381783976983923,0.38595401657478945,0.004170039590866426,0.5185643564356436,0.5297029702970297,0.011138613861386149,0.49454545454545457,0.5490909090909091,0.05454545454545451,0.5309568480300187,0.5196998123827392,-0.011257035647279534,808
2026,T0-T2,0.5412382739212007,0.5397100460515094,-0.001528227869691312,0.3674774292173514,0.370771939459972,0.0032945102426206185,0.5086633663366337,0.5445544554455446,0.03589108910891092,0.6072727272727273,0.5163636363636364,-0.09090909090909094,0.45778611632270166,0.5590994371482176,0.10131332082551597,808
3026,T0,0.5071123997953266,0.5188060719768036,0.011693672181476988,0.3466393560363126,0.3563010509780644,0.009661694941751842,0.5074257425742574,0.5853960396039604,0.07797029702970293,0.48727272727272725,0.27636363636363637,-0.21090909090909088,0.5178236397748592,0.7448405253283302,0.227016885553471,808
3026,T0-T1,0.5363738700324066,0.5355074194098585,-0.0008664506225480872,0.3638858682156052,0.37106356388314743,0.007177695667542228,0.5198019801980198,0.5544554455445545,0.034653465346534684,0.5345454545454545,0.5272727272727272,-0.0072727272727273196,0.5121951219512195,0.5684803001876173,0.05628517823639778,808
3026,T0-T2,0.546764455057138,0.546641651031895,-0.00012280402524300627,0.38351363175535147,0.3784357261422831,-0.0050779056130683675,0.5445544554455446,0.5631188118811881,0.01856435643564347,0.4727272727272727,0.5418181818181819,0.06909090909090915,0.5816135084427767,0.574108818011257,-0.007504690431519689,808
4026,T0,0.5084905338563875,0.5084905338563874,-1.1102230246251565e-16,0.3440590994902407,0.3405183364886178,-0.0035407630016229263,0.4504950495049505,0.5136138613861386,0.06311881188118812,0.6290909090909091,0.4618181818181818,-0.16727272727272735,0.35834896810506567,0.5403377110694184,0.18198874296435275,808
4026,T0-T1,0.5474808118710557,0.5262698277332423,-0.021210984137813416,0.37730722773455505,0.37180120400257943,-0.005506023731975618,0.49876237623762376,0.5210396039603961,0.022277227722772297,0.5309090909090909,0.43272727272727274,-0.09818181818181815,0.4821763602251407,0.5666041275797373,0.08442776735459662,808
4026,T0-T2,0.5262698277332424,0.5357462050144977,0.009476377281255277,0.3690602313081705,0.3773770583716446,0.008316827063474086,0.5272277227722773,0.5247524752475248,-0.0024752475247524774,0.48727272727272725,0.4909090909090909,0.0036363636363636598,0.5478424015009381,0.5422138836772983,-0.0056285178236398226,808
5026,T0,0.4813644891693672,0.5042469725396554,0.022882483370288254,0.3406223579863795,0.35534295275398287,0.014720594767603346,0.4715346534653465,0.5297029702970297,0.05816831683168322,0.5527272727272727,0.4509090909090909,-0.10181818181818181,0.42964352720450283,0.5703564727954972,0.14071294559099434,808
5026,T0-T1,0.5471738018079482,0.5489612826198192,0.0017874808118710783,0.3783030406716459,0.3796527400813433,0.0013496994096974246,0.525990099009901,0.5866336633663366,0.060643564356435586,0.44727272727272727,0.38545454545454544,-0.06181818181818183,0.5666041275797373,0.6904315196998124,0.1238273921200751,808
5026,T0-T2,0.558212519188129,0.5645164591506056,0.006303939962476579,0.3846933192369629,0.39523530172336796,0.010541982486405033,0.5581683168316832,0.5693069306930693,0.011138613861386037,0.5018181818181818,0.4581818181818182,-0.04363636363636364,0.5872420262664165,0.626641651031895,0.039399624765478425,808
6026,T0,0.5523383933140031,0.5416749104553983,-0.010663482858604856,0.39405153768493906,0.3714681845949428,-0.02258335308999626,0.5321782178217822,0.5668316831683168,0.03465346534653457,0.5854545454545454,0.4727272727272727,-0.11272727272727273,0.5046904315196998,0.6153846153846154,0.11069418386491559,808
6026,T0-T1,0.5717891864233328,0.5520586730342828,-0.019730513389049964,0.3923373330573519,0.39704198974314925,0.004704656685797337,0.5705445544554455,0.5594059405940595,-0.011138613861386037,0.5272727272727272,0.3927272727272727,-0.13454545454545452,0.5928705440900562,0.6454033771106942,0.05253283302063794,808
6026,T0-T2,0.5186286883847859,0.5854340781170049,0.06680538973221894,0.34775530358993506,0.39553361349759464,0.04777830990765958,0.5297029702970297,0.5717821782178217,0.042079207920792006,0.49818181818181817,0.4218181818181818,-0.07636363636363636,0.5459662288930581,0.649155722326454,0.1031894934333959,808
