seed_base,model,decision_point,n,n_patients,n_folds,positive,auroc,auprc,accuracy,sensitivity,specificity
2026,G1,T0,808,808,5,275,0.5159542896128262,0.345942091574005,0.5,0.4690909090909091,0.5159474671669794
2026,G1,T0-T1,808,808,5,275,0.5384751833532321,0.381783976983923,0.5185643564356436,0.49454545454545457,0.5309568480300187
2026,G1,T0-T2,808,808,5,275,0.5412382739212007,0.3674774292173514,0.5086633663366337,0.6072727272727273,0.45778611632270166
2026,G3,T0,808,808,5,275,0.5148081187105578,0.3469646549232339,0.5,0.5818181818181818,0.45778611632270166
2026,G3,T0-T1,808,808,5,275,0.5449701517994201,0.38595401657478945,0.5297029702970297,0.5490909090909091,0.5196998123827392
2026,G3,T0-T2,808,808,5,275,0.5397100460515094,0.370771939459972,0.5445544554455446,0.5163636363636364,0.5590994371482176
3026,G1,T0,808,808,5,275,0.5071123997953266,0.3466393560363126,0.5074257425742574,0.48727272727272725,0.5178236397748592
3026,G1,T0-T1,808,808,5,275,0.5363738700324066,0.3638858682156052,0.5198019801980198,0.5345454545454545,0.5121951219512195
3026,G1,T0-T2,808,808,5,275,0.546764455057138,0.38351363175535147,0.5445544554455446,0.4727272727272727,0.5816135084427767
3026,G3,T0,808,808,5,275,0.5188060719768036,0.3563010509780644,0.5853960396039604,0.27636363636363637,0.7448405253283302
3026,G3,T0-T1,808,808,5,275,0.5355074194098585,0.37106356388314743,0.5544554455445545,0.5272727272727272,0.5684803001876173
3026,G3,T0-T2,808,808,5,275,0.546641651031895,0.3784357261422831,0.5631188118811881,0.5418181818181819,0.574108818011257
4026,G1,T0,808,808,5,275,0.5084905338563875,0.3440590994902407,0.4504950495049505,0.6290909090909091,0.35834896810506567
4026,G1,T0-T1,808,808,5,275,0.5474808118710557,0.37730722773455505,0.49876237623762376,0.5309090909090909,0.4821763602251407
4026,G1,T0-T2,808,808,5,275,0.5262698277332424,0.3690602313081705,0.5272277227722773,0.48727272727272725,0.5478424015009381
4026,G3,T0,808,808,5,275,0.5084905338563874,0.3405183364886178,0.5136138613861386,0.4618181818181818,0.5403377110694184
4026,G3,T0-T1,808,808,5,275,0.5262698277332423,0.37180120400257943,0.5210396039603961,0.43272727272727274,0.5666041275797373
4026,G3,T0-T2,808,808,5,275,0.5357462050144977,0.3773770583716446,0.5247524752475248,0.4909090909090909,0.5422138836772983
5026,G1,T0,808,808,5,275,0.4813644891693672,0.3406223579863795,0.4715346534653465,0.5527272727272727,0.42964352720450283
5026,G1,T0-T1,808,808,5,275,0.5471738018079482,0.3783030406716459,0.525990099009901,0.44727272727272727,0.5666041275797373
5026,G1,T0-T2,808,808,5,275,0.558212519188129,0.3846933192369629,0.5581683168316832,0.5018181818181818,0.5872420262664165
5026,G3,T0,808,808,5,275,0.5042469725396554,0.35534295275398287,0.5297029702970297,0.4509090909090909,0.5703564727954972
5026,G3,T0-T1,808,808,5,275,0.5489612826198192,0.3796527400813433,0.5866336633663366,0.38545454545454544,0.6904315196998124
5026,G3,T0-T2,808,808,5,275,0.5645164591506056,0.39523530172336796,0.5693069306930693,0.4581818181818182,0.626641651031895
6026,G1,T0,808,808,5,275,0.5523383933140031,0.39405153768493906,0.5321782178217822,0.5854545454545454,0.5046904315196998
6026,G1,T0-T1,808,808,5,275,0.5717891864233328,0.3923373330573519,0.5705445544554455,0.5272727272727272,0.5928705440900562
6026,G1,T0-T2,808,808,5,275,0.5186286883847859,0.34775530358993506,0.5297029702970297,0.49818181818181817,0.5459662288930581
6026,G3,T0,808,808,5,275,0.5416749104553983,0.3714681845949428,0.5668316831683168,0.4727272727272727,0.6153846153846154
6026,G3,T0-T1,808,808,5,275,0.5520586730342828,0.39704198974314925,0.5594059405940595,0.3927272727272727,0.6454033771106942
6026,G3,T0-T2,808,808,5,275,0.5854340781170049,0.39553361349759464,0.5717821782178217,0.4218181818181818,0.649155722326454
