seed_base,fold,dS_sf,dD_sf,D,base_pass,g1_val_state_loss,g3_val_state_loss,g1_selected_epoch,g3_selected_epoch,g1_representation_std,g3_representation_std
2026,0,0.05154366094263796,0.04732675678967235,-0.017720047590904522,True,0.1015323326607381,0.09973317489397428,3,3,0.6319660544395447,0.6447945237159729
2026,1,0.015923058504270227,0.05580386835874113,-0.02949393401749714,True,0.09263990400743878,0.08990758879125611,2,2,0.21197949349880219,0.2226199358701706
2026,2,0.06710465555602196,0.08789863285896204,0.011640441859720973,True,0.07882440336479628,0.07974195424929138,2,2,0.22967956960201263,0.2385825663805008
2026,3,0.08115473663901218,0.09208523592085233,0.09591459634646021,False,0.10232721761731077,0.11214189139033152,3,3,0.6672537922859192,0.6809554100036621
2026,4,0.06325807431406305,0.0834666396679154,0.026410691138852194,True,0.1147982580972112,0.11783015943509488,3,2,0.641959011554718,0.49148738384246826
3026,0,0.014760686883449003,0.012605042016806789,0.03359474854079419,True,0.08238351418952311,0.08515116763262709,3,3,0.7102939486503601,0.6600756645202637
3026,1,0.08433434432117487,0.07993455183973186,0.01852378510188273,True,0.1120681402481292,0.1141440663948532,3,2,0.6656420230865479,0.5468807816505432
3026,2,0.08510872759330002,0.08257419923596832,0.01414303318955151,True,0.11975808133763716,0.12145182385671237,3,3,0.6313130259513855,0.6367073059082031
3026,3,0.041481767316226104,0.11186142731579735,0.1806212022682326,False,0.04783950284246571,0.056480331361786394,3,2,0.2557015120983124,0.1794731765985489
3026,4,0.12418244406196216,0.06663966791535894,-0.008130606681864936,True,0.09824661417933535,0.09744780960161824,3,3,0.6040292382240295,0.5603751540184021
4026,0,0.04122214103032518,0.09369138959931794,0.049757255801417544,True,0.0933449785571453,0.09798956853299101,3,3,0.5918132662773132,0.5820637345314026
4026,1,0.02305650889935351,0.11168755154707743,0.02153710099458866,True,0.08262574531076368,0.08440526433227476,3,3,0.5771510004997253,0.5498549938201904
4026,2,0.06114877628982829,0.02196941074402131,0.03376850904428556,True,0.08004519374163682,0.08274820059045288,2,2,0.24196402728557587,0.26739051938056946
4026,3,0.0436121293973889,0.08833365489742112,0.01583585226945384,True,0.07225776993292422,0.0734020333029022,2,2,0.28728798031806946,0.30617034435272217
4026,4,0.04401640174141952,0.07993655293442675,0.029739095042268605,True,0.07951895818730031,0.08188378004249462,3,3,0.6481199860572815,0.6539222598075867
5026,0,0.07859883083668262,0.050846425526732464,0.05713509245465899,False,0.051686144903425345,0.05463923757110745,2,2,0.11776179075241089,0.18971602618694305
5026,1,0.06620640114933352,0.06905313007156733,0.08276305393502463,False,0.08312595026059584,0.09000570776541371,2,2,0.20858730375766754,0.2424040287733078
5026,2,0.10034738256160536,-0.018212221709136167,0.05353217486150229,False,0.11147707940872051,0.11744468991667771,2,2,0.3737632930278778,0.39694729447364807
5026,3,0.05215769502861922,0.09128132570154565,-0.04274081666189637,True,0.11134369006334258,0.10658476981988624,2,2,0.5224664807319641,0.42682668566703796
5026,4,0.025802369140427217,0.16814147345685268,0.021283980679209898,True,0.11843865882020352,0.12095950494620426,2,2,0.48390984535217285,0.49337515234947205
6026,0,0.05299598100109615,0.15190597978321763,0.043706575072533775,True,0.09608663766344716,0.10028625550595197,3,3,0.6468266844749451,0.6372418403625488
6026,1,0.05671841328118765,0.08814217681645253,0.06755748443985736,False,0.06993125847055892,0.07465563837654335,2,2,0.20435060560703278,0.2435813546180725
6026,2,-0.0028441291297595095,0.06384422708254628,0.08776441030735249,False,0.08488065780194337,0.09233015868043111,3,3,0.38286924362182617,0.4584830105304718
6026,3,0.02389221171779532,0.06687461144339396,0.014543066739633936,True,0.08628127877869882,0.0875360731743584,2,2,0.307605117559433,0.3173433840274811
6026,4,0.07134757517464807,0.17284600587222831,0.14883098027785757,False,0.038304715979197795,0.04400564440764672,3,3,0.14495839178562164,0.23202945291996002
