endpoint,column,n_seeds,finite_seeds,verifiable,mean,sample_sd,minimum,median,maximum,positive_n,positive_rate,t_critical,t_ci_low,t_ci_high,exact_sign_test_p_two_sided,clopper_pearson_positive_rate_low,clopper_pearson_positive_rate_high,used_for_R1,used_for_R2
primary_static_spearman,dS,5,5,True,0.05715207142308297,0.012842229626986756,0.041952981174642634,0.061048043967619314,0.07012268314054398,5,1.0,2.7764451051977987,0.04120633723858773,0.07309780560757821,0.0625,0.4781762498950185,1.0,True,False
primary_dynamic_spearman,dD,5,5,True,0.0894245382485683,0.017554523080711582,0.07597610649675735,0.08329153866575645,0.11987939469791786,5,1.0,2.7764451051977987,0.06762771893361166,0.11122135756352494,0.0625,0.4781762498950185,1.0,False,True
descriptive_dynamic_r2,dD_R2,5,5,True,0.06044979718979264,0.00843317623892467,0.053273794279613804,0.055771360291026625,0.07242623869173083,5,1.0,2.7764451051977987,0.04997862586341243,0.07092096851617286,0.0625,0.4781762498950185,1.0,False,False
secondary_pcr_longitudinal_auroc,pcr_longitudinal_delta_auroc,5,5,True,0.004740917618966412,0.011167299388913511,-0.005867303428279069,0.0024833702882483544,0.02353743817158449,3,0.6,2.7764451051977987,-0.009125115989410416,0.018606951227343238,1.0,0.14663279963467313,0.9472550494736831,False,False
secondary_pcr_longitudinal_auprc,pcr_longitudinal_delta_auprc,5,5,True,0.007674979170901874,0.010564672892328158,0.00104989502723693,0.003732274916743522,0.026241483296728457,5,1.0,2.7764451051977987,-0.005442794812301257,0.020792753154105004,0.0625,0.4781762498950185,1.0,False,False
secondary_pcr_T0_auroc,pcr_T0_delta_auroc,5,5,True,0.0045533003581783695,0.012958692718918422,-0.010663482858604856,-1.1102230246251565e-16,0.022882483370288254,2,0.4,2.7764451051977987,-0.011537041854687916,0.020643642571044653,1.0,0.052744950526316906,0.8533672003653268,False,False
secondary_pcr_T0_auprc,pcr_T0_delta_auprc,5,5,True,-0.00014385260660702004,0.014435470782257306,-0.02258335308999626,0.0010225633492289,0.014720594767603346,3,0.6,2.7764451051977987,-0.018067856974058282,0.01778015176084424,1.0,0.14663279963467313,0.9472550494736831,False,False
secondary_pcr_T0_T1_auroc,pcr_T0_T1_delta_auroc,5,5,True,-0.006705099778270473,0.012850463327817578,-0.021210984137813416,-0.0008664506225480872,0.006494968446188021,2,0.4,2.7764451051977987,-0.022661057452659325,0.00925085789611838,1.0,0.052744950526316906,0.8533672003653268,False,False
secondary_pcr_T0_T1_auprc,pcr_T0_T1_delta_auprc,5,5,True,0.0023792135243855595,0.0048702423111428965,-0.005506023731975618,0.004170039590866426,0.007177695667542228,4,0.8,2.7764451051977987,-0.0036679910158892814,0.0084264180646604,0.375,0.2835820638819105,0.9949492366205319,False,False
secondary_pcr_T0_T2_auroc,pcr_T0_T2_delta_auroc,5,5,True,0.016186935016203295,0.028656446560317104,-0.001528227869691312,0.006303939962476579,0.06680538973221894,3,0.6,2.7764451051977987,-0.01939474299419261,0.0517686130265992,1.0,0.14663279963467313,0.9472550494736831,False,False
secondary_pcr_T0_T2_auprc,pcr_T0_T2_delta_auprc,5,5,True,0.01297074481741819,0.020362390100015434,-0.0050779056130683675,0.008316827063474086,0.04777830990765958,4,0.8,2.7764451051977987,-0.012312501887151767,0.03825399152198815,0.375,0.2835820638819105,0.9949492366205319,False,False
