kind,path,sha256,bytes,seed_base,model,fold
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g1/fold_0/selection.json,8e0aed821c1b4707f8663a3884aa75b23b35f2659b83bb58ecf312dc9790ef07,4036,2026,G1,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g1/fold_1/selection.json,8ad6a1f5954a365c4d9a11d761a4e441d1967336442eb0e16837efa350672d75,3602,2026,G1,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g1/fold_2/selection.json,8d7031360d937b6d08c5e9d36d9443076911cb7ea8e493f8f08521b61c419443,3605,2026,G1,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g1/fold_3/selection.json,6bd7ef68f5206d29d132841972479e36564f7efc41546fd5c3a2d9873f164142,4049,2026,G1,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g1/fold_4/selection.json,46de6df62549e81be71096c2898fc12fef4772a0affd3278dd7a7cba5cea3013,4035,2026,G1,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_0/selection.json,1b7132698c6a4565ad4048633b1c05b306746cd40227a0e098c1281413a71484,4440,2026,G3,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_1/selection.json,fd3019f7e2f97004cb4a575ca2de178daad79b3238d5d2e63d881b9c86b5b198,3987,2026,G3,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_2/selection.json,ab67daf1a67951fdb4cdd397b3e6c4c7e30c9bbe617817e62625aa16d90af458,3985,2026,G3,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_3/selection.json,6bff51b2310e7277c5b8b64c4e8d36108b0b9d59cbae760ac391ccf682295332,4469,2026,G3,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_2026/g3/fold_4/selection.json,764bdeb8128d28ccfedf6430c09603ff0067cb837e72b90426e5a4026892d63f,3991,2026,G3,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g1/fold_0/selection.json,42a3217428aca8287faf1ecc3da88193b9f2b747ca45eb27efbd8b7d52b342e1,4041,3026,G1,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g1/fold_1/selection.json,985aa4d5eacf6ad45da7539d407ca508e8b45eeea6332017f8d9b7185d0609d4,4034,3026,G1,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g1/fold_2/selection.json,18080a07c710ec6a97338c20885e70d5620527ef96763eff63e48e30799695fa,4038,3026,G1,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g1/fold_3/selection.json,191bc4050958d499c7dd7cb850e6cc07e363333c34022572103765a2f8a7c69c,4046,3026,G1,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g1/fold_4/selection.json,75c0cc118058e0f838e601150430e762f69a493cb4af7954e1258182ded4de43,4043,3026,G1,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_0/selection.json,e578337371e1234bb6cd659805417e27ae69082dbacba5445ac3f178e99214db,4449,3026,G3,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_1/selection.json,24f2e6f2daf01597951046ce652246e91a4bccba6deb9eedced6f93b5e1d6329,3980,3026,G3,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_2/selection.json,c6f6f8b4d6f37a0a2e7887b5aa12a37bb40b415a561952c4deec5adf15e01837,4442,3026,G3,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_3/selection.json,003f1bb45644ed92a301672498fd14fbbde9f26f92c0d4b9bb210e8a049765fb,4021,3026,G3,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_3026/g3/fold_4/selection.json,d73fb444b533ada17f9bf877024e1cdc0b58604ca3dd9b987b460b211faf886f,4446,3026,G3,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g1/fold_0/selection.json,d68438ce3ccac72de80fcba3e78502c8cb4a8911b562fdcb61d3b7a6861dddd0,4042,4026,G1,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g1/fold_1/selection.json,bc92a95c6416735cf03d05a3d1b1d3678da6a9da3dd6263e92981116bd1f869e,4046,4026,G1,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g1/fold_2/selection.json,dd2d44d18b0cbafacad1917257eb96520cf90af965fd6f5d54691ea44317bdfa,3604,4026,G1,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g1/fold_3/selection.json,e48edc4ebf1f28293acfb4819b7ef425f03c1572af9f4dcb65a0f87a87b0743d,3601,4026,G1,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g1/fold_4/selection.json,ec6039fec117355c49721a7c553fa47cb4c8feb58128bbb8a4c515336b733ac0,4049,4026,G1,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g3/fold_0/selection.json,f26db3101005bd3d188a12253d77bf6811d161d71898572eceb1de9b9e0e1c28,4453,4026,G3,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g3/fold_1/selection.json,03bf0d1c0323aac0d64e9807a583c37e750b89fdf0ac1ea11214df5c2378165f,4451,4026,G3,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g3/fold_2/selection.json,6ee2311a36c516ceb9750b2343b0e8beaac6e298afa2a6e4a05a209d59332a76,3993,4026,G3,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g3/fold_3/selection.json,555b3ced46f6c33c0aa22245f002efc7d2643bbdc88855afa35821ff285c18fc,3990,4026,G3,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_4026/g3/fold_4/selection.json,22a8fb18ccd955b62d529673db10a370ec1930dc82339c72d082860190c7b674,4452,4026,G3,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g1/fold_0/selection.json,d008f0f7016f9d92e3b067281e6da2a84b7c5a8e61ae6a13b1046038ae544a43,3607,5026,G1,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g1/fold_1/selection.json,a9a0b08670670536b8740287bf1eec99e4ac654effeaac28bbc81afbc804c474,3597,5026,G1,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g1/fold_2/selection.json,f984a1d7a33dc2edadcbb72de507acb829e654d4ff4bfbbf56d9a259707635d5,3603,5026,G1,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g1/fold_3/selection.json,778c9547db3da3fa27f64845c5e183fb0a2b53ca9a84b47c328c5a29d516db32,3602,5026,G1,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g1/fold_4/selection.json,98c02234840936c35981d065a88c3ac45eed97f9360aee9631565e4869821220,3600,5026,G1,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g3/fold_0/selection.json,70d790eae48619e98349fa8d51abe7a56a94911487c9c4801df71397da3bbf3c,4013,5026,G3,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g3/fold_1/selection.json,bc9b8918ea872480398972e5f8cac7f0d2cc2f08c66f8ec517dc96caf4709b37,4006,5026,G3,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g3/fold_2/selection.json,3a0d37a13eb1f911dafa85a0675e055929b3be9d25ed1deeaaeef7ee8c90d987,4006,5026,G3,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g3/fold_3/selection.json,b50ea8ad455e38db8d960728aedeb2bd0ab750d2b4ed5c7106de4cf2381bc044,3989,5026,G3,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_5026/g3/fold_4/selection.json,5df0d4939f250f31cf156181191346fb01fc71646f4a80a90e02a5ea91f4a1ea,3991,5026,G3,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_6026/g1/fold_0/selection.json,a68dd3cf7f2a4b43f6aaecf33044ec3151d35c8ca427841a8ffdf67a9b33a46b,4045,6026,G1,0
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_6026/g1/fold_1/selection.json,358f63771f38aec766343c880e21772d179c64258eb7dfa15736e32a61647ee6,3602,6026,G1,1
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_6026/g1/fold_2/selection.json,88f557d0d6c04769a7475f5ff254514630410295823b51a779a91567404bcf58,4048,6026,G1,2
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_6026/g1/fold_3/selection.json,b9a17b34718b57a050c50c523085cd109a23592f175bde3ad1792015d9c848bf,3598,6026,G1,3
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_6026/g1/fold_4/selection.json,6d0d4cee4da47c9ad36ceafe5c2172644f48a82763520a70e6a8429996251ca4,4049,6026,G1,4
training_selection,additional_experiments/g3_multiseed_generalization/checkpoints/formal/seed_6026/g3/fold_0/selection.json,c786b31fbde992652e1e824a4e3686e17cf0ccbd5454d4581130b1a97cd47ddb,4451,6026,G3,0
