seed_base,fold,task,comparison,left_arm,right_arm,effect_spearman,effect_pearson,effect_r2,effect_rmse,effect_mae,effect_b0_rmse,effect_rmse_gain_over_b0,effect_prediction_target_variance_ratio,effect_calibration_slope,effect_calibration_intercept,effect_calibration_mean_bias
2026,0,static,LOCAL0-GAP0,LOCAL0,GAP0,0.300401899890391,0.053287209778399514,0.0400006603161016,-0.9725671047695883,-2.0989713416850044,0.0,0.021139748151321726,0.0384479988909809,0.040131498660118,-1.1556894507763174,-0.0051315925986692434
2026,0,static,LG0-LOCAL0,LG0,LOCAL0,-0.03470953598830828,-0.011718128758955726,-0.07267431120431476,2.0504016564362075,1.3642609400791343,0.0,-0.034876966634049676,0.08088826875281459,-1.7514631680023984e-05,1.520791999329414,1.3323143561394009
2026,0,static,LOCAL3-GAP3,LOCAL3,GAP3,0.35021921812203144,0.09135058415376335,0.04925303110372637,-1.2060542072071243,-2.1166658447237054,0.0,0.02514675790106145,0.10250599855092293,0.0715960883423609,-0.46022662858881613,1.553753900638747
2026,0,static,LG3-LOCAL3,LG3,LOCAL3,-0.03140299598100105,-0.03801602975713203,-0.028231688998332848,0.862828423737021,0.7233503398218417,0.0,-0.014374943286573951,-0.07268271170436602,-0.04713329284589538,0.38107383203892287,-1.0712600447765714
2026,0,static,GAP3-GAP0,GAP3,GAP0,-0.02362988673730354,-0.02274999919177184,-0.013626145999237723,0.5032786714594266,0.15251960203427473,0.0,-0.00696492035046385,0.003751175117346555,-0.0050455147466477515,0.1900315616194419,-0.02008578671234673
2026,0,static,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.026187431494336888,0.015313375183591993,-0.004373775211612949,0.2697915690218906,0.1348250989955737,0.0,-0.0029579106007241243,0.06780917477728858,0.026419074935595158,0.8854943838069431,1.5387997065250696
2026,0,static,LG3-LG0,LG3,LG0,0.029493971501644123,-0.010984525814584312,0.04006884699436897,-0.917781663677296,-0.5060855012617189,0.0,0.0175441127467516,-0.08576180567989203,-0.0206967032786202,-0.2542237834835479,-0.8647746943909027
2026,0,delta,LOCAL0-GAP0,LOCAL0,GAP0,0.27715260017050297,0.3038476615102475,0.29067317679521476,-2.5284931037380254,-1.33930184754381,0.0,0.13526792965859696,-0.15009029548955544,0.06858479158079325,1.10274104704133,0.45886865833312296
2026,0,delta,LG0-LOCAL0,LG0,LOCAL0,-0.0708196322007063,-0.04329148696646706,-0.04219615931226938,0.4437669425981241,0.5297344759368254,0.0,-0.021527353170605067,0.057274732284065155,0.01320115133013433,1.2378337436586717,1.1012394090578133
2026,0,delta,LOCAL3-GAP3,LOCAL3,GAP3,0.2713798562903422,0.32143476481022043,0.15990404315908247,-1.6256496231850548,-0.8267142229685618,0.0,0.08210766580919021,0.15377567497660355,0.15438771944006852,1.879520956090773,0.4060662121865697
2026,0,delta,LG3-LOCAL3,LG3,LOCAL3,-0.008927049080501792,-0.07465966508250618,-0.04714943524397434,0.5354981384987916,0.237399140105353,0.0,-0.025533396167235736,-0.06070769478261523,-0.047984763947657966,0.4105272474070629,0.8656230682108854
2026,0,delta,GAP3-GAP0,GAP3,GAP0,0.020009743027645854,0.029496644678551162,0.15380202153932077,-1.1363339699300177,-0.5879614781111222,0.0,0.06505859058422749,-0.1862332307722926,-0.01514236203400468,0.04992696059981494,0.19817412725322203
2026,0,delta,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.014236999147485108,0.047083747978524104,0.02303288790318846,-0.23349048937704708,-0.07537385353587389,0.0,0.011898326734820736,0.1176327396938664,0.07066056582527058,0.8267068696492581,0.14537168110666876
2026,0,delta,LG3-LG0,LG3,LG0,0.07612958226768962,0.015715569862484985,0.018079611971483504,-0.1417592934763796,-0.3677091893673463,0.0,0.007892283738190068,-0.0003496873728139893,0.009474650547478286,-0.0005996266023506891,-0.09024465974025908
2026,1,static,LOCAL0-GAP0,LOCAL0,GAP0,0.15454146380397482,0.08678841830548567,0.10253996037461728,-1.2461538912034875,-0.7788010165103572,0.0,0.05571793373237288,0.0629248899838425,0.07523459571118393,-0.9426532636034111,0.29328989975056174
2026,1,static,LG0-LOCAL0,LG0,LOCAL0,0.006774283661904357,0.04154626667481437,0.05430755319616956,-0.7145431427377016,-0.41777994585760503,0.0,0.03266288556145386,0.055773249130585484,0.053391669685272314,-0.2868343028872964,0.5699508873399821
2026,1,static,LOCAL3-GAP3,LOCAL3,GAP3,0.09124830393487116,0.12294706663281768,0.15942441084039555,-1.4153343025752925,-0.555756025723352,0.0,0.07530335130717988,-0.05021477537760172,0.046778751871904084,-0.15236042687314466,0.8244057076360387
2026,1,static,LG3-LOCAL3,LG3,LOCAL3,0.013568521031207592,0.028426015096493396,0.03601624182920374,-0.5535263106885804,-0.3750917783658565,0.0,0.02173882980048847,0.02573168592668082,0.03138968392996805,-0.43451278888089817,0.09215066918301851
2026,1,static,GAP3-GAP0,GAP3,GAP0,0.0872276318940059,-0.0002843028448151763,-0.04998224520400229,0.2622023464770802,-0.18590093480480352,0.0,-0.02012544604983138,0.08756876270174739,0.018576613571663486,-0.5195949378429283,-0.5071657675674635
2026,1,static,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.02393447202490223,0.035874345482516834,0.006902205261775984,0.09302193510527523,0.03714405598220161,0.0,-0.0005400284750243789,-0.02557090265969683,-0.009879230267616362,0.2706978988873381,0.02395004031801351
2026,1,static,LG3-LG0,LG3,LG0,0.030728709394205467,0.02275409390419586,-0.011389106105189839,0.25403876715439644,0.07983222347395014,0.0,-0.011464084235989769,-0.055612465863601496,-0.03188121602292063,0.1230194128937363,-0.4538501778389501
2026,1,delta,LOCAL0-GAP0,LOCAL0,GAP0,0.20825019288583824,0.28954259138230787,0.47884350537420406,-1.3239153684278673,-0.9377734547269085,0.0,0.13490569711884018,0.11861788548570096,0.2355904220239883,2.197477440664125,1.05234723290842
2026,1,delta,LG0-LOCAL0,LG0,LOCAL0,-0.03197914172453248,-0.06054767153146906,-0.2343280976152844,0.4500175869559424,0.33148168007679146,0.0,-0.056776930557535465,0.029594614574304345,-0.08949138050269972,-0.8058216764005852,-0.4891727314307708
2026,1,delta,LOCAL3-GAP3,LOCAL3,GAP3,0.12165110277489569,0.07160943956626206,0.25746867418349695,-0.46763227055737744,-0.3517879899280132,0.0,0.06296703591499705,0.02458928913625269,0.10045615804959221,1.082569318429953,0.6555607739775133
2026,1,delta,LG3-LOCAL3,LG3,LOCAL3,-0.030795221752201674,-0.04078846051524518,-0.17759129126676887,0.36873911414279803,0.3639818474777634,0.0,-0.044035897177387824,0.08326713620487669,-0.043007848105757474,-0.5324649869668905,-0.4820858081560482
2026,1,delta,GAP3-GAP0,GAP3,GAP0,0.09785298108388539,0.21708032362928498,0.2881610122279359,-0.9991785310653167,-0.6332185883508181,0.0,0.08981013064830998,0.010054721999197547,0.1279341380351724,0.9830505215755121,0.2658560583476466
2026,1,delta,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.011253890972942826,-0.0008528281867608012,0.06678618103722878,-0.1428954331948269,-0.04723312355192277,0.0,0.017871469444466846,-0.08397387435025072,-0.0072001259392237005,-0.1318576006586598,-0.1309304005832601
2026,1,delta,LG3-LG0,LG3,LG0,0.01243781094527363,0.01890638282946308,0.1235229873857443,-0.22417390600797127,-0.014732956150950827,0.0,0.030612502824614488,-0.030301352719678376,0.03928340645771855,0.14149908877503492,-0.12384347730853751
2026,2,static,LOCAL0-GAP0,LOCAL0,GAP0,0.35764661433189193,0.3273015687164226,0.09069192459438666,-1.9828054584205717,-1.574332413169726,0.0,0.04488240408954593,0.013141415920862022,0.04861012106762312,-0.7348024824613288,0.5068683611449174
2026,2,static,LG0-LOCAL0,LG0,LOCAL0,0.03279669199445867,0.054043202507606136,0.15836851614100703,-3.930700536672127,-0.930763053303238,0.0,0.0935127615844048,0.12583258704974581,0.1203321825946045,0.6906810838581299,3.9686780126642844
2026,2,static,LOCAL3-GAP3,LOCAL3,GAP3,0.2970750598211662,0.27953561473573263,0.11788875807832548,-2.5272856105531076,-2.1434763352735473,0.0,0.05870481863782642,0.024229271041997524,0.06301592622495554,-0.25157266196496497,1.2395233632227267
