seed_base,task,endpoint,analysis_scope,comparison,left_arm,right_arm,effect_natural_spearman,effect_natural_pearson,effect_natural_r2,effect_natural_rmse,effect_natural_mae,effect_natural_b0_rmse,effect_natural_rmse_gain_over_b0,effect_natural_prediction_target_variance_ratio,effect_natural_calibration_slope,effect_natural_calibration_intercept,effect_natural_calibration_mean_bias,effect_transformed_spearman,effect_transformed_pearson,effect_transformed_r2,effect_transformed_rmse,effect_transformed_mae,effect_transformed_b0_rmse,effect_transformed_rmse_gain_over_b0,effect_transformed_prediction_target_variance_ratio,effect_transformed_calibration_slope,effect_transformed_calibration_intercept,effect_transformed_calibration_mean_bias
2026,static,T0,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.030452383661394966,-0.014682341205074279,-0.011305141740771685,0.2423656664437388,-0.20467898133071216,0.0,-0.005665851268762222,-0.00133186970500683,-0.0040833956454209425,-0.26057788758096656,-0.37732611733241406,0.02966496334493396,0.03885694933756867,0.03111388642675303,-0.006346986772337249,-0.004451761762996442,0.0,0.017170676599785717,-0.002876556613155473,0.01275225720767642,-0.014355102893392868,-0.008962947075651258
2026,static,T1,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.0027768801911480234,-0.015047338684311351,-0.019812791754924675,0.3781213604878886,0.08423638826915258,0.0,-0.009962158591567436,-0.0527669918205881,-0.03196967465603644,-0.16925327869770168,-0.7307361060443132,-0.0015763914057826955,0.0002837853245138966,-0.002666672897295788,0.0007165335534868311,-0.0012873098030330432,0.0,-0.0019258174311978238,-0.013086072498249918,-0.00979974543294479,-0.014506899425844821,-0.01611883322828564
2026,static,T2,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.0575298668790534,-0.00650297841378672,0.0037342188954962996,-0.05702425536218669,0.011814049951068384,0.0,0.0018192128696058706,0.0036891181947909155,0.002742643052072817,0.11563947279226827,0.14026024979855922,0.057639721772046876,0.06526834675160056,0.04025902844237568,-0.013399172078139565,-0.0036556470781289874,0.0,0.019861035336845682,0.029892692491497633,0.032247317818101334,0.008695743150669122,-0.0011192850938169401
2026,static,T3,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.05576209214712106,0.0042273824131120255,0.0019085046162130581,-0.011579920164498603,0.00038278695569360366,0.0,0.0009280540476805238,0.0009010302002968232,0.0006218984434263814,0.042636076885200325,0.04485290944640319,0.0776755508971669,0.06920567707494718,0.0010918922059407407,-0.0004549419804436017,-0.002054598058522983,0.0,0.0007216814797609637,0.04698934403029924,0.02403319481033218,0.016290105612827288,-0.0005770074105094607
2026,static,macro,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.036630305719679346,-0.008001318972515076,-0.00636880249599675,0.13797071285123863,-0.02706143903869851,0.0,-0.003220185735760817,-0.012377178282626796,-0.008172132201489546,-0.06788890415029947,-0.23073726603294187,0.04085096115209125,0.0434036896221576,0.017449533544443417,-0.004871141819358438,-0.0028623291756703084,0.0,0.008956893996298641,0.015229851852597842,0.01480825610079127,-0.000969038388935306,-0.006694518202065825
3026,static,T0,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,-0.0019390146774376782,0.1532429939051303,0.11567506225995872,-2.6172837710570533,-0.4872933751755184,0.0,0.06118498875085806,0.05060521040977571,0.08063375356199808,-1.8131591313704352,0.4922378480121896,-0.002566099870680183,0.02599523793607289,-0.0005128810724208954,-0.00012041024074654905,-0.0022687312313680597,0.0,0.00019407036327767635,0.1115365601106042,0.05219876879899532,-0.038763163919195764,-0.011592097722084785
3026,static,T1,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.025812720446012072,0.10810746175032876,0.02088680286067246,-0.3938131241712881,-0.4459814590365241,0.0,0.010375580986413684,-0.011330702662593253,0.0063707985431039685,-0.3702198746978862,-0.25832965320130263,0.027837830534689634,0.03211452129619602,0.030510728451000432,-0.009635392506768037,-0.011257511914989082,0.0,0.018149139770147843,-0.008313382728915242,0.00958082146877405,-0.009595566775690206,-0.004253306832777741
3026,static,T2,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.13688155649106837,0.2336594449287455,0.020424031279625554,-0.3117496259022907,-0.07243284559752183,0.0,0.009945573649916316,0.000859599841887703,0.009456748355376762,0.08406176574606805,0.168955238225605,0.10271496831648855,0.15901195380726696,0.0633332396667743,-0.02089305708446676,-0.010104846562634995,0.0,0.03157459635800424,0.09096625324562246,0.07470958789426242,0.021815843757440945,0.00034405697924090595
3026,static,T3,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,-0.021737058922349506,0.11095475296474057,0.007262640550711463,-0.04437609389838215,-0.030933467410565907,0.0,0.0035564505607649614,-0.0006434554416737421,0.004047516492843493,-0.05812699643132979,-0.04369913212617771,-0.028957687986492425,-0.011926832066521731,0.042919427840786104,-0.01292228350497504,-0.007522422907447923,0.0,0.02065139685040962,-0.056771170494355414,-0.007784589517778058,-0.002916017057128406,0.0038031073385576177
3026,static,macro,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.0347545508343233,0.1514911633872363,0.04106213423774205,-0.8418056537572554,-0.25916028680503267,0.0,0.021265648486988253,0.0098726630368491,0.02512720423833057,-0.5393610591883959,0.08979107522757879,0.02475725274850138,0.05129872024325355,0.03406262872153498,-0.010892785834239027,-0.007788378154109987,0.0,0.017642300835459843,0.034354565033239,0.03217614716106344,-0.007364725998643351,-0.0029245600592659998
