seed_base,fold,comparison,grounded_arm,baseline_arm,baseline_selected_validation_state_loss,grounded_selected_validation_state_loss,state_loss_degradation_fraction,maximum_allowed_degradation_fraction,safety_pass,grounded_selection_mode
2026,0,GAP3-GAP0,GAP3,GAP0,0.09210069745409587,0.09198751066588173,-0.0012289460486502035,0.05,True,primary
2026,0,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.38749018533170715,0.3753098760508309,-0.03143385237086571,0.05,True,primary
2026,0,LG3-LG0,LG3,LG0,0.18896144850194946,0.1883563378995115,-0.003202296591369058,0.05,True,primary
2026,1,GAP3-GAP0,GAP3,GAP0,0.0645857575264844,0.05669899155532033,-0.12211308302654789,0.05,True,primary
2026,1,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.30831506971485356,0.30007607237366607,-0.026722655330494782,0.05,True,primary
2026,1,LG3-LG0,LG3,LG0,0.16127653370711428,0.15975207743073297,-0.009452437012006931,0.05,True,primary
2026,2,GAP3-GAP0,GAP3,GAP0,0.07777986478460722,0.07512804939727152,-0.03409385442722568,0.05,True,primary
2026,2,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.26004567446787497,0.2553682930705961,-0.01798676869688398,0.05,True,primary
2026,2,LG3-LG0,LG3,LG0,0.15111907085111317,0.13835204485034155,-0.08448322193133428,0.05,True,primary
2026,3,GAP3-GAP0,GAP3,GAP0,0.08928644263054714,0.08803091989445293,-0.014061739936144124,0.05,True,primary
2026,3,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2441903759132732,0.2437254433666379,-0.0019039757193396456,0.05,True,primary
2026,3,LG3-LG0,LG3,LG0,0.14497085161938156,0.13936290335802992,-0.03868328149216649,0.05,True,primary
2026,4,GAP3-GAP0,GAP3,GAP0,0.09870772109913432,0.09086235578764569,-0.07948076628787082,0.05,True,primary
2026,4,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.3315493768650638,0.325981764753988,-0.01679270871723504,0.05,True,primary
2026,4,LG3-LG0,LG3,LG0,0.18134579204084458,0.17512698748633881,-0.03429252195223309,0.05,True,primary
3026,0,GAP3-GAP0,GAP3,GAP0,0.06269343576032269,0.06539949780899632,0.04316340324717438,0.05,True,primary
3026,0,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.24443442737760623,0.2475362881894939,0.01268995061442757,0.05,True,primary
3026,0,LG3-LG0,LG3,LG0,0.12082385003936193,0.12020805625876119,-0.005096624386659809,0.05,True,primary
3026,1,GAP3-GAP0,GAP3,GAP0,0.07206053416098444,0.0716282658217367,-0.005998683527408288,0.05,True,primary
3026,1,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.28007629587630595,0.2773391998503819,-0.009772680038345194,0.05,True,primary
3026,1,LG3-LG0,LG3,LG0,0.1606854415875821,0.15277640706251475,-0.049220604224786024,0.05,True,primary
3026,2,GAP3-GAP0,GAP3,GAP0,0.11617430034747794,0.11379981730595108,-0.020438970016817604,0.05,True,primary
3026,2,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2679005644538186,0.2650746476551718,-0.010548379412369413,0.05,True,primary
3026,2,LG3-LG0,LG3,LG0,0.14860114455223083,0.14744348737819135,-0.0077903651248970585,0.05,True,primary
3026,3,GAP3-GAP0,GAP3,GAP0,0.061441139495077214,0.061815729934321946,0.006096736524145108,0.05,True,primary
3026,3,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2592208114537326,0.25655243810543343,-0.010293823761042598,0.05,True,primary
3026,3,LG3-LG0,LG3,LG0,0.1433657668838816,0.1449510144177547,0.011057364448495255,0.05,True,primary
3026,4,GAP3-GAP0,GAP3,GAP0,0.08470553689259143,0.08448275258718443,-0.0026301032208732034,0.05,True,primary
3026,4,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.3609065328501473,0.36192494680073634,0.002821821878774111,0.05,True,primary
3026,4,LG3-LG0,LG3,LG0,0.18954257186779305,0.1856718555954862,-0.02042135565727521,0.05,True,primary
