seed_base,task,endpoint,analysis_scope,comparison,left_arm,right_arm,effect_natural_spearman,effect_natural_pearson,effect_natural_r2,effect_natural_rmse,effect_natural_mae,effect_natural_b0_rmse,effect_natural_rmse_gain_over_b0,effect_natural_prediction_target_variance_ratio,effect_natural_calibration_slope,effect_natural_calibration_intercept,effect_natural_calibration_mean_bias,effect_transformed_spearman,effect_transformed_pearson,effect_transformed_r2,effect_transformed_rmse,effect_transformed_mae,effect_transformed_b0_rmse,effect_transformed_rmse_gain_over_b0,effect_transformed_prediction_target_variance_ratio,effect_transformed_calibration_slope,effect_transformed_calibration_intercept,effect_transformed_calibration_mean_bias
2026,static,T0,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.42989486858573217,0.32251529155873465,0.2712146484786664,-6.299834860733206,-4.593109151595783,0.0,0.1472730352546179,0.11872530190108829,0.18566995826384233,-3.567518398419203,1.7409652332455998,0.4237315306235919,0.4189895186648486,0.4742804728359741,-0.11699203215583359,-0.09394990077783211,0.0,0.2890184109598117,0.29818589231478637,0.38734925469787895,-0.2131200363571575,-0.02606548507364944
2026,static,T1,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.18567072476959823,0.07228832817119485,0.03932611350535409,-0.7622082003721999,-1.2235211417081686,0.0,0.020081486436268867,-0.03630586170399332,-0.0006779570305703586,0.408652629780887,0.3967456825116473,0.18930115168002337,0.1891383236974667,0.16831784440134384,-0.04456789616877749,-0.04654763005471119,0.0,0.09216424234733626,0.14447699313661136,0.15581789146448188,-0.04346026124819066,-0.015026986064168083
2026,static,T2,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.21735851632722725,0.12508899373214882,0.02996730356430466,-0.46055677910715787,-0.277264140649625,0.0,0.014692884885815742,0.004429673742042686,0.013990070818522724,0.3507873143589042,0.4763765388351784,0.23348153359149101,0.2488256749624111,0.1593850933874116,-0.05498287669857893,-0.03947584798317938,0.0,0.08500823165370176,0.10415640092837783,0.13640104669039627,0.04266959006881538,0.008547521604841138
2026,static,T3,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.26610833235341563,0.25912647947469175,0.03406071272414701,-0.20827900251228293,-0.07330844587507679,0.0,0.016692185143122314,0.0025200222985146603,0.015928501522821607,0.08091726995579218,0.13769634891989524,0.3054980822131396,0.3178577049259757,0.15116612785673147,-0.04799607266281658,-0.03536195611677684,0.0,0.0766958927617116,0.059202187107483414,0.10331550903455446,0.08331488381824259,0.017947911224546642
2026,static,macro,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.27475811050899335,0.19475477323419252,0.09364219456811804,-1.9327197106812086,-1.5418007199571608,0.0,0.04968489792995621,0.022342284059413083,0.05372764339365408,-0.681790296080905,0.6879459508780803,0.2880030745270615,0.2937028055626756,0.23828738462036525,-0.06613471942150162,-0.053833833733124836,0.0,0.1357216944306403,0.15150536837181472,0.19572092547182787,-0.03264895592957255,-0.0036492595771074367
3026,static,T0,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.35108954374786666,0.327818204713292,0.3173934534419146,-7.661914570484562,-4.931921430128547,0.0,0.17911476087890904,0.16299623269683933,0.22918457217975965,-4.140597055531821,2.4120114624143003,0.35427652716330016,0.34430866445999475,0.39737646752012706,-0.09937933982779174,-0.08207412198350644,0.0,0.24519960809447705,0.3920695028815455,0.3871204863516927,-0.21239643600707753,-0.030294654820887078
3026,static,T1,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.23413539651837517,0.08342641764795738,0.05347161347696472,-1.016595441466393,-1.6927268154433808,0.0,0.02678368923216943,0.03253144458933588,0.03725494022312649,0.35020451825166354,1.0045123707452595,0.2346441836521968,0.22352706167183156,0.20699448512353483,-0.05422898655169511,-0.0559784778897745,0.0,0.11101717824087044,0.1350214389753206,0.16905005704227438,-0.04184603703601705,-0.006750795365629562
3026,static,T2,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.31364569348048693,0.2492629825975055,0.059060553317456854,-0.9100840927105125,-0.36760885792731823,0.0,0.029033902913187623,0.01276523520052707,0.030948227833162593,0.46101580398360964,0.7388388388274292,0.27888527130729956,0.33812999212908873,0.19939203508688264,-0.06503400473659005,-0.03605172619887842,0.0,0.10219414398797327,0.21280042112358755,0.2003056492224696,0.05848737382060065,-0.0021207218983749785
3026,static,T3,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.10772056591879442,0.1098043904350062,0.004376595759220336,-0.02672307976424726,-0.08870932123695052,0.0,0.0021416781799352743,-0.0010883801799493821,0.0027900103517654318,-0.07749317837097625,-0.06754784749056775,0.10420292802641098,0.12141429173093526,0.10579670130175048,-0.03209587978449835,-0.02752982602152232,0.0,0.052666817282724605,-0.04209576654083583,0.030626532321916033,0.009423164284169783,-0.009252018815145042
3026,static,macro,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.2516477999163808,0.19257799884844026,0.10857555399888913,-2.4038292961064265,-1.7702416061840474,0.0,0.05926850780105034,0.05180113307668821,0.07504443764695354,-0.8517174779168801,1.0219537061241057,0.24300222753730183,0.2568450024979626,0.22738992225807375,-0.06268455272514384,-0.05040853802342038,0.0,0.12776943690151135,0.1744488991099044,0.1967756812345882,-0.04658298373458104,-0.012104547725009166
