seed_base,fold,comparison,grounded_arm,baseline_arm,baseline_selected_validation_state_loss,grounded_selected_validation_state_loss,allowed_grounded_validation_state_loss,state_loss_degradation_fraction,maximum_allowed_degradation_fraction,baseline_selection_mode,baseline_experiment_pass,grounded_selection_mode,grounded_experiment_pass,grounded_primary_selection,exact_state_loss_rule_pass,safety_pass
2026,0,GAP3-GAP0,GAP3,GAP0,0.09210134309924338,0.09198759108289215,0.09670641025420555,-0.0012350744573688122,0.05,primary,True,primary,True,True,True,True
2026,0,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.3874900496203052,0.3753104021480261,0.4068645521013205,-0.0314321554429946,0.05,primary,True,primary,True,True,True,True
2026,1,GAP3-GAP0,GAP3,GAP0,0.06458624495455056,0.05669945884834637,0.0678155572022781,-0.1221124732015949,0.05,primary,True,primary,True,True,True,True
2026,1,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.3083163302792005,0.3000752211602266,0.32373214679316054,-0.026729395460535765,0.05,primary,True,primary,True,True,True,True
2026,2,GAP3-GAP0,GAP3,GAP0,0.07778021933372356,0.0751281229794518,0.08166923030040975,-0.03409731133429539,0.05,primary,True,primary,True,True,True,True
2026,2,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2600442786847264,0.25536810169535235,0.27304649261896274,-0.017982233691222205,0.05,primary,True,primary,True,True,True,True
2026,3,GAP3-GAP0,GAP3,GAP0,0.08928458657392785,0.08803026144169579,0.09374881590262424,-0.014048618920282196,0.05,primary,True,primary,True,True,True,True
2026,3,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.24419039894234051,0.2437257813520668,0.25639991888945757,-0.0019026857414792264,0.05,primary,True,primary,True,True,True,True
2026,4,GAP3-GAP0,GAP3,GAP0,0.098708464802543,0.09086290685352215,0.10364388804267015,-0.07948211903320701,0.05,primary,True,primary,True,True,True,True
2026,4,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.3315491088904625,0.32598158372335195,0.3481265643349857,-0.016792460054386615,0.05,primary,True,primary,True,True,True,True
3026,0,GAP3-GAP0,GAP3,GAP0,0.06269037360248488,0.0653991169365477,0.06582489228260913,0.04320828188453252,0.05,primary,True,primary,True,True,True,True
3026,0,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2444334214876506,0.24753574337348466,0.2566550925620331,0.012691889132643741,0.05,primary,True,primary,True,True,True,True
3026,1,GAP3-GAP0,GAP3,GAP0,0.07206047283223838,0.07162865171255159,0.0756634964738503,-0.005992482462501947,0.05,primary,True,primary,True,True,True,True
3026,1,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2800777919036298,0.2773385052838601,0.2940816814988113,-0.009780449214310538,0.05,primary,True,primary,True,True,True,True
3026,2,GAP3-GAP0,GAP3,GAP0,0.11617341255846102,0.11380043305641363,0.12198208318638408,-0.020426184010504556,0.05,primary,True,primary,True,True,True,True
3026,2,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.26790081370960583,0.2650772525259286,0.28129585439508614,-0.010539576735805856,0.05,primary,True,primary,True,True,True,True
3026,3,GAP3-GAP0,GAP3,GAP0,0.06144105150433611,0.06181540561855332,0.06451310407955292,0.006092898885214915,0.05,primary,True,primary,True,True,True,True
3026,3,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2592208816492853,0.25655354941186825,0.2721819257317496,-0.010289804665605029,0.05,primary,True,primary,True,True,True,True
3026,4,GAP3-GAP0,GAP3,GAP0,0.08470487576131978,0.08448294513235408,0.08894011954938577,-0.0026200455047128424,0.05,primary,True,primary,True,True,True,True
3026,4,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.36090724995313594,0.3619277863955695,0.37895261245079276,0.00282769726173715,0.05,primary,True,primary,True,True,True,True
4026,0,GAP3-GAP0,GAP3,GAP0,0.05144540512980508,0.05135522530344892,0.05401767538629534,-0.001752922853433092,0.05,primary,True,primary,True,True,True,True
4026,0,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2507097110275395,0.24251025964405912,0.2632451965789165,-0.03270496124731159,0.05,primary,True,primary,True,True,True,True
4026,1,GAP3-GAP0,GAP3,GAP0,0.0690587664192373,0.0665571129272792,0.07251170474019918,-0.036224995343404176,0.05,primary,True,primary,True,True,True,True
4026,1,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.23021367143008334,0.2292920353491444,0.2417243550015875,-0.004003394217266698,0.05,primary,True,primary,True,True,True,True
4026,2,GAP3-GAP0,GAP3,GAP0,0.07597430302830767,0.07806790669348614,0.07977301817972306,0.027556734076236378,0.05,primary,True,primary,True,True,True,True
4026,2,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2805109004343837,0.27091590333576043,0.2945364454561029,-0.034205434026859494,0.05,primary,True,primary,True,True,True,True
4026,3,GAP3-GAP0,GAP3,GAP0,0.05045931050476949,0.05147155657533772,0.05298227603000797,0.020060640156241316,0.05,primary,True,primary,True,True,True,True
4026,3,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.22953229329802774,0.22637448539911223,0.24100890796292915,-0.013757575692477264,0.05,primary,True,primary,True,True,True,True
4026,4,GAP3-GAP0,GAP3,GAP0,0.07147337724108341,0.0696798801298969,0.07504704610313759,-0.025093219047659487,0.05,primary,True,primary,True,True,True,True
4026,4,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.24892598753871997,0.24853996563056283,0.261372286915656,-0.0015507497307692963,0.05,primary,True,primary,True,True,True,True
5026,0,GAP3-GAP0,GAP3,GAP0,0.04241520104822048,0.04169005875991396,0.04453596110063151,-0.017096283181167293,0.05,primary,True,primary,True,True,True,True
5026,0,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.25309247899154,0.2543877217887847,0.26574710294111703,0.005117666089508699,0.05,primary,True,primary,True,True,True,True
5026,1,GAP3-GAP0,GAP3,GAP0,0.07125955352113267,0.07413957877592607,0.0748225311971893,0.04041598792699852,0.05,primary,True,primary,True,True,True,True
5026,1,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.286337901245464,0.28770286879263635,0.3006547963077372,0.004766981741624932,0.05,primary,True,primary,True,True,True,True
5026,2,GAP3-GAP0,GAP3,GAP0,0.07848163663355773,0.07100271612159477,0.08240571846523562,-0.09529516499360402,0.05,primary,True,primary,True,True,True,True
5026,2,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.28566825192821915,0.2779384511561433,0.2999516645246301,-0.027058662346623463,0.05,primary,True,primary,True,True,True,True
5026,3,GAP3-GAP0,GAP3,GAP0,0.11086117599374992,0.11373525999548022,0.11640423479343742,0.025925072289439965,0.05,primary,True,primary,True,True,True,True
5026,3,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.2076680521088198,0.20537530341424232,0.2180514547142608,-0.011040449752839576,0.05,primary,True,primary,True,True,True,True
5026,4,GAP3-GAP0,GAP3,GAP0,0.10241759168215034,0.10693643112813146,0.10753847126625786,0.04412171162943568,0.05,primary,True,primary,True,True,True,True
5026,4,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.34974679313907936,0.34057201555937777,0.36723413279603334,-0.026232628174672534,0.05,primary,True,primary,True,True,True,True
6026,0,GAP3-GAP0,GAP3,GAP0,0.06389542302686321,0.0595954404759013,0.06709019417820637,-0.06729719199376916,0.05,primary,True,primary,True,True,True,True
6026,0,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.25405202079410394,0.24543652504928842,0.26675462183380916,-0.033912329128048646,0.05,primary,True,primary,True,True,True,True
6026,1,GAP3-GAP0,GAP3,GAP0,0.06414036403510197,0.06305484362870209,0.06734738223685707,-0.016924138531639876,0.05,primary,True,primary,True,True,True,True
6026,1,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.22947860404479603,0.2284405246253841,0.24095253424703583,-0.004523643603868477,0.05,primary,True,primary,True,True,True,True
6026,2,GAP3-GAP0,GAP3,GAP0,0.06418855414410268,0.06460102308880199,0.06739798185130783,0.00642589555410944,0.05,primary,True,primary,True,True,True,True
6026,2,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.3975837201126351,0.3781020789107015,0.41746290611826686,-0.04900009788231385,0.05,primary,True,primary,True,True,True,True
6026,3,GAP3-GAP0,GAP3,GAP0,0.06798451283007614,0.06709759685495668,0.07138373847157996,-0.013045853212720115,0.05,primary,True,primary,True,True,True,True
6026,3,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.23387915758062,0.23567429332693746,0.24557311545965102,0.007675484061458793,0.05,primary,True,primary,True,True,True,True
6026,4,GAP3-GAP0,GAP3,GAP0,0.04054263597431262,0.03487285783837649,0.04256976777302825,-0.13984729901450998,0.05,primary,True,primary,True,True,True,True
6026,4,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.25486808695083807,0.2485539371317083,0.26761149129837997,-0.024774187677516935,0.05,primary,True,primary,True,True,True,True
