context,arm,view,timing,target,population,candidate,reference,seed_2026_delta_auroc,seed_3026_delta_auroc,mean_delta_auroc,both_seeds_strictly_positive
MRI_ONLY,LOCAL0,T0,T0,pCR,full_808,R2,R0,-0.017062937062937045,-0.0012962647108989422,-0.009179600886917993,False
MRI_ONLY,LOCAL0,T0-T1,T0-T1,pCR,full_808,R2,R0,0.006965717209619582,-0.0010301893228722436,0.002967763943373669,False
MRI_ONLY,LOCAL0,T0-T2,T0-T2,pCR,full_808,R2,R0,-0.011666382398089703,0.004987207914037062,-0.0033395872420263206,False
MRI_ONLY,LOCAL3,T0,T0,pCR,full_808,R2,R0,-0.002312809142077432,0.008657683779635161,0.0031724373187788646,False
MRI_ONLY,LOCAL3,T0-T1,T0-T1,pCR,full_808,R2,R0,-0.008896469384274353,-6.822445846932368e-06,-0.0044516459150606424,False
MRI_ONLY,LOCAL3,T0-T2,T0-T2,pCR,full_808,R2,R0,-0.0013781340610609094,-0.017329012450963743,-0.009353573256012326,False
MRI_ONLY,LOCAL0,T0,T0,pCR,full_808,R3,R0,0.038389902780146645,-0.010390585024731336,0.013999658877707655,False
MRI_ONLY,LOCAL0,T0-T1,T0-T1,pCR,full_808,R3,R0,0.031526522258229606,-0.0038478594576155656,0.01383933140030702,False
MRI_ONLY,LOCAL0,T0-T2,T0-T2,pCR,full_808,R3,R0,0.027555858775371034,-0.02112911478765145,0.0032133719938597927,False
MRI_ONLY,LOCAL3,T0,T0,pCR,full_808,R3,R0,0.0268872590823811,-0.01206890670305294,0.0074091761896640795,False
MRI_ONLY,LOCAL3,T0-T1,T0-T1,pCR,full_808,R3,R0,0.017574620501449756,-0.013378816305645636,0.00209790209790206,False
MRI_ONLY,LOCAL3,T0-T2,T0-T2,pCR,full_808,R3,R0,0.04199897663312291,-0.015309568480300295,0.013344704076411307,False
MRI_ONLY,LOCAL0,T0,T0,pCR,full_808,R5,R0,-0.02818352379327982,-0.003308886235715569,-0.015746205014497694,False
MRI_ONLY,LOCAL0,T0-T1,T0-T1,pCR,full_808,R5,R0,-0.012969469554835356,-0.020153505031553887,-0.01656148729319462,False
MRI_ONLY,LOCAL0,T0-T2,T0-T2,pCR,full_808,R5,R0,-0.022589118198874214,-0.02353061572573778,-0.023059866962305997,False
MRI_ONLY,LOCAL3,T0,T0,pCR,full_808,R5,R0,-0.02930240491216085,-0.011100119392802199,-0.020201262152481525,False
MRI_ONLY,LOCAL3,T0-T1,T0-T1,pCR,full_808,R5,R0,-0.019853317414293192,-0.01150946614361259,-0.01568139177895289,False
MRI_ONLY,LOCAL3,T0-T2,T0-T2,pCR,full_808,R5,R0,0.00010915913354936357,-0.02900903974074709,-0.014449940303598863,False
C_PLUS_F,LOCAL0,T0,T0,pCR,ftv_complete_375,R2,C+F+R0,-0.04469982847341325,0.009811320754717023,-0.017444253859348113,False
C_PLUS_F,LOCAL0,T0-T1,T0-T1,pCR,ftv_complete_375,R2,C+F+R0,-0.013996569468267439,0.005351629502573063,-0.004322469982847188,False
C_PLUS_F,LOCAL0,T0-T2,T0-T2,pCR,ftv_complete_375,R2,C+F+R0,0.004253859348198885,-0.021372212692967296,-0.008559176672384206,False
C_PLUS_F,LOCAL3,T0,T0,pCR,ftv_complete_375,R2,C+F+R0,0.03080617495711835,-0.0020926243567750413,0.014356775300171654,False
C_PLUS_F,LOCAL3,T0-T1,T0-T1,pCR,ftv_complete_375,R2,C+F+R0,-0.0108747855917668,-0.002229845626072091,-0.006552315608919446,False
C_PLUS_F,LOCAL3,T0-T2,T0-T2,pCR,ftv_complete_375,R2,C+F+R0,-0.0006518010291595155,-0.01272727272727281,-0.006689536878216162,False
C_PLUS_F,LOCAL0,T0,T0,pCR,ftv_complete_375,R3,C+F+R0,0.011252144082332771,0.027409948542024054,0.019331046312178413,True
C_PLUS_F,LOCAL0,T0-T1,T0-T1,pCR,ftv_complete_375,R3,C+F+R0,0.005900514579760041,0.008336192109777207,0.007118353344768624,True
C_PLUS_F,LOCAL0,T0-T2,T0-T2,pCR,ftv_complete_375,R3,C+F+R0,-0.016397941680960648,-0.027307032590051294,-0.02185248713550597,False
C_PLUS_F,LOCAL3,T0,T0,pCR,ftv_complete_375,R3,C+F+R0,0.0521097770154374,0.010085763293310568,0.031097770154373983,True
C_PLUS_F,LOCAL3,T0-T1,T0-T1,pCR,ftv_complete_375,R3,C+F+R0,-0.007066895368782133,-0.01581475128644949,-0.011440823327615812,False
C_PLUS_F,LOCAL3,T0-T2,T0-T2,pCR,ftv_complete_375,R3,C+F+R0,-0.014785591766723893,-0.004459691252144182,-0.009622641509434038,False
C_PLUS_F,LOCAL0,T0,T0,pCR,ftv_complete_375,R5,C+F+R0,-0.04939965694682669,0.011149228130360234,-0.019125214408233226,False
C_PLUS_F,LOCAL0,T0-T1,T0-T1,pCR,ftv_complete_375,R5,C+F+R0,-0.042675814751286456,-0.04246998284734138,-0.04257289879931392,False
C_PLUS_F,LOCAL0,T0-T2,T0-T2,pCR,ftv_complete_375,R5,C+F+R0,-0.03790737564322466,-0.03993138936535168,-0.03891938250428817,False
