seed,arm,context,view,timing,timing_label,target,population,variant,reference,auroc,reference_auroc,delta_auroc_vs_r0
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R0,R0,0.49653516295025724,0.49653516295025724,0.0
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R1,R0,0.46054888507718694,0.49653516295025724,-0.035986277873070294
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R2,R0,0.47907375643224703,0.49653516295025724,-0.017461406518010203
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R3,R0,0.52590051457976,0.49653516295025724,0.02936535162950271
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R4,R0,0.4856946826758147,0.49653516295025724,-0.01084048027444251
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R5,R0,0.48682675814751286,0.49653516295025724,-0.009708404802744375
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R0,R0,0.5276138495650691,0.5276138495650691,0.0
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R1,R0,0.516213542555006,0.5276138495650691,-0.011400307010063115
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R2,R0,0.510550912502132,0.5276138495650691,-0.017062937062937045
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R3,R0,0.5660037523452157,0.5276138495650691,0.038389902780146645
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R4,R0,0.49998976633122977,0.5276138495650691,-0.027624083233839303
2026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R5,R0,0.49943032577178925,0.5276138495650691,-0.02818352379327982
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R0,R0,0.55368782161235,0.55368782161235,0.0
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R1,R0,0.5162264150943396,0.55368782161235,-0.03746140651801033
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R2,R0,0.5735849056603773,0.55368782161235,0.01989708404802737
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R3,R0,0.5463464837049743,0.55368782161235,-0.007341337907375678
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R4,R0,0.5362264150943397,0.55368782161235,-0.017461406518010314
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R5,R0,0.5529331046312178,0.55368782161235,-0.0007547169811321641
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R0,R0,0.5227358007845813,0.5227358007845813,0.0
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R1,R0,0.5256216953777929,0.5227358007845813,0.0028858945932116464
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R2,R0,0.5297015179942008,0.5227358007845813,0.006965717209619582
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R3,R0,0.5542623230428109,0.5227358007845813,0.031526522258229606
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R4,R0,0.5082108135766672,0.5227358007845813,-0.014524987207914064
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R5,R0,0.5097663312297459,0.5227358007845813,-0.012969469554835356
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R0,R0,0.590566037735849,0.590566037735849,0.0
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R1,R0,0.5552658662092624,0.590566037735849,-0.0353001715265866
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R2,R0,0.562229845626072,0.590566037735849,-0.028336192109777003
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R3,R0,0.5304974271012007,0.590566037735849,-0.0600686106346483
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R4,R0,0.5632590051457976,0.590566037735849,-0.027307032590051405
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R5,R0,0.5407204116638079,0.590566037735849,-0.04984562607204113
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R0,R0,0.5356779805560293,0.5356779805560293,0.0
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R1,R0,0.5181511171755074,0.5356779805560293,-0.017526863380521895
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R2,R0,0.5240115981579396,0.5356779805560293,-0.011666382398089703
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R3,R0,0.5632338393314004,0.5356779805560293,0.027555858775371034
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R4,R0,0.5036943544260617,0.5356779805560293,-0.031983626129967635
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R5,R0,0.5130888623571551,0.5356779805560293,-0.022589118198874214
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R0,R0,0.5541680960548885,0.5541680960548885,0.0
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R1,R0,0.5880960548885077,0.5541680960548885,0.03392795883361921
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R2,R0,0.5471698113207547,0.5541680960548885,-0.006998284734133775
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R3,R0,0.5005145797598628,0.5541680960548885,-0.05365351629502568
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R4,R0,0.5607204116638078,0.5541680960548885,0.006552315608919335
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R5,R0,0.5376672384219554,0.5541680960548885,-0.016500857632933075
