population,clinical_contract,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,C1_hr_her2,375,110,265,0.6596054888507719,0.42414045759802216,0.5674957118353345,0.24927229862028966
ftv_complete_375,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,C2_full_without_treatment,375,110,265,0.6874614065180104,0.4525294370196032,0.5846483704974271,0.20956473877144116
ftv_complete_375,C_condition_with_treatment,375,110,265,0.6809605488850773,0.5101853814482225,0.6358490566037736,0.22534811414892078
ftv_complete_375,C_condition_without_treatment,375,110,265,0.616843910806175,0.43098710738659607,0.5664665523156089,0.2081901795498054
full_808,C1_hr_her2,808,275,533,0.6762101313320824,0.4922034134032953,0.5602421968275627,0.24883279276369016
full_808,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,C2_full_without_treatment,808,275,533,0.649971004605151,0.4868888319085815,0.6165683097390414,0.2221310468579203
full_808,C_condition_with_treatment,808,275,533,0.6818181818181819,0.5401587218196344,0.6391506054920689,0.22572615514752253
full_808,C_condition_without_treatment,808,275,533,0.6612587412587412,0.5054114182511813,0.5921678321678322,0.21218515210935307
