task,fold,seed,arm,view,target,selected_C,validation_auroc,validation_threshold,train_rows,validation_rows,feature_dim,population,clinical_contract,timing,model,selected_alpha,validation_mse,subgroup
profile_binary,0,2026.0,LOCAL0,T0,HR,100.0,0.5385682574916759,0.6309330306359243,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL0,T0,HER2,0.01,0.6519713261648746,0.49028604250184327,525,121,192,,,,,,,
profile_multiclass,0,2026.0,LOCAL0,T0,subtype_4class,10.0,0.5587457796982784,,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL0,T1,HR,0.0001,0.5113762486126526,0.5056860730946099,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL0,T1,HER2,0.001,0.589247311827957,0.5362741974221654,525,121,192,,,,,,,
profile_multiclass,0,2026.0,LOCAL0,T1,subtype_4class,0.0001,0.557193590407346,,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL0,T2,HR,0.001,0.5865704772475027,0.5,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL0,T2,HER2,0.01,0.643010752688172,0.4993410980124097,525,121,192,,,,,,,
profile_multiclass,0,2026.0,LOCAL0,T2,subtype_4class,0.1,0.5980852432980093,,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL0,T3,HR,0.001,0.5857380688124306,0.4971053495089018,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL0,T3,HER2,0.001,0.642652329749104,0.506185774451514,525,121,192,,,,,,,
profile_multiclass,0,2026.0,LOCAL0,T3,subtype_4class,0.0001,0.5857080941667779,,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL0,long_T0_T1,HR,10.0,0.48224195338512765,0.7545921610211084,525,121,384,,,,,,,
profile_binary,0,2026.0,LOCAL0,long_T0_T1,HER2,0.001,0.668100358422939,0.5739055490635042,525,121,384,,,,,,,
profile_multiclass,0,2026.0,LOCAL0,long_T0_T1,subtype_4class,0.001,0.5717401822003503,,525,121,384,,,,,,,
profile_binary,0,2026.0,LOCAL0,long_T0_T2,HR,1.0,0.5041620421753608,0.10209387086475391,525,121,576,,,,,,,
profile_binary,0,2026.0,LOCAL0,long_T0_T2,HER2,0.01,0.6663082437275986,0.6369574414456182,525,121,576,,,,,,,
profile_multiclass,0,2026.0,LOCAL0,long_T0_T2,subtype_4class,0.1,0.5707354155733672,,525,121,576,,,,,,,
profile_binary,0,2026.0,LOCAL0,long_T0_T3,HR,100.0,0.533573806881243,0.311449257683096,525,121,768,,,,,,,
profile_binary,0,2026.0,LOCAL0,long_T0_T3,HER2,0.001,0.6691756272401435,0.5747354256473767,525,121,768,,,,,,,
profile_multiclass,0,2026.0,LOCAL0,long_T0_T3,subtype_4class,0.1,0.591054046730692,,525,121,768,,,,,,,
profile_binary,1,2026.0,LOCAL0,T0,HR,0.1,0.5310765815760267,0.5857196612505073,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL0,T0,HER2,100.0,0.5245421245421246,0.148342547742066,525,121,192,,,,,,,
profile_multiclass,1,2026.0,LOCAL0,T0,subtype_4class,100.0,0.5735970726241639,,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL0,T1,HR,10.0,0.5338512763596004,0.45127154534819536,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL0,T1,HER2,0.1,0.5564102564102564,0.6112122040709369,525,121,192,,,,,,,
profile_multiclass,1,2026.0,LOCAL0,T1,subtype_4class,100.0,0.5301073909359778,,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL0,T2,HR,0.1,0.5563263041065483,0.38836642453753045,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL0,T2,HER2,0.1,0.6080586080586081,0.49763723288135014,525,121,192,,,,,,,
profile_multiclass,1,2026.0,LOCAL0,T2,subtype_4class,0.01,0.549763434247648,,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL0,T3,HR,1.0,0.5407880133185349,0.6654778087306367,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL0,T3,HER2,100.0,0.5611721611721612,0.4126181856550622,525,121,192,,,,,,,
profile_multiclass,1,2026.0,LOCAL0,T3,subtype_4class,1.0,0.5721818992315386,,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL0,long_T0_T1,HR,1.0,0.5579911209766926,0.4283044229184181,525,121,384,,,,,,,
profile_binary,1,2026.0,LOCAL0,long_T0_T1,HER2,0.01,0.5483516483516484,0.5775506049960808,525,121,384,,,,,,,
profile_multiclass,1,2026.0,LOCAL0,long_T0_T1,subtype_4class,1.0,0.5619369661795535,,525,121,384,,,,,,,
profile_binary,1,2026.0,LOCAL0,long_T0_T2,HR,10.0,0.577968923418424,0.9000710010815839,525,121,576,,,,,,,
profile_binary,1,2026.0,LOCAL0,long_T0_T2,HER2,1.0,0.6036630036630036,0.3532995965162621,525,121,576,,,,,,,
profile_multiclass,1,2026.0,LOCAL0,long_T0_T2,subtype_4class,10.0,0.5653420465505098,,525,121,576,,,,,,,
profile_binary,1,2026.0,LOCAL0,long_T0_T3,HR,10.0,0.5402330743618202,0.10947720767453838,525,121,768,,,,,,,
profile_binary,1,2026.0,LOCAL0,long_T0_T3,HER2,0.01,0.5827838827838827,0.4974218782387212,525,121,768,,,,,,,
profile_multiclass,1,2026.0,LOCAL0,long_T0_T3,subtype_4class,0.1,0.5691180792594479,,525,121,768,,,,,,,
profile_binary,2,2026.0,LOCAL0,T0,HR,0.0001,0.5485571587125416,0.49317307353829454,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL0,T0,HER2,100.0,0.5699633699633699,0.22011482846873492,525,121,192,,,,,,,
profile_multiclass,2,2026.0,LOCAL0,T0,subtype_4class,0.0001,0.5166354481823655,,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL0,T1,HR,0.0001,0.5033296337402886,0.5043784596502502,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL0,T1,HER2,100.0,0.5267399267399268,0.6181275505612767,525,121,192,,,,,,,
profile_multiclass,2,2026.0,LOCAL0,T1,subtype_4class,0.001,0.5307356500402742,,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL0,T2,HR,0.0001,0.5202552719200888,0.4701090568769258,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL0,T2,HER2,1.0,0.5776556776556776,0.37215401169998824,525,121,192,,,,,,,
profile_multiclass,2,2026.0,LOCAL0,T2,subtype_4class,0.001,0.549913613007428,,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL0,T3,HR,0.01,0.5180355160932297,0.5389838137384982,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL0,T3,HER2,0.1,0.5465201465201465,0.5995432113218998,525,121,192,,,,,,,
profile_multiclass,2,2026.0,LOCAL0,T3,subtype_4class,0.0001,0.5351481515080474,,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL0,long_T0_T1,HR,0.001,0.5269145394006659,0.4913534210200139,525,121,384,,,,,,,
profile_binary,2,2026.0,LOCAL0,long_T0_T1,HER2,10.0,0.5783882783882783,0.1001289685787065,525,121,384,,,,,,,
profile_multiclass,2,2026.0,LOCAL0,long_T0_T1,subtype_4class,0.0001,0.54327797312301,,525,121,384,,,,,,,
profile_binary,2,2026.0,LOCAL0,long_T0_T2,HR,0.01,0.5585460599334073,0.5351272236477279,525,121,576,,,,,,,
profile_binary,2,2026.0,LOCAL0,long_T0_T2,HER2,0.01,0.5538461538461538,0.47793459012611333,525,121,576,,,,,,,
profile_multiclass,2,2026.0,LOCAL0,long_T0_T2,subtype_4class,0.001,0.5735630923895617,,525,121,576,,,,,,,
profile_binary,2,2026.0,LOCAL0,long_T0_T3,HR,0.001,0.5413429522752498,0.3785034843335185,525,121,768,,,,,,,
profile_binary,2,2026.0,LOCAL0,long_T0_T3,HER2,0.1,0.5717948717948718,0.30677973223799865,525,121,768,,,,,,,
profile_multiclass,2,2026.0,LOCAL0,long_T0_T3,subtype_4class,0.0001,0.5615357549263059,,525,121,768,,,,,,,
profile_binary,3,2026.0,LOCAL0,T0,HR,0.0001,0.5102663706992231,0.49314486524725465,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T0,HER2,10.0,0.5340501792114696,0.19560681353731751,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,T0,subtype_4class,100.0,0.5282018028154719,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T1,HR,100.0,0.46226415094339623,0.546411670508095,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T1,HER2,100.0,0.6562724014336917,0.5328497301723094,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,T1,subtype_4class,100.0,0.5434512915371761,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T2,HR,1.0,0.5929522752497226,0.4027859514250575,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T2,HER2,0.1,0.5139784946236559,0.5384747653172718,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,T2,subtype_4class,10.0,0.5879448841880702,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T3,HR,100.0,0.6029411764705883,0.5908713517228875,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T3,HER2,0.001,0.5523297491039427,0.45265679258400165,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,T3,subtype_4class,0.001,0.5898939482080079,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T1,HR,1.0,0.4944506104328524,0.5803642431071881,526,121,384,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T1,HER2,0.001,0.5587813620071684,0.5201575770344473,526,121,384,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,long_T0_T1,subtype_4class,10.0,0.5048936181310194,,526,121,384,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T2,HR,1.0,0.5466148723640399,0.7406251663776343,526,121,576,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T2,HER2,10.0,0.535483870967742,0.05710144619747285,526,121,576,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,long_T0_T2,subtype_4class,1.0,0.5095739602592434,,526,121,576,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T3,HR,1.0,0.5302441731409544,0.38542668117675266,526,121,768,,,,,,,
