population,seed,arm,timing,clinical_contract,comparison,reference_model,comparison_model,n,delta_auroc,delta_auprc,brier_improvement
ftv_complete_375,2026,LOCAL0,T0,C2_full_with_treatment,C+M_vs_C,C,C+M,375,-0.09138936535162956,-0.15042587210440184,0.005944403464290204
ftv_complete_375,2026,LOCAL0,T0,C2_full_with_treatment,C+F+M_vs_C+F,C+F,C+F+M,375,-0.10240137221269296,-0.171689820919375,-0.011055980026866363
ftv_complete_375,2026,LOCAL0,T1,C2_full_with_treatment,C+M_vs_C,C,C+M,375,-0.07210977701543753,-0.1372555539525212,0.019468716695532684
ftv_complete_375,2026,LOCAL0,T1,C2_full_with_treatment,C+F+M_vs_C+F,C+F,C+F+M,375,-0.0500514579759862,-0.10384532694341836,-0.02029273428153655
ftv_complete_375,2026,LOCAL0,T2,C2_full_with_treatment,C+M_vs_C,C,C+M,375,-0.09495711835334486,-0.14399750874022865,0.009044391165160592
ftv_complete_375,2026,LOCAL0,T2,C2_full_with_treatment,C+F+M_vs_C+F,C+F,C+F+M,375,-0.10706689536878222,-0.12761187125014983,-0.049150164348265385
ftv_complete_375,2026,LOCAL0,T3,C2_full_with_treatment,C+M_vs_C,C,C+M,375,-0.12809605488850784,-0.1810461915620074,-0.014785300426980341
ftv_complete_375,2026,LOCAL0,T3,C2_full_with_treatment,C+F+M_vs_C+F,C+F,C+F+M,375,-0.0926586620926243,-0.13691149058763608,-0.05250843813259401
ftv_complete_375,2026,LOCAL3,T0,C2_full_with_treatment,C+M_vs_C,C,C+M,375,-0.1212006861063466,-0.18239840483286635,-0.009113391676312144
ftv_complete_375,2026,LOCAL3,T0,C2_full_with_treatment,C+F+M_vs_C+F,C+F,C+F+M,375,-0.1339108061749571,-0.20923114093195128,-0.0390617012768395
ftv_complete_375,2026,LOCAL3,T1,C2_full_with_treatment,C+M_vs_C,C,C+M,375,-0.07183533447684409,-0.13215401939126675,0.015599825453989802
