population,seed,arm,timing,model,clinical_contract,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T0,C,C2_full_with_treatment,0,69,20,49,0.689795918367347,0.45913627829079706,0.6081632653061224,0.24900909795157006
ftv_complete_375,2026,LOCAL0,T0,C,C2_full_with_treatment,1,67,20,47,0.7180851063829786,0.5739782862919715,0.6430851063829788,0.24861127523741341
ftv_complete_375,2026,LOCAL0,T0,C,C2_full_with_treatment,2,83,24,59,0.6412429378531074,0.49331696165888866,0.5903954802259886,0.24103091419578523
ftv_complete_375,2026,LOCAL0,T0,C,C2_full_with_treatment,3,72,23,49,0.7515527950310559,0.6324861766008653,0.7342502218278616,0.2397912060729757
ftv_complete_375,2026,LOCAL0,T0,C,C2_full_with_treatment,4,84,23,61,0.7861724875267284,0.6134760895267667,0.7006414825374199,0.23870886355396798
ftv_complete_375,2026,LOCAL0,T0,C+F,C2_full_with_treatment,0,69,20,49,0.6948979591836735,0.46344777562342976,0.6081632653061224,0.24897795779306528
ftv_complete_375,2026,LOCAL0,T0,C+F,C2_full_with_treatment,1,67,20,47,0.7074468085106383,0.5770249432412937,0.6468085106382979,0.24865091949536233
ftv_complete_375,2026,LOCAL0,T0,C+F,C2_full_with_treatment,2,83,24,59,0.6504237288135594,0.5199163227410378,0.615819209039548,0.2072438043748119
ftv_complete_375,2026,LOCAL0,T0,C+F,C2_full_with_treatment,3,72,23,49,0.7533274179236912,0.6656232302791004,0.712511091393079,0.23982286517994755
ftv_complete_375,2026,LOCAL0,T0,C+F,C2_full_with_treatment,4,84,23,61,0.7883107626514612,0.6128819975816542,0.7006414825374199,0.23869725442136977
ftv_complete_375,2026,LOCAL0,T0,C+F+M,C2_full_with_treatment,0,69,20,49,0.563265306122449,0.3209543608193059,0.4923469387755102,0.2773609571909713
ftv_complete_375,2026,LOCAL0,T0,C+F+M,C2_full_with_treatment,1,67,20,47,0.6095744680851064,0.44473203344567336,0.6218085106382978,0.2096483007170021
ftv_complete_375,2026,LOCAL0,T0,C+F+M,C2_full_with_treatment,2,83,24,59,0.5889830508474576,0.4479761599043567,0.5865112994350282,0.21391360665848555
ftv_complete_375,2026,LOCAL0,T0,C+F+M,C2_full_with_treatment,3,72,23,49,0.7480035492457853,0.6483152492051616,0.7559893522626442,0.19888854501048858
ftv_complete_375,2026,LOCAL0,T0,C+F+M,C2_full_with_treatment,4,84,23,61,0.5751960085531005,0.35431765594752396,0.5235210263720599,0.3243450933788174
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual,C2_full_with_treatment,0,69,20,49,0.5510204081632653,0.3154305517081427,0.4923469387755102,0.2785988752427831
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual,C2_full_with_treatment,1,67,20,47,0.6425531914893617,0.46644128872756274,0.6324468085106383,0.2060608425864782
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual,C2_full_with_treatment,2,83,24,59,0.5896892655367231,0.45225504547910395,0.5865112994350282,0.21516644904423707
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual,C2_full_with_treatment,3,72,23,49,0.7497781721384206,0.6527470212060338,0.7661934338952973,0.19836493803159064
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual,C2_full_with_treatment,4,84,23,61,0.6001425516749821,0.357317214295111,0.5099786172487526,0.2649128143436481
ftv_complete_375,2026,LOCAL0,T0,C+M,C2_full_with_treatment,0,69,20,49,0.5989795918367347,0.37737360276623005,0.5525510204081632,0.23319655159302247
ftv_complete_375,2026,LOCAL0,T0,C+M,C2_full_with_treatment,1,67,20,47,0.6138297872340426,0.44966625396812915,0.6218085106382978,0.20971425812815495
ftv_complete_375,2026,LOCAL0,T0,C+M,C2_full_with_treatment,2,83,24,59,0.5911016949152543,0.44499925853702277,0.5741525423728814,0.21170766203435654
ftv_complete_375,2026,LOCAL0,T0,C+M,C2_full_with_treatment,3,72,23,49,0.7453416149068322,0.6440610986705706,0.7559893522626442,0.1989105454942791
ftv_complete_375,2026,LOCAL0,T0,C+M,C2_full_with_treatment,4,84,23,61,0.5709194583036351,0.357782729037062,0.5481111903064861,0.3201999592327299
ftv_complete_375,2026,LOCAL0,T0,C+M_error_correction,C2_full_with_treatment,0,69,20,49,0.4653061224489796,0.2934934976742855,0.5,0.21333334676192142
ftv_complete_375,2026,LOCAL0,T0,C+M_error_correction,C2_full_with_treatment,1,67,20,47,0.44999999999999996,0.2930449498912012,0.5,0.2150152891908671
ftv_complete_375,2026,LOCAL0,T0,C+M_error_correction,C2_full_with_treatment,2,83,24,59,0.5324858757062148,0.38999148213842116,0.5,0.20664005124156437
ftv_complete_375,2026,LOCAL0,T0,C+M_error_correction,C2_full_with_treatment,3,72,23,49,0.6255545696539485,0.522594754401648,0.5,0.21018283972139312
ftv_complete_375,2026,LOCAL0,T0,C+M_error_correction,C2_full_with_treatment,4,84,23,61,0.5687811831789024,0.3244697752900237,0.5,0.19839494467682162
ftv_complete_375,2026,LOCAL0,T0,F,C2_full_with_treatment,0,69,20,49,0.636734693877551,0.39481787951302605,0.5,0.24942237858431207
ftv_complete_375,2026,LOCAL0,T0,F,C2_full_with_treatment,1,67,20,47,0.41702127659574467,0.28339486862297136,0.5,0.24953555228678687
ftv_complete_375,2026,LOCAL0,T0,F,C2_full_with_treatment,2,83,24,59,0.5628531073446328,0.4705568601967343,0.5,0.24945943110790877
ftv_complete_375,2026,LOCAL0,T0,F,C2_full_with_treatment,3,72,23,49,0.4720496894409938,0.322390649001701,0.5,0.2495207239218631
ftv_complete_375,2026,LOCAL0,T0,F,C2_full_with_treatment,4,84,23,61,0.48325017818959376,0.3100256329911585,0.5,0.24948808101504208
ftv_complete_375,2026,LOCAL0,T0,M,C2_full_with_treatment,0,69,20,49,0.4520408163265306,0.27559073222628144,0.45816326530612245,0.2432283759438543
ftv_complete_375,2026,LOCAL0,T0,M,C2_full_with_treatment,1,67,20,47,0.4691489361702128,0.2798371552060733,0.49414893617021277,0.25137937999094034
ftv_complete_375,2026,LOCAL0,T0,M,C2_full_with_treatment,2,83,24,59,0.5466101694915254,0.3535941925845075,0.5843926553672316,0.3629605118509217
ftv_complete_375,2026,LOCAL0,T0,M,C2_full_with_treatment,3,72,23,49,0.5678793256433008,0.4736561914893371,0.5434782608695652,0.2161186132123236
ftv_complete_375,2026,LOCAL0,T0,M,C2_full_with_treatment,4,84,23,61,0.47255880256593014,0.26057767176357965,0.4746970776906628,0.31702642971101797
ftv_complete_375,2026,LOCAL0,T0,M_residual,C2_full_with_treatment,0,69,20,49,0.48265306122448975,0.3909689726820879,0.5005102040816326,0.24949088752066376
ftv_complete_375,2026,LOCAL0,T0,M_residual,C2_full_with_treatment,1,67,20,47,0.552127659574468,0.31919936852827746,0.551595744680851,0.2495409982872154
ftv_complete_375,2026,LOCAL0,T0,M_residual,C2_full_with_treatment,2,83,24,59,0.5508474576271186,0.35496620276552976,0.5759180790960452,0.3637847467449696
ftv_complete_375,2026,LOCAL0,T0,M_residual,C2_full_with_treatment,3,72,23,49,0.5661047027506655,0.4736654156891963,0.5217391304347826,0.21639061415933986
ftv_complete_375,2026,LOCAL0,T0,M_residual,C2_full_with_treatment,4,84,23,61,0.4875267284390592,0.26688029294855786,0.49109052031361367,0.30922997958233117
ftv_complete_375,2026,LOCAL0,T1,C,C2_full_with_treatment,0,69,20,49,0.689795918367347,0.45913627829079706,0.6081632653061224,0.24900909795157006
ftv_complete_375,2026,LOCAL0,T1,C,C2_full_with_treatment,1,67,20,47,0.7180851063829786,0.5739782862919715,0.6430851063829788,0.24861127523741341
ftv_complete_375,2026,LOCAL0,T1,C,C2_full_with_treatment,2,83,24,59,0.6412429378531074,0.49331696165888866,0.5903954802259886,0.24103091419578523
ftv_complete_375,2026,LOCAL0,T1,C,C2_full_with_treatment,3,72,23,49,0.7515527950310559,0.6324861766008653,0.7342502218278616,0.2397912060729757
ftv_complete_375,2026,LOCAL0,T1,C,C2_full_with_treatment,4,84,23,61,0.7861724875267284,0.6134760895267667,0.7006414825374199,0.23870886355396798
ftv_complete_375,2026,LOCAL0,T1,C+F,C2_full_with_treatment,0,69,20,49,0.683673469387755,0.4703031526007533,0.6035714285714285,0.20884560713874004
ftv_complete_375,2026,LOCAL0,T1,C+F,C2_full_with_treatment,1,67,20,47,0.725531914893617,0.6162926592255753,0.6824468085106383,0.17372548388219244
ftv_complete_375,2026,LOCAL0,T1,C+F,C2_full_with_treatment,2,83,24,59,0.7182203389830508,0.553835460887314,0.6242937853107344,0.1866086319102893
ftv_complete_375,2026,LOCAL0,T1,C+F,C2_full_with_treatment,3,72,23,49,0.7577639751552795,0.7100897007658635,0.712511091393079,0.1767159875122445
ftv_complete_375,2026,LOCAL0,T1,C+F,C2_full_with_treatment,4,84,23,61,0.8310762651461154,0.6445249828270179,0.714183891660727,0.23774956527979355
ftv_complete_375,2026,LOCAL0,T1,C+F+M,C2_full_with_treatment,0,69,20,49,0.563265306122449,0.3328680498433135,0.5377551020408163,0.27429357160199347
ftv_complete_375,2026,LOCAL0,T1,C+F+M,C2_full_with_treatment,1,67,20,47,0.6734042553191489,0.515971368396798,0.6398936170212766,0.20451493074110186
ftv_complete_375,2026,LOCAL0,T1,C+F+M,C2_full_with_treatment,2,83,24,59,0.5522598870056497,0.4064107454119545,0.544138418079096,0.24054023943504058
ftv_complete_375,2026,LOCAL0,T1,C+F+M,C2_full_with_treatment,3,72,23,49,0.7346938775510203,0.6387053113804672,0.7444543034605147,0.19825613247757592
ftv_complete_375,2026,LOCAL0,T1,C+F+M,C2_full_with_treatment,4,84,23,61,0.7662152530292231,0.5740722298635667,0.6079828937990022,0.1782705058274908
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,0,69,20,49,0.5979591836734693,0.38321946690712466,0.5377551020408163,0.2626706521729146
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,1,67,20,47,0.6872340425531915,0.5650364386741934,0.6542553191489362,0.19683796443260876
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,2,83,24,59,0.5374293785310734,0.40920208008440057,0.5649717514124294,0.23106903399167347
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,3,72,23,49,0.7364685004436557,0.6419893340959996,0.7431233362910381,0.20057107421714618
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,4,84,23,61,0.7312900926585887,0.5347367883163578,0.6432644333570919,0.2019136543854062
ftv_complete_375,2026,LOCAL0,T1,C+M,C2_full_with_treatment,0,69,20,49,0.5173469387755102,0.33353958481779317,0.4627551020408163,0.2985933711278032
