population,seed,arm,timing,model,clinical_contract,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T0,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,2026,LOCAL0,T0,C+F,C2_full_with_treatment,375,110,265,0.6880274442538593,0.538897485664505,0.6582332761578045,0.2356217123236572
ftv_complete_375,2026,LOCAL0,T0,C+F+M,C2_full_with_treatment,375,110,265,0.5856260720411663,0.36720766474513,0.5962264150943397,0.24667769235052356
ftv_complete_375,2026,LOCAL0,T0,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6021955403087479,0.37299145384439486,0.5973413379073756,0.23312844282362324
ftv_complete_375,2026,LOCAL0,T0,C+M,C2_full_with_treatment,375,110,265,0.6052830188679246,0.38578671529558084,0.6102058319039452,0.2371506910786505
ftv_complete_375,2026,LOCAL0,T0,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5357461406518012,0.3279171823376615,0.5,0.20820130498187692
ftv_complete_375,2026,LOCAL0,T0,F,C2_full_with_treatment,375,110,265,0.5020926243567754,0.2921751272631997,0.5,0.24948439956033697
ftv_complete_375,2026,LOCAL0,T0,M,C2_full_with_treatment,375,110,265,0.5169811320754718,0.3107822292406562,0.5099485420240137,0.2825110910137554
ftv_complete_375,2026,LOCAL0,T0,M_residual,C2_full_with_treatment,375,110,265,0.5289879931389365,0.31981888171610573,0.5252144082332761,0.28182318562237335
ftv_complete_375,2026,LOCAL0,T1,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,2026,LOCAL0,T1,C+F,C2_full_with_treatment,375,110,265,0.6971526586620925,0.5259975356624463,0.6684391080617496,0.19795462758831528
ftv_complete_375,2026,LOCAL0,T1,C+F+M,C2_full_with_treatment,375,110,265,0.6471012006861063,0.422152208719028,0.6144082332761578,0.21824736186985183
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6445626072041166,0.43792329428922167,0.6280445969125215,0.21838136733395583
ftv_complete_375,2026,LOCAL0,T1,C+M,C2_full_with_treatment,375,110,265,0.6245626072041166,0.3989570334474615,0.5951114922813037,0.22362637784740802
ftv_complete_375,2026,LOCAL0,T1,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5420583190394511,0.3503972371654279,0.5072041166380789,0.2080372584005003
ftv_complete_375,2026,LOCAL0,T1,F,C2_full_with_treatment,375,110,265,0.6593481989708404,0.4223046318898934,0.5106346483704974,0.19643059789657363
ftv_complete_375,2026,LOCAL0,T1,M,C2_full_with_treatment,375,110,265,0.5129331046312179,0.3114418269349859,0.5217838765008576,0.2823936303150286
ftv_complete_375,2026,LOCAL0,T1,M_residual,C2_full_with_treatment,375,110,265,0.5148885077186963,0.33493230447446964,0.5279588336192109,0.2620479604622735
ftv_complete_375,2026,LOCAL0,T2,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,2026,LOCAL0,T2,C+F,C2_full_with_treatment,375,110,265,0.726106346483705,0.5400010651611841,0.6673241852487135,0.1887354938947084
ftv_complete_375,2026,LOCAL0,T2,C+F+M,C2_full_with_treatment,375,110,265,0.6190394511149228,0.41238919391103424,0.5660377358490566,0.23788565824297378
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual,C2_full_with_treatment,375,110,265,0.611663807890223,0.4030281461373547,0.5777873070325901,0.23258740700333957
ftv_complete_375,2026,LOCAL0,T2,C+M,C2_full_with_treatment,375,110,265,0.6017152658662093,0.392215078659754,0.576672384219554,0.2340507033777801
ftv_complete_375,2026,LOCAL0,T2,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5526586620926244,0.3239554857660942,0.5016295025728988,0.21697348515648923
ftv_complete_375,2026,LOCAL0,T2,F,C2_full_with_treatment,375,110,265,0.66295025728988,0.43481895924844305,0.5330188679245284,0.19396322798683355
ftv_complete_375,2026,LOCAL0,T2,M,C2_full_with_treatment,375,110,265,0.5176672384219554,0.3159548717287429,0.5093481989708405,0.2977587664598866
ftv_complete_375,2026,LOCAL0,T2,M_residual,C2_full_with_treatment,375,110,265,0.5018867924528302,0.3217588036315715,0.504802744425386,0.2907406546034039
ftv_complete_375,2026,LOCAL0,T3,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,2026,LOCAL0,T3,C+F,C2_full_with_treatment,375,110,265,0.7154030874785592,0.5393749537451002,0.6797598627787307,0.19299362818294807
ftv_complete_375,2026,LOCAL0,T3,C+F+M,C2_full_with_treatment,375,110,265,0.6227444253859349,0.4024634631574642,0.5975128644939965,0.24550206631554208
ftv_complete_375,2026,LOCAL0,T3,C+F+M_residual,C2_full_with_treatment,375,110,265,0.5967753001715266,0.3794414657596442,0.5835334476843911,0.26157447412469814
ftv_complete_375,2026,LOCAL0,T3,C+M,C2_full_with_treatment,375,110,265,0.5685763293310463,0.35516639583797527,0.5457118353344768,0.25788039496992105
ftv_complete_375,2026,LOCAL0,T3,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5593825042881647,0.3331110652272131,0.5175814751286449,0.21820371127758287
ftv_complete_375,2026,LOCAL0,T3,F,C2_full_with_treatment,375,110,265,0.6913207547169811,0.4682411335811604,0.5337907375643225,0.18794318580344452
ftv_complete_375,2026,LOCAL0,T3,M,C2_full_with_treatment,375,110,265,0.525934819897084,0.345116550669754,0.529073756432247,0.28714717110440646
ftv_complete_375,2026,LOCAL0,T3,M_residual,C2_full_with_treatment,375,110,265,0.4951286449399657,0.3122565392269855,0.5037735849056604,0.275481450539453
