seed,arm,timing,subgroup,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
2026,LOCAL0,T0,HER2+,M,201,94,107,0.5982302644660966,0.5744732518056648,0.5917677470670113,0.25087459115970595
2026,LOCAL0,T0,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
2026,LOCAL0,T0,HER2+,remaining_clinical+M,201,94,107,0.6485384768343607,0.6349524718991791,0.6183634917478624,0.2523686470927977
2026,LOCAL0,T0,HR+/HER2-,M,320,57,263,0.5206457207657927,0.18998319356671137,0.4990994596758055,0.19459292136524228
2026,LOCAL0,T0,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
2026,LOCAL0,T0,HR+/HER2-,remaining_clinical+M,320,57,263,0.6190380895203789,0.3051559798336088,0.5942899072776999,0.15566537494404745
2026,LOCAL0,T0,HR-/HER2-,M,287,124,163,0.4577973481100337,0.41974625894311024,0.4773401939441916,0.2513318282351359
2026,LOCAL0,T0,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
2026,LOCAL0,T0,HR-/HER2-,remaining_clinical+M,287,124,163,0.49510191965169204,0.42988105850373726,0.4834751632693449,0.2659804930465634
2026,LOCAL0,T1,HER2+,M,201,94,107,0.5336050904752436,0.4882142297557329,0.5290813282958838,0.28802880390148783
2026,LOCAL0,T1,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
2026,LOCAL0,T1,HER2+,remaining_clinical+M,201,94,107,0.6182143567309604,0.6098939048302446,0.5830682044143964,0.2777861354650441
2026,LOCAL0,T1,HR+/HER2-,M,320,57,263,0.5255153091855113,0.20417343881623584,0.5048028817290374,0.20492951544669316
2026,LOCAL0,T1,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
2026,LOCAL0,T1,HR+/HER2-,remaining_clinical+M,320,57,263,0.6196384497365086,0.2997766889803286,0.5771796411180041,0.16704745380073463
2026,LOCAL0,T1,HR-/HER2-,M,287,124,163,0.5178606768256482,0.49904282591991833,0.4936423906590144,0.32143513257043704
2026,LOCAL0,T1,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
2026,LOCAL0,T1,HR-/HER2-,remaining_clinical+M,287,124,163,0.472887393627548,0.429433336720143,0.4771670294874332,0.308541171827701
2026,LOCAL0,T2,HER2+,M,201,94,107,0.5404653012527342,0.5047888487000789,0.5564724597335454,0.34277907736333857
2026,LOCAL0,T2,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
2026,LOCAL0,T2,HER2+,remaining_clinical+M,201,94,107,0.6128454961224896,0.5893087772435034,0.5890336050904752,0.3204507771697045
2026,LOCAL0,T2,HR+/HER2-,M,320,57,263,0.5017677273030485,0.18462896803187573,0.5150423587485824,0.20299424887526363
2026,LOCAL0,T2,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
2026,LOCAL0,T2,HR+/HER2-,remaining_clinical+M,320,57,263,0.5575345207124275,0.25051341148522843,0.5360883196584617,0.20970000814213047
