family,timing,workbook_field,definition,static_family_transform,winsorization,scaling,dynamic_formula,dynamic_status,T3_timing_note
FTV,T0,VOLUME_TUM_BLU_V10,满足 PE/SER 阈值的增强组织功能性肿瘤体积（cc）,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
FTV,T1,VOLUME_TUM_BLU_V20,满足 PE/SER 阈值的增强组织功能性肿瘤体积（cc）,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
FTV,T2,VOLUME_TUM_BLU_V30,满足 PE/SER 阈值的增强组织功能性肿瘤体积（cc）,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
FTV,T3,VOLUME_TUM_BLU_V40,满足 PE/SER 阈值的增强组织功能性肿瘤体积（cc）,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,late/pre-surgery
LD,T0,LD_T0,Goal 6 工作簿最长径；工作簿未声明单位,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
LD,T1,LD_T1,Goal 6 工作簿最长径；工作簿未声明单位,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
LD,T2,LD_T2,Goal 6 工作簿最长径；工作簿未声明单位,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
LD,T3,LD_T3,Goal 6 工作簿最长径；工作簿未声明单位,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,late/pre-surgery
SPH,T0,SPHERICITY_T0,等体积球表面积 / 3D FTV tumor-mask 表面积（无量纲）,identity,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
SPH,T1,SPHERICITY_T1,等体积球表面积 / 3D FTV tumor-mask 表面积（无量纲）,identity,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
SPH,T2,SPHERICITY_T2,等体积球表面积 / 3D FTV tumor-mask 表面积（无量纲）,identity,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
SPH,T3,SPHERICITY_T3,等体积球表面积 / 3D FTV tumor-mask 表面积（无量纲）,identity,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,late/pre-surgery
BPE,T0,BPE_5slice_mean_T0,对侧乳腺中央连续五层纤维腺体组织平均早期 percent enhancement,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
BPE,T1,BPE_5slice_mean_T1,对侧乳腺中央连续五层纤维腺体组织平均早期 percent enhancement,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
BPE,T2,BPE_5slice_mean_T2,对侧乳腺中央连续五层纤维腺体组织平均早期 percent enhancement,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,
BPE,T3,BPE_5slice_mean_T3,对侧乳腺中央连续五层纤维腺体组织平均早期 percent enhancement,log1p,outer_train_1pct_99pct,outer_train_population_standardization,100 * (x_end - x_start) / abs(x_start),new_adjacent_interval_instantiation_of_goal6_formula,late/pre-surgery
