arm,both_seed_pass,candidate_both_seed_gt_0_20,comparison,diagnostic_type,evidence_scope,input_variant,interval,maximum_exclusions_from_375,minimum_seed_delta_spearman,n_max,n_min,oracle_representation,patient_set_sha256,rank_metric,reference_both_seed_gt_0_20,seed_2026_candidate_spearman,seed_2026_delta_spearman,seed_2026_reference_spearman,seed_3026_candidate_spearman,seed_3026_delta_spearman,seed_3026_reference_spearman,spearman_gain_threshold,target,target_kind,task_type,threshold_operator,timing
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,difference,T0->T1,0,-0.0886253804530702,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0687750702403122,-0.0484388659917302,0.1172139362320424,-0.0201183105529524,-0.0886253804530702,0.0685070699001178,0.1,BPE,residual_ftv,dynamic,>=,
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,difference,T0->T1,0,-0.0823191174889916,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0487295884506161,-0.0657922151537537,0.1145218036043698,-0.0293071277755334,-0.0823191174889916,0.0530119897134581,0.1,BPE,residual_ftv,dynamic,>=,
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,difference,T1->T2,1,0.0077600556281936,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.2019830706805645,0.0077600556281936,0.1942230150523708,0.1587643901311448,0.0118421783421658,0.146922211788979,0.1,BPE,residual_ftv,dynamic,>=,
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,difference,T1->T2,1,-0.0123961965837628,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.1853775662520781,-0.0123961965837628,0.197773762835841,0.1456293760007722,-0.0099849171864136,0.1556142931871858,0.1,BPE,residual_ftv,dynamic,>=,
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,difference,T2->T3,2,-0.0792099399663959,373,373,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0713140964359142,-0.0792099399663959,0.1505240364023102,0.0947577596716195,-0.0772837807341639,0.1720415404057834,0.1,BPE,residual_ftv,dynamic,>=,
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,difference,T2->T3,2,-0.0570292676016746,373,373,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0762262382544361,-0.0373097813655827,0.1135360196200188,0.1215435223875065,-0.0570292676016746,0.1785727899891812,0.1,BPE,residual_ftv,dynamic,>=,
LOCAL0,False,True,,oracle_localization,primary_ftv_residual,current,,0,0.0257617508358197,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.2373245646022572,0.0377969444448671,0.1995276201573901,0.2638786757790601,0.0257617508358197,0.2381169249432404,0.1,BPE,residual_ftv,static,>=,T0
LOCAL3,False,True,,oracle_localization,primary_ftv_residual,current,,0,-0.0356631976800572,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,True,0.2454963046763125,0.0403679713644188,0.2051283333118937,0.2652248121126122,-0.0356631976800572,0.3008880097926694,0.1,BPE,residual_ftv,static,>=,T0
LOCAL0,False,True,,oracle_localization,primary_ftv_residual,current,,0,0.0045835282067237,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,True,0.2786881020680541,0.0045835282067237,0.2741045738613303,0.3413982325029246,0.0231731015912101,0.3182251309117145,0.1,BPE,residual_ftv,static,>=,T1
LOCAL3,False,True,,oracle_localization,primary_ftv_residual,current,,0,0.0105602427897349,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,True,0.306200760879407,0.0105602427897349,0.295640518089672,0.3420144275855853,0.0292240310054457,0.3127903965801396,0.1,BPE,residual_ftv,static,>=,T1
