analysis,task_type,target_kind,target,endpoint,arm,representation,spearman_metric,natural_r2_metric,minimum_seed_spearman,mean_seed_spearman,minimum_seed_natural_r2,mean_seed_natural_r2,seed_2026_spearman,seed_3026_spearman,seed_2026_natural_r2,seed_3026_natural_r2,n_min,n_max,maximum_exclusions_from_375,patient_set_sha256,selection_scope
static_raw_early,static,raw,FTV,T0,LOCAL0,Z4,spearman,natural_r2,0.7867158948685857,0.8014275799294573,0.3537388509826246,0.4169600082600623,0.816139264990329,0.7867158948685857,0.4801811655375,0.3537388509826246,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
static_raw_early,static,raw,LD,T0,LOCAL0,Z2,spearman,natural_r2,0.4281742112096555,0.4323254516213808,0.1190948075911777,0.148087926125844,0.4281742112096555,0.4364766920331062,0.1190948075911777,0.1770810446605103,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
static_raw_early,static,raw,SPH,T0,LOCAL3,Z4,spearman,natural_r2,0.4759133007168051,0.48039890772556604,0.1930089313418691,0.2013064261236001,0.484884514734327,0.4759133007168051,0.2096039209053311,0.1930089313418691,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
static_raw_early,static,raw,BPE,T2,LOCAL3,Z4,spearman,natural_r2,0.4098200022755717,0.43433507793833204,0.10362595964578,0.1122829927960325,0.4588501536010923,0.4098200022755717,0.120940025946285,0.10362595964578,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
static_residual_early,static,residual_ftv,LD,T0,LOCAL3,Z2,residual_spearman,reconstructed_natural_r2,0.1202217682996104,0.12494158012464104,0.3362733098232666,0.3422405112885383,0.1202217682996104,0.1296613919496717,0.3362733098232666,0.3482077127538099,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
dynamic_residual_early,dynamic,residual_ftv,LD,T0->T1,LOCAL3,Z3,residual_spearman,reconstructed_natural_r2,0.0992768498714123,0.108141456312824,0.0600718700206623,0.0610883124221102,0.1170060627542357,0.0992768498714123,0.0600718700206623,0.0621047548235581,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
static_residual_early,static,residual_ftv,SPH,T0,LOCAL3,Z4,residual_spearman,reconstructed_natural_r2,0.3118793646551625,0.3134244503339122,0.3699355404251214,0.3704241332602123,0.3149695360126619,0.3118793646551625,0.3699355404251214,0.3709127260953031,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
dynamic_residual_early,dynamic,residual_ftv,SPH,T1->T2,LOCAL3,Z2,residual_spearman,reconstructed_natural_r2,0.0475996841301861,0.05738470654766115,0.1202060060581344,0.1219920742296041,0.0475996841301861,0.0671697289651362,0.1237781424010738,0.1202060060581344,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
static_residual_early,static,residual_ftv,BPE,T2,LOCAL0,Z4,residual_spearman,reconstructed_natural_r2,0.3539145085576231,0.3718703057698707,0.1016115412056805,0.1019527872488449,0.3898261029821183,0.3539145085576231,0.1022940332920093,0.1016115412056805,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
dynamic_residual_early,dynamic,residual_ftv,BPE,T1->T2,LOCAL3,Z4,residual_spearman,reconstructed_natural_r2,0.1564122416853746,0.17719400496652105,0.0403433841801796,0.043963270353218356,0.1979757682476675,0.1564122416853746,0.0475831565262571,0.0403433841801796,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_summary_only_not_checkpoint_or_probe_selection
