task_type,target_definition,target_kind,target,interval,input_variant,spearman_metric,natural_r2_metric,arm,representation,minimum_seed_spearman,mean_seed_spearman,minimum_seed_natural_r2,mean_seed_natural_r2,seed_2026_spearman,seed_3026_spearman,seed_2026_natural_r2,seed_3026_natural_r2,n_min,n_max,maximum_exclusions_from_375,patient_set_sha256,selection_scope
dynamic,adjacent_percent_change_new_extension,raw,FTV,T0->T1,difference,spearman,natural_r2,LOCAL3,Z1,0.3881920582546365,0.3924344066446695,0.0384184858096793,0.0412730761168746,0.3881920582546365,0.3966767550347025,0.0441276664240699,0.0384184858096793,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,FTV,T1->T2,difference,spearman,natural_r2,LOCAL0,Z4,0.2898332005916487,0.2983139151211742,0.0126488835827677,0.0131624320359911,0.2898332005916487,0.3067946296506997,0.0136759804892145,0.0126488835827677,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,FTV,T2->T3,difference,spearman,natural_r2,LOCAL3,Z3,0.1848399135282739,0.20706200932984403,-0.0063742652916485,-0.0008138167617276499,0.2292841051314142,0.1848399135282739,-0.0063742652916485,0.0047466317681932,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,LD,T0->T1,difference,spearman,natural_r2,LOCAL3,Z4,0.1088346734993524,0.1127217969618679,-0.0114505196959859,-0.0039063113103809995,0.1166089204243834,0.1088346734993524,-0.0114505196959859,0.0036378970752239,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,LD,T1->T2,difference,spearman,natural_r2,LOCAL0,Z2,-0.011971643281245,-0.0075887353785874506,-0.0178309813065307,-0.01759065452901985,-0.0032058274759299,-0.011971643281245,-0.0178309813065307,-0.017350327751509,370,370,5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,LD,T2->T3,difference,spearman,natural_r2,LOCAL0,Z4,0.0199472134207075,0.05682170307574985,-0.0338015966937108,-0.022906683384943352,0.0199472134207075,0.0936961927307922,-0.0120117700761759,-0.0338015966937108,313,313,62,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,SPH,T0->T1,difference,spearman,natural_r2,LOCAL0,Z3,-0.0206321538286494,-0.01529389008988505,-0.0726079548447689,-0.060561126823730244,-0.0099556263511207,-0.0206321538286494,-0.0726079548447689,-0.0485142988026916,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,SPH,T1->T2,difference,spearman,natural_r2,LOCAL0,Z4,0.0686114461258391,0.089207304585277,-0.0206932040908927,0.0023712482526414506,0.0686114461258391,0.1098031630447149,-0.0206932040908927,0.0254357005961756,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,SPH,T2->T3,difference,spearman,natural_r2,LOCAL3,Z1,0.1369584708157925,0.13967573102742065,0.0056666108154245,0.0173899732869198,0.1369584708157925,0.1423929912390488,0.0291133357584151,0.0056666108154245,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
dynamic,adjacent_percent_change_new_extension,raw,BPE,T0->T1,difference,spearman,natural_r2,LOCAL3,Z4,0.1362560018204574,0.1793267721014905,0.0155185088432444,0.0248892208000117,0.2223975423825236,0.1362560018204574,0.034259932756779,0.0155185088432444,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,descriptive_best_fixed_candidate_per_interval_not_a_gate
