oracle_representation,matched_reference,seed,arm,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,n_oracle,spearman_oracle,pearson_oracle,natural_r2_oracle,transformed_r2_oracle,residual_spearman_oracle,residual_transformed_r2_oracle,reconstructed_natural_r2_oracle,rmse_oracle,mae_oracle,reconstructed_natural_rmse_oracle,reconstructed_natural_mae_oracle,prediction_target_variance_ratio_oracle,calibration_slope_oracle,n_full_local_matched,spearman_full_local_matched,pearson_full_local_matched,natural_r2_full_local_matched,transformed_r2_full_local_matched,residual_spearman_full_local_matched,residual_transformed_r2_full_local_matched,reconstructed_natural_r2_full_local_matched,rmse_full_local_matched,mae_full_local_matched,reconstructed_natural_rmse_full_local_matched,reconstructed_natural_mae_full_local_matched,prediction_target_variance_ratio_full_local_matched,calibration_slope_full_local_matched,delta_spearman,delta_pearson,delta_natural_r2,delta_transformed_r2,delta_residual_spearman,delta_residual_transformed_r2,delta_reconstructed_natural_r2,delta_rmse,delta_mae,delta_reconstructed_natural_rmse,delta_reconstructed_natural_mae,delta_prediction_target_variance_ratio,delta_calibration_slope
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,375,0.15211787461599727,0.1381867665483385,0.01660522695827893,0.0008176566371000244,,,,35.765204544451066,24.763943237380364,,,0.03517832790928949,0.7367647826852706,375,0.19079827056547957,0.13595763556799378,0.009904836483499602,-0.00843945565943335,,,,35.88684136168682,24.896636546887798,,,0.05224141637292563,0.5948344757466829,-0.038680395949482305,0.002229130980344718,0.0067003904747793275,0.009257112296533374,,,,-0.12163681723575337,-0.13269330950743452,,,-0.017063088463636134,0.14193030693858766
Z5,Z4_MATCHED_Z5,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,375,0.15080987598134032,0.11561677776737005,0.007661541575068154,-0.010011492444324057,,,,35.9274734253542,24.81162848571386,,,0.03642668974549294,0.6057745282442342,375,0.22239754238252363,0.18548310654919742,0.03425993275677908,0.025822914295567115,,,,35.442707481307,24.485814130993997,,,0.03668762449461201,0.9683772206245951,-0.0715876664011833,-0.06986632878182737,-0.026598391181710923,-0.035834406739891175,,,,0.4847659440471972,0.32581435471986353,,,-0.0002609347491190697,-0.3626026923803609
Z5,Z4_MATCHED_Z5,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,375,0.07032517920127432,0.07153154985076285,-0.014849235480705492,-0.04982602891855045,,,,36.33268803019046,25.207595520587443,,,0.04323803400941884,0.344004929124969,375,0.13444623961770397,0.11711762351958593,-0.010470762517251764,-0.04606151577973624,,,,36.25422630227425,25.03784028245072,,,0.07318918741274928,0.43291116701818777,-0.06412106041642965,-0.045586073668823085,-0.004378472963453728,-0.003764513138814214,,,,0.07846172791621342,0.1697552381367231,,,-0.02995115340333044,-0.08890623789321878
Z5,Z4_MATCHED_Z5,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,375,0.06219638184093754,0.08302510981865739,-0.0030780902609486294,-0.03220872314645616,,,,36.12136366565841,24.896178730777706,,,0.03178864101060325,0.46566487215701907,375,0.1362560018204574,0.1404093848067235,0.01551850884324446,-0.008228517116978534,,,,35.78496057990841,24.666720076629115,,,0.03883662634825853,0.7124844465468221,-0.07405961997951988,-0.0573842749880661,-0.01859659910419309,-0.023980206029477626,,,,0.3364030857499998,0.22945865414859057,,,-0.007047985337655285,-0.246819574389803
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T1->T2,difference,natural_target,374,0.21039973620449887,0.1678476586561586,0.026146000457032748,0.010447008820687321,,,,35.88646215370842,25.608434346480063,,,0.041478470162612635,0.8241455586179287,374,0.20519837708419952,0.16372898482061396,0.020297530824690546,0.0031031368987927068,,,,35.99405873262551,25.75131600009902,,,0.05901253884656347,0.6739899479111368,0.0052013591202993426,0.004118673835544651,0.005848469632342201,0.0073438719218946145,,,,-0.1075965789170894,-0.14288165361895722,,,-0.017534068683950833,0.15015561070679195
Z5,Z4_MATCHED_Z5,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T1->T2,difference,natural_target,374,0.18286430302074524,0.14510237564963677,0.009645647113336042,-0.011572201032887273,,,,36.18920369704638,26.069171199537763,,,0.06302014318256823,0.5780093052401422,374,0.21128838296225144,0.16653557495582655,0.020384453547576453,0.004832898930580046,,,,35.99246193610224,25.732091694203852,,,0.06280937538203636,0.6644996912777741,-0.028424079941506197,-0.021433199306189782,-0.010738806434240411,-0.01640509996346732,,,,0.19674176094414264,0.33707950533391084,,,0.00021076780053186361,-0.08649038603763193
Z5,Z4_MATCHED_Z5,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T1->T2,difference,natural_target,374,0.1661690298346977,0.14495998495533088,0.011668869366042833,-0.008762817625141873,,,,36.152218836304904,25.899591809550653,,,0.05710895677361422,0.606591083029736,374,0.15263815572536593,0.13434080208221738,-0.022284581409124593,-0.040989490294126255,,,,36.76796765589037,26.4394875140054,,,0.11037545634289997,0.40436325222753616,0.013530874109331764,0.010619182873113503,0.033953450775167426,0.03222667266898438,,,,-0.6157488195854626,-0.5398957044547466,,,-0.05326649956928575,0.2022278308021998
Z5,Z4_MATCHED_Z5,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T1->T2,difference,natural_target,374,0.1515815973964531,0.13936492154981048,0.009313433267756133,-0.01170452558046314,,,,36.19527301275282,25.9244853416963,,,0.05620484642498001,0.5878500939243766,374,0.17669515849235137,0.16965936216536195,0.019898268553886544,0.004842451880772396,,,,36.00139239064915,25.970932763881702,,,0.06727503319167322,0.6541101218938409,-0.025113561095898268,-0.030294440615551477,-0.010584835286130412,-0.016546977461235537,,,,0.19388062210366996,-0.046447422185401877,,,-0.011070186766693205,-0.06626002796946429
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T2->T3,difference,natural_target,373,0.058223713343390625,0.0423200959565443,-0.02707104182528508,-0.08874703363088544,,,,46.31977157701356,30.54395007329503,,,0.04483636751346315,0.19986255433245928,373,0.11943408822306213,0.05047294110334108,-0.011125163888191958,-0.04894324896396398,,,,45.95879424335503,29.9591904772377,,,0.027559440627532114,0.3040348818437902,-0.06121037487967151,-0.008152845146796782,-0.015945877937093123,-0.039803784666921464,,,,0.360977333658532,0.584759596057328,,,0.017276926885931035,-0.1041723275113309
Z5,Z4_MATCHED_Z5,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T2->T3,difference,natural_target,373,0.05243168034859633,0.07350977596545304,-0.018155953117698465,-0.08271228737155881,,,,46.11830309641842,30.48231330922447,,,0.05126621063900498,0.324660527812315,373,0.12143197887600939,0.08648501343544192,-0.006324736628955607,-0.055997710707303916,,,,45.84956724722743,30.04649257831147,,,0.04117263389960292,0.42622265684498667,-0.06900029852741306,-0.012975237469988882,-0.011831216488742857,-0.02671457666425489,,,,0.26873584919099613,0.4358207309130009,,,0.01009357673940206,-0.10156212903267164
