representation,region,task_type,timing,interval,valid_n,excluded_n,validity_rule,patient_set_sha256
Z5,CORE,static,T0,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z5,CORE,static,T1,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z5,CORE,static,T2,,374,1,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z5,CORE,static,T3,,374,1,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z5,CORE,dynamic,,T0->T1,375,0,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z5,CORE,dynamic,,T1->T2,374,1,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z5,CORE,dynamic,,T2->T3,373,2,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z6,PERI10,static,T0,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z6,PERI10,static,T1,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z6,PERI10,static,T2,,374,1,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z6,PERI10,static,T3,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z6,PERI10,dynamic,,T0->T1,375,0,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z6,PERI10,dynamic,,T1->T2,374,1,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z6,PERI10,dynamic,,T2->T3,374,1,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z7,PERI20,static,T0,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z7,PERI20,static,T1,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z7,PERI20,static,T2,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z7,PERI20,static,T3,,375,0,current_visit_oracle_valid,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z7,PERI20,dynamic,,T0->T1,375,0,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z7,PERI20,dynamic,,T1->T2,375,0,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
Z7,PERI20,dynamic,,T2->T3,375,0,both_interval_endpoints_oracle_valid_and_FTV_change_eligible,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
