task_type,target_kind,input_variant,representation,probe_fold_rows,distinct_outer_folds,n_train_min,n_validation_min,n_test_min,n_test_max,joint_valid_total_min,joint_valid_total_max,maximum_exclusions_from_375,selected_alpha_counts_json,feature_constant_columns_max,test_used_for_scaler,test_used_for_alpha_selection,test_predict_call_count,patient_set_sha256
dynamic,raw,difference,Z1,240,5,188,39,55,84,313,375,62,"{""10"":5,""100"":51,""1000"":184}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z2,240,5,188,39,55,84,313,375,62,"{""1"":1,""10"":13,""100"":52,""1000"":174}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z3,240,5,188,39,55,84,313,375,62,"{""10"":14,""100"":65,""1000"":161}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z4,240,5,188,39,55,84,313,375,62,"{""10"":3,""100"":47,""1000"":190}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z4_MATCHED_Z5,240,5,186,38,55,84,311,375,64,"{""10"":2,""100"":41,""1000"":197}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z4_MATCHED_Z6,240,5,187,38,55,84,312,375,63,"{""10"":3,""100"":46,""1000"":191}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z4_MATCHED_Z7,240,5,188,39,55,84,313,375,62,"{""10"":3,""100"":47,""1000"":190}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z5,240,5,186,38,55,84,311,375,64,"{""10"":1,""100"":56,""1000"":183}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z6,240,5,187,38,55,84,312,375,63,"{""10"":2,""100"":53,""1000"":185}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,difference,Z7,240,5,188,39,55,84,313,375,62,"{""10"":4,""100"":50,""1000"":186}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,prefix,Z1,240,5,188,39,55,84,313,375,62,"{""100"":14,""1000"":226}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,prefix,Z2,240,5,188,39,55,84,313,375,62,"{""10"":1,""100"":26,""1000"":213}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,prefix,Z3,240,5,188,39,55,84,313,375,62,"{""10"":9,""100"":40,""1000"":191}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,prefix,Z4,240,5,188,39,55,84,313,375,62,"{""100"":28,""1000"":212}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,prefix,Z5,240,5,186,38,55,84,311,375,64,"{""100"":27,""1000"":213}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,prefix,Z6,240,5,187,38,55,84,312,375,63,"{""10"":1,""100"":30,""1000"":209}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,raw,prefix,Z7,240,5,188,39,55,84,313,375,62,"{""10"":3,""100"":25,""1000"":212}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,difference,Z1,180,5,188,39,55,84,313,375,62,"{""10"":4,""100"":35,""1000"":141}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,difference,Z2,180,5,188,39,55,84,313,375,62,"{""10"":11,""100"":36,""1000"":133}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,difference,Z3,180,5,188,39,55,84,313,375,62,"{""1"":1,""10"":7,""100"":48,""1000"":124}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,difference,Z4,180,5,188,39,55,84,313,375,62,"{""10"":1,""100"":37,""1000"":142}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
