task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,metric,estimate,ci_low,ci_high,bootstrap_replicates,valid_replicates,bootstrap_unit,ci_method,seed
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,mae,0.3036664053041492,0.26969922079604935,0.342411742595319,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,rmse,0.46496893780029364,0.401027376920986,0.5293222900205534,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,r2,0.680759785143122,0.5740125718997829,0.7601558629479169,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,spearman,0.8689460037628154,0.8233144487081797,0.905463795901265,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,pearson,0.8260817489601272,0.7661846274701613,0.8805052017405594,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,predicted_to_target_variance_ratio,0.6310033323169849,0.5379634657997658,0.7641664833803739,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,fold_centered_variance_ratio,0.6703545780636889,0.5722958577541286,0.8034395192201431,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,sign_accuracy,0.946236559139785,0.9220430107526881,0.967741935483871,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,shrinkage_accuracy,0.946236559139785,0.9220430107526881,0.967741935483871,2000,2000,patient within fold,percentile,3464279553
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,shrinkage_balanced_accuracy,0.7963338788870704,0.7246714223276723,0.8665159323175674,2000,2000,patient within fold,percentile,3464279553
