figure,title_cn_or_en,source,path,sha256,bootstrap_note
01_static_global_vs_roi_spearman.png,Static global vs ROI Spearman,oof_metrics + bootstrap_ci,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/01_static_global_vs_roi_spearman.png,47432f8da5c6ea68d806de3f1224a1bad51e239ca0e1d5db0b4d17982f532836,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
02_delta_global_vs_roi_spearman.png,Observed global delta vs ROI delta Spearman,oof_metrics + bootstrap_ci,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/02_delta_global_vs_roi_spearman.png,b0bf1a19d0900d4b8a598e5681b73295eb06de8ccd9a82f29d8fb9420f8b4cfd,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
03_m0_m1_m2_paired_comparison.png,M0/M1/M2 paired representation difference,paired_difference_bootstrap_ci,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/03_m0_m1_m2_paired_comparison.png,d5b09c62c06bbc0931571ec5ed096df1f638fd319959d881b9ce3de10e6118cb,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
04_delta_ftv_true_vs_predicted.png,Delta FTV OOF scatter,prediction CSV,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/04_delta_ftv_true_vs_predicted.png,4bb039ed3be89df8f8f057a02f18c2c19c28ecf5f9f64f35e090edf97196aae3,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
05_delta_ld_true_vs_predicted.png,Delta LD OOF scatter,prediction CSV,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/05_delta_ld_true_vs_predicted.png,6dc6c0ffa4e3021dcf8976bae90c6b9336b868cccf9b0fad2b6542e44a694cd8,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
06_delta_sphericity_true_vs_predicted.png,Delta Sphericity OOF scatter,prediction CSV,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/06_delta_sphericity_true_vs_predicted.png,22740642c9acab5a6e82396cdffd84ceab799564ee215a8e5f6e14423442752a,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
07_r2_heatmap.png,Static/change R2 heatmap,oof_metrics,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/07_r2_heatmap.png,07787261631b85a9ad81b1b570fd1428134068b7c68b000abab2a84adf506049,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
08_variance_ratio_heatmap.png,Fold-centered variance ratio heatmap,oof_metrics,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/08_variance_ratio_heatmap.png,d202cac5758fb11b138ef0a2ba4222541d35377fe8d4004be1c46d99d2b8e968,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
09_roi_minus_global_difference.png,ROI128 minus GAP128 paired difference,paired_difference_bootstrap_ci,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/09_roi_minus_global_difference.png,541b5be65e477c73567d1fc414cfde5bbe53d503a7fbeee1cd3575ce9f8345ed,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
10_transition_specific_results.png,Transition-specific observed-delta results,oof_metrics,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/10_transition_specific_results.png,a8df1c4c7ba987cf88e955c69a56f132a7db3f44951608c24d30f93dde38d18a,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
11_baseline_comparison.png,B0/B1/B2/B3 baseline comparison,oof_metrics,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/11_baseline_comparison.png,961b30a00906e48b4c935584b0eddbb81d9f1e484df46151d4530b2227bf65ba,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
12_observed_vs_transition_delta.png,Observed vs transition-predicted delta comparator,oof_metrics,additional_experiments/observed_state_radiomics_audit/figures/final_analysis/12_observed_vs_transition_delta.png,798636ccb9fea5ea5349cd7bbb02797f3ab6f10136e2dca6a788b8786a49e47d,核心 primary cell 为2000次fold内patient bootstrap；EMA/BPE/D1/D2/D4仅点估计
