aggregation_level,task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,fold,n,n_patients,n_folds,mae,rmse,r2,spearman,pearson,target_variance_ddof1,predicted_variance_ddof1,predicted_to_target_variance_ratio,standardized_target_variance_ddof1,standardized_predicted_variance_ddof1,standardized_variance_ratio,fold_centered_target_variance,fold_centered_predicted_variance,fold_centered_variance_ratio,near_constant_prediction,near_constant_definition,b0_mae,b0_rmse,rmse_gain_over_b0,sign_accuracy,shrinkage_accuracy,shrinkage_balanced_accuracy,zero_change_mae,zero_change_rmse,rmse_gain_over_zero_change
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T0→T1,single_output_ridge,128,0,69,69,1,8.364357144760778,12.447266664718255,-0.0019457441812209542,0.22816952868103765,0.0728027708425293,156.90759314247475,1.3768336770405945,0.008774805918987019,1.7043744393485725,0.01778987114262076,0.010437771613977158,1.7043744393485725,0.01778987114262076,0.010437771613977158,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",8.45569653581074,12.52769636258005,0.006420150643340723,0.7536231884057971,0.7536231884057971,0.5,9.067991739130434,14.113249885271856,0.11804391150844488
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T0→T1,single_output_ridge,128,1,67,67,1,8.599424463191134,13.623348824304443,0.07138760130411204,0.2331790246627824,0.30546013625192425,202.89163541385406,12.125214436940112,0.05976202228449368,1.5791283118981179,0.15144568065724923,0.09590460731795188,1.5791283118981179,0.15144568065724923,0.09590460731795188,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",8.954346085155096,14.181634638106406,0.03936681687609089,0.6417910447761194,0.6417910447761194,0.5197628458498024,9.311818656716417,15.160838776039544,0.10141193204725431
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T0→T1,single_output_ridge,128,2,83,83,1,7.423772988508576,10.516988772490471,-0.08883741591349459,0.05383904957810335,0.027769694271818145,102.8215211036084,6.406612955491369,0.06230809354625017,1.2391856118082571,0.078055022630214,0.06298896782404836,1.2391856118082571,0.078055022630214,0.06298896782404836,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",7.539495810576052,10.425967147791637,-0.00873028117282281,0.6385542168674698,0.6385542168674698,0.5,7.139688433734939,10.687440061791257,0.01594874809264826
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T0→T1,single_output_ridge,128,3,72,72,1,7.076702298242687,9.117231484446531,-0.03576801710906419,0.115409351083671,0.10415680347441487,81.38373443041972,6.214975405974247,0.07636630893717265,1.0527199746030198,0.08039233823026364,0.07636630839134552,1.0527199746030198,0.08039233823026364,0.07636630839134552,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",6.968995868997627,9.063086612106346,-0.0059742198941207265,0.6944444444444444,0.6944444444444444,0.5217391304347826,7.776178333333332,9.908793944072974,0.07988484411868531
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T0→T1,single_output_ridge,128,4,84,84,1,8.886538493465462,12.844456016472199,-0.04962000939509448,0.02891566265060241,0.01459572963893692,159.07448439880963,4.460373632191639,0.028039529086319116,1.5282419908645286,0.054037777041959736,0.03535943742220464,1.5282419908645286,0.054037777041959736,0.03535943742220464,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",8.74257103557388,12.749630739186266,-0.007437492051788253,0.7976190476190477,0.7976190476190477,0.5277777777777778,10.015562857142857,14.72256689554573,0.1275668089945476
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T1→T2,single_output_ridge,128,0,69,69,1,6.590395820125231,8.067204806740518,-0.006456614572659669,0.13825356229448305,0.15355153617321315,65.6132099714411,1.4749190793714688,0.022478995921910303,0.847778906756192,0.019057218606251182,0.02247899594384664,0.847778906756192,0.019057218606251182,0.02247899594384664,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",6.54182612880911,8.123763249789818,0.006962098883268498,0.5652173913043478,0.5652173913043478,0.5,6.496284492753623,8.27628900854751,0.025263037768624964
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T1→T2,single_output_ridge,128,1,67,67,1,6.2693542805396,9.21329789377525,-0.06274568175689788,0.09909011094261316,0.19086044065353708,81.08336149652774,1.8694781504075753,0.023056248728509268,0.9070989989249894,0.023350052276170624,0.02574145964645862,0.9070989989249894,0.023350052276170624,0.02574145964645862,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",6.263055578057449,9.292383557996388,0.008510804975660095,0.7313432835820896,0.7313432835820896,0.5094117647058823,6.941061641791044,10.120696514494444,0.08965772458641114
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T1→T2,single_output_ridge,128,2,83,83,1,5.635484256874162,7.34604305458537,0.046517432548005666,0.18848914823055288,0.24058105130449742,57.28730889909764,2.310724680216506,0.04033571701345712,0.6890947799821016,0.028152733505134923,0.04085466081438922,0.6890947799821016,0.028152733505134923,0.04085466081438922,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",5.69053650780422,7.5994626534542,0.033347041814021254,0.5662650602409639,0.5662650602409639,0.5032505910165485,5.601973614457831,7.761081248257502,0.05347685205142196
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T1→T2,single_output_ridge,128,3,72,72,1,7.2356497555395025,11.024636486349399,0.11444053644391139,0.2819795485240209,0.37041362829632013,139.1826099433646,9.079444796154185,0.06523404612004863,1.3023948738138356,0.11744500167994051,0.09017618545750519,1.3023948738138356,0.11744500167994051,0.09017618545750519,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",7.638349697487905,11.78697800810805,0.06467658811565191,0.6527777777777778,0.6527777777777778,0.5468085106382978,7.530574583333333,11.873603739202759,0.07150038619280744
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T1→T2,single_output_ridge,128,4,84,84,1,5.983029564678906,8.816985417157559,-0.037789107332125704,0.08125949174850663,0.03608482386431624,75.8110183867553,4.071692092139496,0.05370844738382842,0.9184564577477073,0.049328869642347326,0.053708446629374754,0.9184564577477073,0.049328869642347326,0.053708446629374754,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",5.705286163024023,8.661154350889177,-0.01799195118285635,0.6071428571428571,0.6071428571428571,0.4642857142857143,6.007469166666666,9.19967806163715,0.041598482242050025
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T2→T3,single_output_ridge,128,0,69,69,1,7.139780466606755,11.4361308358294,-0.012620501497970116,-0.06883449031786629,0.002080407030711215,131.05442603898229,1.1572655784713086,0.008830419646621311,1.0823585166401848,0.014952863125084674,0.013815074113798051,1.0823585166401848,0.014952863125084674,0.013815074113798051,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",7.1020453123455,11.367072040342224,-0.006075337188159275,0.6521739130434783,0.6521739130434783,0.52,7.423974782608696,11.439571903082102,0.00030080384841801194
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T2→T3,single_output_ridge,128,1,67,67,1,6.127241849188794,8.362641915314846,-0.2216561684063254,-0.2643068082049645,-0.24065263665936032,58.11240868262691,1.0139555888546354,0.01744817693570778,0.6148511603736508,0.01266445184198028,0.020597589560185547,0.6148511603736508,0.01266445184198028,0.020597589560185547,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",5.831038950105996,8.059253607824584,-0.03764471528674918,0.44776119402985076,0.44776119402985076,0.4838709677419355,5.440845373134329,7.5902859944424925,-0.10175583916572609
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T2→T3,single_output_ridge,128,2,83,83,1,5.199362774791229,7.72275745267443,-0.07397038832070524,-0.10897947189454683,-0.06657584465479878,56.210406158607526,2.050752301187192,0.03648349907667692,0.610091155101142,0.024985357846680257,0.04095348316029617,0.610091155101142,0.024985357846680257,0.04095348316029617,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",4.937795311992014,7.4744485114959796,-0.03322103842130187,0.5421686746987951,0.5421686746987951,0.468187274909964,4.964351927710843,7.551462211808058,-0.022683718207385222
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T2→T3,single_output_ridge,128,3,72,72,1,6.608692885601394,10.369060142502901,-0.01958932112599876,0.04720560807768989,0.06094254601564611,106.93691633797839,0.5493638175013364,0.005137270049615515,1.0290659457871596,0.007106165180570508,0.006905451695940454,1.0290659457871596,0.007106165180570508,0.006905451695940454,True,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",6.564975314896746,10.381301630027764,0.0011791861908196871,0.6111111111111112,0.6111111111111112,0.49629629629629635,6.793369305555555,10.65922664389069,0.027222096975871832
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T2→T3,single_output_ridge,128,4,84,84,1,5.3388163188181945,7.811275793738359,-0.0002237278510364149,0.12866254935709223,0.1049901605522173,61.737350047041645,1.343426381571563,0.0217603505908161,0.7479528353682865,0.016275716176714177,0.021760350930015705,0.7479528353682865,0.016275716176714177,0.021760350930015705,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",5.174631428571429,7.843688781122647,0.0041323653052497585,0.5714285714285714,0.5714285714285714,0.4666666666666667,5.35992261904762,8.042164555203792,0.02870977830415487
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T0→T1,single_output_ridge,128,0,69,69,1,0.5473682555739868,0.686166254291891,-0.015475566970902133,0.07986846912678117,0.08834086009596843,0.47046726510331355,0.015724429760168832,0.033423005013357904,0.2686716922163272,0.008979815274528314,0.03342300485939549,0.2686716922163272,0.008979815274528314,0.03342300485939549,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.5507075116101875,0.6885005846871477,0.003390455211185286,0.8840579710144928,0.8840579710144928,0.5,0.6879115603843899,0.9447739666000355,0.2737244266359263
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T0→T1,single_output_ridge,128,1,67,67,1,0.588831149067463,0.7688407484442432,-0.029953910160477992,0.05207917631095858,-0.004164162873593216,0.5826206348075811,0.016487998576694845,0.028299716130274453,0.29897790277877073,0.00846098973257187,0.028299715978784543,0.29897790277877073,0.00846098973257187,0.028299715978784543,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.5908035798409411,0.7578399042318954,-0.01451605299604494,0.8805970149253731,0.8805970149253731,0.5,0.8538496377524442,1.064714449928666,0.27789019065557513
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T0→T1,single_output_ridge,128,2,83,83,1,0.6421593104263547,0.8014328431048632,-0.18344131233023453,0.10990302674111078,0.061568798422644046,0.5493533614498459,0.07617806152055193,0.13866859996906877,0.3481553701491673,0.0482782181038764,0.13866860098464537,0.3481553701491673,0.0482782181038764,0.13866860098464537,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.5904444350137809,0.7601236909198543,-0.05434530284803924,0.8192771084337349,0.8192771084337349,0.5,0.721124399715497,0.9481620342120571,0.1547511773439959
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T0→T1,single_output_ridge,128,3,72,72,1,0.6464199754878286,0.8476215385759379,-0.07251487802891021,0.045533474821531944,-0.014205861829252313,0.6793206085268344,0.020902444709155747,0.030769631374034875,0.3797694885556297,0.011685367241119085,0.030769631561402753,0.3797694885556297,0.011685367241119085,0.030769631561402753,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.6374592722940177,0.836179606035169,-0.013683582400462926,0.8888888888888888,0.8888888888888888,0.5,0.9309195847150353,1.1879135049334142,0.28646190563895524
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T0→T1,single_output_ridge,128,4,84,84,1,0.6844767230752834,1.0155544250541486,-0.028267229790642112,0.046289359117140834,0.03021833456200711,1.0150831156946283,0.015513779133696913,0.015283259955595586,0.48965375997414534,0.008506874933477796,0.01737324540084605,0.48965375997414534,0.008506874933477796,0.01737324540084605,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.6767904450732862,1.0105297815424754,-0.0049722864218841424,0.9047619047619048,0.9047619047619048,0.5,0.9562067465981181,1.3023447424099064,0.22021075374026577
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T1→T2,single_output_ridge,128,0,69,69,1,0.9820094780540999,1.2126016295088207,-0.009537029143843467,-0.07595907928388748,-0.006084573887722999,1.4779312081749496,0.010229709834666525,0.006921641398518723,0.7798263979462279,0.005841922793284474,0.0074913119236152065,0.7798263979462279,0.005841922793284474,0.0074913119236152065,True,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9673283698731511,1.208023708107802,-0.0037895956596657467,0.9130434782608695,0.9130434782608695,0.5,1.4514577840123244,1.7934783912060401,0.3238827769241222
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T1→T2,single_output_ridge,128,1,67,67,1,0.867301044008608,1.14822149934283,-0.06225022413783221,0.11437465081012052,0.04175679813848992,1.2599560158241296,0.009495464218519977,0.007536345792443438,0.6181369332979524,0.004872697246132719,0.007882876727872199,0.6181369332979524,0.004872697246132719,0.007882876727872199,True,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.8787678982147196,1.1444860967848947,-0.0032638251949314145,0.9253731343283582,0.9253731343283582,0.5,1.563106414708003,1.8816819088542995,0.38978979712785355
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T1→T2,single_output_ridge,128,2,83,83,1,0.9645834868285397,1.2363497980756148,-0.03108156892447278,-0.18888795600520547,-0.09243780472759835,1.5005619879951004,0.014784538794747669,0.009852667809146143,0.8028739420442128,0.009369773583769692,0.011670292300075316,0.8028739420442128,0.009369773583769692,0.011670292300075316,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9425385698951279,1.2184404171301688,-0.014698610365887698,0.891566265060241,0.891566265060241,0.5,1.3994232562672932,1.755578911008923,0.29575948405241986
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T1→T2,single_output_ridge,128,3,72,72,1,0.8186175323248029,0.9840247066883651,-0.03469061033329357,-0.003119171650910027,0.013214835605601438,0.9490206123971355,0.011813791365330697,0.01244840334446497,0.5305434121959167,0.006604418408215308,0.01244840338489861,0.5305434121959167,0.006604418408215308,0.01244840338489861,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.811003563440721,0.9799155505763443,-0.004193377796284542,0.9027777777777778,0.9027777777777778,0.5,1.2779316672905034,1.5451802016793001,0.3631650822221718
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T1→T2,single_output_ridge,128,4,84,84,1,0.8622539155763633,1.0641051966962844,-0.04221707001936981,-0.1606763187202592,-0.12008177880547398,1.0995428022327869,0.015207356227829684,0.01383061777763345,0.6029267978326373,0.008338850023847403,0.013830617670044471,0.6029267978326373,0.008338850023847403,0.013830617670044471,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.8323085317232455,1.0423342566432816,-0.020886716438845314,0.9285714285714286,0.9285714285714286,0.5,1.4399000028207336,1.7073277956784914,0.3767422990537037
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T2→T3,single_output_ridge,128,0,69,69,1,0.8998741515125185,1.1977945163390105,0.06885772717782446,0.19415418341249543,0.2846478543634721,1.5634672030081922,0.05875284433383553,0.03757855887273619,0.7692416775808797,0.03355223032045239,0.0436172808862461,0.7692416775808797,0.03355223032045239,0.0436172808862461,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9184284809726238,1.2431813954660202,0.03650865375924968,0.8115942028985508,0.8115942028985508,0.5,1.133201606075632,1.4878675729971602,0.19495892102401738
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T2→T3,single_output_ridge,128,1,67,67,1,0.7950121239395258,1.110231565792949,0.01733830919703816,0.23880597014925375,0.1974302608480354,1.2733681520874813,0.07934052988423686,0.06230761288804881,0.6110670417809152,0.04071442665431788,0.06662841205714243,0.6110670417809152,0.04071442665431788,0.06662841205714243,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.8291295984028485,1.1293918529032076,0.016965136645005388,0.8059701492537313,0.8059701492537313,0.5,1.0710164577230912,1.3644075233619604,0.18629035183176848
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T2→T3,single_output_ridge,128,2,83,83,1,0.9358692590433166,1.3082167500759445,0.02834312588274268,0.2150833298350195,0.2505171546517401,1.7828332427576514,0.04773463542235541,0.02677459353883284,0.9205966582222611,0.030252058060151077,0.03286135984739505,0.9205966582222611,0.030252058060151077,0.03286135984739505,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9629291446573571,1.3446595874775817,0.027101905747014803,0.8313253012048193,0.8313253012048193,0.5,1.3336135252485868,1.694809135747727,0.22810378910379378
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T2→T3,single_output_ridge,128,3,72,72,1,0.8519087003874939,1.1454787082547107,0.07519310431621562,0.33011769245610656,0.3067371838146226,1.4387890719397851,0.041241992259566554,0.028664376915209552,0.7207875199357606,0.023056050716274853,0.031987305660244644,0.7207875199357606,0.023056050716274853,0.031987305660244644,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9116580341880263,1.1921362012757457,0.03913772014565557,0.8194444444444444,0.8194444444444444,0.5,1.15627791324129,1.4665541176459467,0.21893185224327982
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T2→T3,single_output_ridge,128,4,84,84,1,0.8902944191219678,1.2739693487429535,-0.022416816405545603,0.1517464817252202,0.04198948327890456,1.60653861200753,0.05745519800741035,0.03576334709790408,0.6394324004704341,0.03150516579584504,0.04927051831071823,0.6394324004704341,0.03150516579584504,0.04927051831071823,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.8937251508178105,1.2608595989352926,-0.010397469963135586,0.7976190476190477,0.7976190476190477,0.5,1.0546900108857507,1.499425098253241,0.15036146171818304
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ld,,T0→T1,single_output_ridge,128,0,69,69,1,0.3353193215392265,0.809184899483884,-0.03418964208344466,-0.11035141649431902,-0.1844212348279526,0.6424443787943146,0.0037409788958001223,0.005823039346722709,1.499819950127085,0.0108279389918664,0.00721949257372454,1.499819950127085,0.0108279389918664,0.00721949257372454,True,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.3215578838578935,0.7964613784026763,-0.015975063482331076,0.7101449275362319,0.7101449275362319,0.5,0.34098390203821266,0.8424847764964911,0.03952579078174698
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ld,,T0→T1,single_output_ridge,128,1,67,67,1,0.29233896692500994,0.5094845256122191,-0.02404018074181158,-0.08896829793798572,0.03241987309861556,0.2573213761416508,0.007356820635469489,0.028590009682754422,0.8216672386934478,0.023491473086553916,0.028590008193472887,0.8216672386934478,0.023491473086553916,0.028590008193472887,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.28539783339385205,0.5060346299037768,-0.006817509127978738,0.7611940298507462,0.7611940298507462,0.5,0.2722988890759215,0.5476394131372269,0.06967155140721569
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ld,,T0→T1,single_output_ridge,128,2,83,83,1,0.27720683714484173,0.3770285658038573,-0.16920728453316447,-0.18199440279204238,-0.127119692358588,0.1230612266099327,0.006031319689919767,0.04901072300406405,0.4284127672868171,0.02099681944282385,0.049010722943200094,0.4284127672868171,0.02099681944282385,0.049010722943200094,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.2601489633674487,0.3595757852623837,-0.04853714086653036,0.6626506024096386,0.6626506024096386,0.5,0.22902090681788806,0.390256231067585,0.03389482142935195
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ld,,T0→T1,single_output_ridge,128,3,72,72,1,0.26100194471739535,0.39114181902290385,0.059566346290586436,0.1374925774507432,0.3000791384002682,0.1649736138085839,0.00551139384451057,0.033407729377289065,0.43639090941322245,0.01691712950462006,0.03876599887785719,0.43639090941322245,0.01691712950462006,0.03876599887785719,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.26105702465514036,0.4061883104418859,0.03704314238539564,0.7777777777777778,0.7777777777777778,0.5,0.29640455199323235,0.4603449558478665,0.1503288695702201
fold_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ld,,T0→T1,single_output_ridge,128,4,84,84,1,0.32620799873405393,0.7229488557999484,-0.03560274723194512,0.09216056153167043,0.008701714186945975,0.5107673751239125,0.008141533339733912,0.01593980691847981,1.5000451219904687,0.024755865108194167,0.01650341362754784,1.5000451219904687,0.024755865108194167,0.01650341362754784,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.32292949280128774,0.7204401591995154,-0.0034821720699473265,0.75,0.75,0.5,0.3768290169328344,0.788190021633779,0.08277339733202561
