task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,comparison_type,comparison_dimension,left_method,right_method,pair_scope,n,n_patients,metric,estimate,ci_low,ci_high,bootstrap_replicates,valid_replicates,bootstrap_unit,ci_method,seed,positive_definition
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,-0.04153048911710644,-0.06742958956244093,-0.016655925906436397,2000,2000,paired patient within fold,percentile,3440545455,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,-0.04768720138123195,-0.08054259022315724,-0.017181082697097564,2000,2000,paired patient within fold,percentile,3440545455,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,-0.11211923183375083,-0.19339666358726396,-0.03888349091936883,2000,2000,paired patient within fold,percentile,3440545455,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,-0.11964523836613955,-0.20942123940018686,-0.03377244046266015,2000,2000,paired patient within fold,percentile,3440545455,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,-0.1382342438728844,-0.23494949761748754,-0.05156223480478499,2000,2000,paired patient within fold,percentile,3440545455,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,-0.01866666666666661,-0.040000000000000036,0.005333333333333301,2000,2000,paired patient within fold,percentile,3440545455,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,-0.05779923839837911,-0.09857908947870826,-0.02041077682070836,2000,2000,paired patient within fold,percentile,3440545455,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,-0.021642500686183008,-0.041282486714781255,-0.0018539400759168888,2000,2000,paired patient within fold,percentile,3436939717,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,-0.02683448467087368,-0.04666791054487555,-0.007351224577936858,2000,2000,paired patient within fold,percentile,3436939717,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,-0.04731443490158849,-0.0822086626252363,-0.01328812005097809,2000,2000,paired patient within fold,percentile,3436939717,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,-0.14639981795426105,-0.22744793004045943,-0.06451996474693167,2000,2000,paired patient within fold,percentile,3436939717,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,-0.12334452935812194,-0.1937518957497914,-0.05445559080155757,2000,2000,paired patient within fold,percentile,3436939717,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,0.0,0.0,0.0,2000,2000,paired patient within fold,percentile,3436939717,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,-0.023916839190234844,-0.042014545272149824,-0.006637070611598917,2000,2000,paired patient within fold,percentile,3436939717,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,0.002375301187354739,-0.02840362130885852,0.0323535319919853,2000,2000,paired patient within fold,percentile,1293736069,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,-0.0061918460134289255,-0.03967904101271495,0.02457639623813337,2000,2000,paired patient within fold,percentile,1293736069,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,-0.00974938226710309,-0.06147137497685133,0.04008247391555797,2000,2000,paired patient within fold,percentile,1293736069,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,-0.04684218910001137,-0.13645083142392478,0.04190265360227237,2000,2000,paired patient within fold,percentile,1293736069,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,-0.029917518951522365,-0.12401881146453836,0.06293574790800825,2000,2000,paired patient within fold,percentile,1293736069,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,0.008000000000000007,-0.002666666666666706,0.021333333333333315,2000,2000,paired patient within fold,percentile,1293736069,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,-0.004987205627232816,-0.03176876770404843,0.020163672315435387,2000,2000,paired patient within fold,percentile,1293736069,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,0.0015096576202861534,-0.004909038775552078,0.007955891378966897,2000,2000,paired patient within fold,percentile,1369795429,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,0.0011924616223896178,-0.0054042219045703456,0.0072682946766798205,2000,2000,paired patient within fold,percentile,1369795429,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
