task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,comparison_type,comparison_dimension,left_method,right_method,pair_scope,fold,n,mae_reduction,rmse_reduction,r2_gain,spearman_gain,pearson_gain,sign_accuracy_gain,rmse_gain_over_b0_difference
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.03159293308546318,-0.008924392326895902,-0.017008784571648894,0.00830211602713371,-0.014881623088518647,-0.059523809523809534,-0.008831399618201938
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.015744563269082024,0.004193523299080626,0.00801684119868551,-0.0813607370659107,-0.0012147548536486918,0.0,0.004023203950511412
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.012989294867963852,0.04330423868898148,0.0680694384968864,0.11428571428571431,0.2332862289816065,0.0,0.03434501250222377
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.006570735619529311,-0.0010210332732994987,-0.0028994250845082448,0.13215591462298468,-0.05041169682932255,0.0,-0.0014172353668262657
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.0012945219043922762,0.002754303949512815,0.0036513455945450524,-0.01667839689025402,0.033766338069307955,0.0,0.0018031829293414178
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.03286373787435881,-0.04163461546101899,-0.052501997969357284,-0.3553882291780268,-0.21074987412581234,0.011904761904761973,-0.02585624634134779
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.003976541112327522,-0.00228279750958707,-0.06449287677691906,-0.3152779183962742,-0.13585946780082278,-0.13095238095238104,-0.03030439389388416
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.00039106884986173096,7.19087862303125e-05,0.0014439319318944044,0.01860888933886808,-0.004732978904150812,0.0,0.0007178249414205359
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0019127748848363768,0.0023623111830105847,0.03596071359246433,0.20575073402855118,0.18750880492440258,0.0,0.017974606388056993
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.01445199750180759,-0.018788610709132625,-0.03565499526453453,-0.02818669636529303,-0.06666529642098223,-0.023809523809523836,-0.018592832247312528
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.0015251640889240026,-0.011747201517919414,-0.022500715847424302,-0.16598157335223246,-0.09160139130074997,0.0,-0.011270090609657151
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T2→T3,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.003747713464350877,-0.01890106995259222,-0.028876232934249457,-0.0027943707603522716,-0.050413865095168875,-0.05952380952380942,-0.014990622245770146
