seed_base,fold,pca_components,pca_components_sha256,pca_artifact_sha256,token_feature_sha256,n_train_patients,labels_used
2026,0,64,d467c8a5d7fbd5d61013bcded354668bb8a30faac319a3e68a535829e75110c6,da799c7bebb2ec4cc106f8a5b7c46b29ac167a849ff15e423503c855f1237b37,36c4e994814252043f28d83a3b8680026a1afc3c326a976d19a2655128372bb1,525,False
2026,1,64,567c5e083733b17034def38f67c21b2e28445168ce81e25cbd9681670290b5fc,ea0fbf7452668d93d2f9c2325af752e65f2e226368668c421fac285059436a4c,5f64b7192b959a3ce8f3897f283fb932eb1e893eeedc9dbeced9c44c89d10d14,525,False
2026,2,64,441ce123fd11789f4b5944f0c653374a13a7cfa59fd1da356fd25a1e847acfc8,b6857368e0416fc3f24e1184941c04e682f3aae7b6f2f89bf9c1be713988dc08,f0657432e887deba8eac7c5415055eb76341b3ce6a384d58d9b4a7f8714c9c1b,525,False
2026,3,64,d6ed24f641878cc632b0056050b024ec0587f2e8c02247a66ad7e1def492ad56,81c3de69aa6e1612d1ac7af4a871a0ce419bce2d104ec5e6067c1a745756c090,beafb06d631556ea740c7664ae489a74c0f9349652c3a4553e140902c8b58dac,526,False
2026,4,64,3cc114f9a0570817d3dd0da5debe95ff1d436b24a3f7387fde9aea9e8aeee5d3,7c09b693dcb24ec794c122db5a3430406cb50939eac04a0c044f2b6b41eed97d,522a627d56a9cdd7f9b6606aea360ad7d6cb40e4e0d29b865365ac024809a0bf,526,False
3026,0,64,90de6d27971abad477a9726ee68dc87faa96b9beef7f5944394a42cac9129628,911e5b5d6d42b26af983281d6e597d8c38143d606bcb4cc04222b64967ec9e24,78887f6e4c3e330626657a9943d4691b5d0a424a10527dafc5eec1c6193ab2c2,525,False
3026,1,64,85413431d1df720b779edc283be86eedc81cb3547a855160a7add8e6caaf388c,af1f5cb1ed9c7ec4776f725928e1cde8e94a987f101bf32c05f9f3680f3b5613,26eea885da560addb5252d7827cc78ace4b28f09ff5ab60485d3a63e06bc7a31,525,False
3026,2,64,56b354b80728c627f432d944946713909839db92e4001f94a97fdc561fcf27c8,b654b52512104547e2596913af54149604afcd3810427955e957bf95c1c44614,0d514a9dd02dfa164ca37948e8bbd060f321c754ea4d582ed141d2a2998eaba4,525,False
3026,3,64,caaaad98919843bb07975195a43bf05f7c2367fdc402bffadade1c02c466ea44,73f4cc0760e645d96b775322a9609dd4c557de24288f47aba22674876f031235,32a23c86b6ada68f7340e1081853b9fe4c809dbb5ef9aef6bf560469673f4932,526,False
3026,4,64,52e03426d10b04b4ea694148f12c5fa80e3c093f709b40be3f08af75c3acde3f,a5e66a21438d786a48574db14819b7118f154dea9d0b392fe531770c9757f49c,dbd142e8697a56d06341fb0a79d9f00727053eb39c1da415fbea04fc0ee753b6,526,False
