seed_base,fold,arm,task,endpoint,selected_alpha,validation_score,n_train,n_val,n_test,target_transform,model,selected_c,validation_auroc,population,timing
2026,0,A0_LOCAL3,static,T0,1.0,0.07102335745155111,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,0,A0_LOCAL3,static,T1,10.0,0.11167914555656377,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,0,A0_LOCAL3,static,T2,100.0,0.2755917271440117,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,0,A0_LOCAL3,static,T3,100.0,0.3449070463550241,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,0,A0_LOCAL3,delta,T0_to_T1,100.0,0.6829791076700763,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,0,A0_LOCAL3,delta,T1_to_T2,10.0,0.3213792836667648,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,0,A0_LOCAL3,delta,T2_to_T3,1000.0,0.10943191585100759,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,0,A1_PATCH3,static,T0,100.0,0.06984398045796994,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,0,A1_PATCH3,static,T1,1000.0,0.1476634008704247,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,0,A1_PATCH3,static,T2,1.0,0.30574449271929866,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,0,A1_PATCH3,static,T3,1000.0,0.3896791269621235,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,0,A1_PATCH3,delta,T0_to_T1,100.0,0.6223637775244378,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,0,A1_PATCH3,delta,T1_to_T2,1000.0,0.3667303032198461,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,0,A1_PATCH3,delta,T2_to_T3,1000.0,0.1318388301268734,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,1,A0_LOCAL3,static,T0,100.0,0.05675689556983308,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,1,A0_LOCAL3,static,T1,1000.0,0.09935968705163374,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,1,A0_LOCAL3,static,T2,1000.0,0.28901194130383595,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
