effect,seed_base,reference,comparison,improvement,ci_lower,ci_upper,n_patients,n_bootstrap,n_valid_bootstrap,bootstrap_unit,timing,metric,confidence_level,n_folds,metric_aggregation,ci_method,orientation,seed
A1_minus_A0_static_macro_spearman,2026,0.5308824999957074,0.4245638897777646,-0.10631861021794276,-0.14145867661352923,-0.06821928442151352,375,2000,2000,patient_within_outer_fold,,,,,,,,
A1_minus_A0_delta_macro_spearman,2026,0.34013190730837795,0.2868330868130618,-0.053298820495316146,-0.09861398136189443,-0.010366700308487964,375,2000,2000,patient_within_outer_fold,,,,,,,,
A1_minus_A0_static_macro_spearman,3026,0.513248553536036,0.38077016878525854,-0.1324783847507775,-0.1706604929134289,-0.09343396959389542,375,2000,2000,patient_within_outer_fold,,,,,,,,
A1_minus_A0_delta_macro_spearman,3026,0.3001941062692001,0.2621272044601206,-0.03806690180907951,-0.08702022150672568,0.008023441907835408,375,2000,2000,patient_within_outer_fold,,,,,,,,
E3_A1_minus_A0_MRI,2026,0.5212280402524305,0.5530138154528398,0.03178577520040926,-0.02340446555592291,0.08366059284768332,808,2000,2000,patient_within_outer_fold,T0,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,2026,0.35496173471125153,0.380884741432024,0.025923006720772468,-0.020546996495000597,0.06825425642928991,808,2000,2000,patient_within_outer_fold,T0,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,2026,0.26999761666427746,0.2687314107136002,0.0012662059506772794,-0.020151226649273653,0.020218263698982615,808,2000,2000,patient_within_outer_fold,T0,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E4_A1_CplusM_minus_C,2026,0.6796145318096538,0.6685587583148559,-0.011055773494797916,-0.054196106779830944,0.031101337079519096,808,2000,2000,patient_within_outer_fold,T0,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,2026,0.5424197284072237,0.49109217960122603,-0.051327548805997714,-0.10653502056136706,0.007012457662106294,808,2000,2000,patient_within_outer_fold,T0,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,2026,0.22583924073987818,0.22492169773637044,0.0009175430035077425,-0.01441180132774279,0.015876117829559017,808,2000,2000,patient_within_outer_fold,T0,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.6880274442538593,0.5707718696397941,-0.11725557461406522,-0.19227802520552542,-0.04328321536776806,375,2000,2000,patient_within_outer_fold,T0,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.538897485664505,0.3586690268287986,-0.18022845883570643,-0.25194987180436795,-0.09597379559866723,375,2000,2000,patient_within_outer_fold,T0,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.23562174491513208,0.2541655522879113,-0.018543807372779247,-0.04245277902964118,0.005207476359712879,375,2000,2000,patient_within_outer_fold,T0,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E3_A1_minus_A0_MRI,2026,0.5300903974074707,0.514507931093297,-0.015582466314173704,-0.06492794311188164,0.03328203136632538,808,2000,2000,patient_within_outer_fold,T0-T1,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
