seed_base,arm,population,timing,model,n,n_positive,n_negative,auroc,auprc,brier
2026,A0_LOCAL3,ftv_complete_375,T0,C+F,375,110,265,0.6880274442538593,0.538897485664505,0.23562174491513208
2026,A0_LOCAL3,ftv_complete_375,T0,C+F+M,375,110,265,0.5541509433962264,0.32966568034280597,0.2746779222634449
2026,A0_LOCAL3,ftv_complete_375,T0-T1,C+F,375,110,265,0.6971526586620925,0.5259975356624463,0.19795876762150016
2026,A0_LOCAL3,ftv_complete_375,T0-T1,C+F+M,375,110,265,0.6482332761578045,0.4209662162244224,0.21876799479585599
2026,A0_LOCAL3,ftv_complete_375,T0-T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.18873526813061456
2026,A0_LOCAL3,ftv_complete_375,T0-T2,C+F+M,375,110,265,0.6220240137221269,0.40819578206925955,0.2604798876699078
2026,A0_LOCAL3,ftv_complete_375,T0-T3_late,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929939430982393
2026,A0_LOCAL3,ftv_complete_375,T0-T3_late,C+F+M,375,110,265,0.6176329331046313,0.39531846822657296,0.24984163552131755
2026,A0_LOCAL3,full_808,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
2026,A0_LOCAL3,full_808,T0,C+M,808,275,533,0.6822991642503837,0.5037438450322511,0.21427628794951897
2026,A0_LOCAL3,full_808,T0,M,808,275,533,0.5212280402524305,0.35496173471125153,0.26999761666427746
2026,A0_LOCAL3,full_808,T0-T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
2026,A0_LOCAL3,full_808,T0-T1,C+M,808,275,533,0.6887395531297971,0.4991465574323596,0.21159383127264578
2026,A0_LOCAL3,full_808,T0-T1,M,808,275,533,0.5300903974074707,0.3612261775289628,0.2668403454020283
2026,A0_LOCAL3,full_808,T0-T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
2026,A0_LOCAL3,full_808,T0-T2,C+M,808,275,533,0.6721610097219853,0.4999814892129296,0.2185437614646687
2026,A0_LOCAL3,full_808,T0-T2,M,808,275,533,0.5265086133378817,0.36075614064527484,0.29002463164033954
2026,A0_LOCAL3,full_808,T0-T3_late,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
2026,A0_LOCAL3,full_808,T0-T3_late,C+M,808,275,533,0.6785672863721645,0.5167358115050703,0.21594137291794138
2026,A0_LOCAL3,full_808,T0-T3_late,M,808,275,533,0.5461709022684632,0.36720106988930945,0.24977494924293042
2026,A1_PATCH3,ftv_complete_375,T0,C+F,375,110,265,0.6880274442538593,0.538897485664505,0.23562174491513208
2026,A1_PATCH3,ftv_complete_375,T0,C+F+M,375,110,265,0.5707718696397941,0.3586690268287986,0.2541655522879113
2026,A1_PATCH3,ftv_complete_375,T0-T1,C+F,375,110,265,0.6971526586620925,0.5259975356624463,0.19795876762150016
2026,A1_PATCH3,ftv_complete_375,T0-T1,C+F+M,375,110,265,0.6245283018867924,0.4216519627965858,0.2395140733032434
2026,A1_PATCH3,ftv_complete_375,T0-T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.18873526813061456
2026,A1_PATCH3,ftv_complete_375,T0-T2,C+F+M,375,110,265,0.6233962264150944,0.39705657730909244,0.2601058199946103
2026,A1_PATCH3,ftv_complete_375,T0-T3_late,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929939430982393
2026,A1_PATCH3,ftv_complete_375,T0-T3_late,C+F+M,375,110,265,0.6162264150943397,0.4261801473201824,0.23651762237580123
2026,A1_PATCH3,full_808,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
2026,A1_PATCH3,full_808,T0,C+M,808,275,533,0.6685587583148559,0.49109217960122603,0.22492169773637044
2026,A1_PATCH3,full_808,T0,M,808,275,533,0.5530138154528398,0.380884741432024,0.2687314107136002
2026,A1_PATCH3,full_808,T0-T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
2026,A1_PATCH3,full_808,T0-T1,C+M,808,275,533,0.6611768719085792,0.4888741716903604,0.2239986560760871
2026,A1_PATCH3,full_808,T0-T1,M,808,275,533,0.514507931093297,0.35160055386993405,0.29157306837060815
2026,A1_PATCH3,full_808,T0-T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
2026,A1_PATCH3,full_808,T0-T2,C+M,808,275,533,0.6354289612826198,0.4696461592533022,0.2510167817992012
2026,A1_PATCH3,full_808,T0-T2,M,808,275,533,0.5459457615555178,0.3809258260487677,0.2778952800081819
2026,A1_PATCH3,full_808,T0-T3_late,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
2026,A1_PATCH3,full_808,T0-T3_late,C+M,808,275,533,0.6299437148217636,0.4588422415669652,0.2521426240359815
2026,A1_PATCH3,full_808,T0-T3_late,M,808,275,533,0.5451748251748252,0.37886727923249336,0.28761361367128846
3026,A0_LOCAL3,ftv_complete_375,T0,C+F,375,110,265,0.6880274442538593,0.538897485664505,0.23562174491513208
3026,A0_LOCAL3,ftv_complete_375,T0,C+F+M,375,110,265,0.630017152658662,0.3982071232695106,0.24240146699147477
3026,A0_LOCAL3,ftv_complete_375,T0-T1,C+F,375,110,265,0.6971526586620925,0.5259975356624463,0.19795876762150016
3026,A0_LOCAL3,ftv_complete_375,T0-T1,C+F+M,375,110,265,0.6579759862778731,0.47004982294581216,0.2238661095000847
3026,A0_LOCAL3,ftv_complete_375,T0-T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.18873526813061456
3026,A0_LOCAL3,ftv_complete_375,T0-T2,C+F+M,375,110,265,0.6756432246998284,0.4666597644419445,0.23450104640019762
3026,A0_LOCAL3,ftv_complete_375,T0-T3_late,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929939430982393
3026,A0_LOCAL3,ftv_complete_375,T0-T3_late,C+F+M,375,110,265,0.682572898799314,0.4543012461015311,0.23306012423937242
3026,A0_LOCAL3,full_808,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
3026,A0_LOCAL3,full_808,T0,C+M,808,275,533,0.7017431349138666,0.5394370772420753,0.20355846713200915
3026,A0_LOCAL3,full_808,T0,M,808,275,533,0.5382705099778271,0.3708245799626637,0.25669431543772225
3026,A0_LOCAL3,full_808,T0-T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
3026,A0_LOCAL3,full_808,T0-T1,C+M,808,275,533,0.6604946273238955,0.4855453488102736,0.2300927694271664
3026,A0_LOCAL3,full_808,T0-T1,M,808,275,533,0.5428961282619819,0.37780017621699646,0.2804961369470456
3026,A0_LOCAL3,full_808,T0-T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
3026,A0_LOCAL3,full_808,T0-T2,C+M,808,275,533,0.6404639263175848,0.46738356699236716,0.24096454856701569
3026,A0_LOCAL3,full_808,T0-T2,M,808,275,533,0.5173528910114276,0.3526796403044252,0.2811186846584637
3026,A0_LOCAL3,full_808,T0-T3_late,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
3026,A0_LOCAL3,full_808,T0-T3_late,C+M,808,275,533,0.6671874466996418,0.5058130738209314,0.22244614794280454
3026,A0_LOCAL3,full_808,T0-T3_late,M,808,275,533,0.5483881971686849,0.3768765074933672,0.2665047586668217
3026,A1_PATCH3,ftv_complete_375,T0,C+F,375,110,265,0.6880274442538593,0.538897485664505,0.23562174491513208
3026,A1_PATCH3,ftv_complete_375,T0,C+F+M,375,110,265,0.6029845626072041,0.3895374250104856,0.2536534375092839
3026,A1_PATCH3,ftv_complete_375,T0-T1,C+F,375,110,265,0.6971526586620925,0.5259975356624463,0.19795876762150016
3026,A1_PATCH3,ftv_complete_375,T0-T1,C+F+M,375,110,265,0.5966037735849057,0.3883363119049661,0.25894570769207786
3026,A1_PATCH3,ftv_complete_375,T0-T2,C+F,375,110,265,0.726106346483705,0.5400010651611841,0.18873526813061456
3026,A1_PATCH3,ftv_complete_375,T0-T2,C+F+M,375,110,265,0.5796912521440823,0.37197278280399126,0.25675265160516847
3026,A1_PATCH3,ftv_complete_375,T0-T3_late,C+F,375,110,265,0.7154030874785592,0.5393749537451002,0.1929939430982393
3026,A1_PATCH3,ftv_complete_375,T0-T3_late,C+F+M,375,110,265,0.5867924528301887,0.373084453067804,0.2568338618382082
3026,A1_PATCH3,full_808,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
3026,A1_PATCH3,full_808,T0,C+M,808,275,533,0.6527920859628177,0.4941420113988634,0.2282184429609834
3026,A1_PATCH3,full_808,T0,M,808,275,533,0.4966126556370458,0.34430351232469936,0.28080623131745264
3026,A1_PATCH3,full_808,T0-T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
3026,A1_PATCH3,full_808,T0-T1,C+M,808,275,533,0.6512706805389732,0.4978818503663872,0.22957129834270398
3026,A1_PATCH3,full_808,T0-T1,M,808,275,533,0.5030735118539997,0.3425924106947521,0.29028707071114485
3026,A1_PATCH3,full_808,T0-T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
3026,A1_PATCH3,full_808,T0-T2,C+M,808,275,533,0.6407982261640799,0.4580857009991767,0.2392537729312475
3026,A1_PATCH3,full_808,T0-T2,M,808,275,533,0.5493228722497016,0.37288851729376443,0.25449810329773953
3026,A1_PATCH3,full_808,T0-T3_late,C,808,275,533,0.6796145318096538,0.5424197284072237,0.22583924073987818
3026,A1_PATCH3,full_808,T0-T3_late,C+M,808,275,533,0.6536994712604468,0.4967846040134136,0.22034893115739887
3026,A1_PATCH3,full_808,T0-T3_late,M,808,275,533,0.5371379839672523,0.3754376826126764,0.2589109574356945
