seed_base,visit,band,normalized_mse,n_patients
2026,T1,central,1.0870151051347798,808
2026,T1,inner_local,1.1590329957480479,808
2026,T1,outer_local,1.2257495931174496,808
2026,T2,central,1.1281532592850156,808
2026,T2,inner_local,1.1886388035398898,808
2026,T2,outer_local,1.2364426025807267,808
2026,T3,central,1.157074299926805,808
2026,T3,inner_local,1.2078614634009872,808
2026,T3,outer_local,1.2491236262687362,808
3026,T1,central,1.05369369877447,808
3026,T1,inner_local,1.1225812471296528,808
3026,T1,outer_local,1.1903822009663771,808
3026,T2,central,1.0939628129990975,808
3026,T2,inner_local,1.148897312434003,808
3026,T2,outer_local,1.2023022371796097,808
3026,T3,central,1.1119662133036274,808
3026,T3,inner_local,1.1660524514494557,808
3026,T3,outer_local,1.2144073585767556,808
