group,variable,level,value,denominator
radiomics可用,n,,375.0,375
radiomics可用,pCR比例,1,0.29333333333333333,375
radiomics可用,年龄均值,years,48.26133333333333,375
radiomics可用,年龄标准差,years,10.143408772842433,375
radiomics可用,MRI访视数均值,visits,4.0,375
radiomics可用,radiomics访视数均值,visits,4.0,375
radiomics可用,hr_her2_subtype,HR+/HER2-,0.42133333333333334,375
radiomics可用,hr_her2_subtype,HR-/HER2-,0.344,375
radiomics可用,hr_her2_subtype,HR+/HER2+,0.15733333333333333,375
radiomics可用,hr_her2_subtype,HR-/HER2+,0.07733333333333334,375
radiomics可用,label_mp,0,0.5333333333333333,375
radiomics可用,label_mp,1,0.4666666666666667,375
radiomics可用,treatment_family,targeted_other,0.416,375
radiomics可用,treatment_family,her2_targeted,0.28,375
radiomics可用,treatment_family,taxane,0.168,375
radiomics可用,treatment_family,io,0.072,375
radiomics可用,treatment_family,platinum_parp,0.064,375
radiomics可用,fold_0_split,train,0.6586666666666666,375
radiomics可用,fold_0_split,test,0.184,375
radiomics可用,fold_0_split,val,0.15733333333333333,375
radiomics可用,fold_1_split,train,0.6373333333333333,375
radiomics可用,fold_1_split,val,0.184,375
radiomics可用,fold_1_split,test,0.17866666666666667,375
radiomics可用,fold_2_split,train,0.64,375
radiomics可用,fold_2_split,test,0.22133333333333333,375
radiomics可用,fold_2_split,val,0.13866666666666666,375
radiomics可用,fold_3_split,train,0.6453333333333333,375
radiomics可用,fold_3_split,test,0.192,375
radiomics可用,fold_3_split,val,0.16266666666666665,375
radiomics可用,fold_4_split,train,0.6,375
radiomics可用,fold_4_split,test,0.224,375
radiomics可用,fold_4_split,val,0.176,375
radiomics不可用,n,,433.0,433
radiomics不可用,pCR比例,1,0.3810623556581986,433
radiomics不可用,年龄均值,years,49.46279069767442,430
radiomics不可用,年龄标准差,years,10.575833895732433,430
radiomics不可用,MRI访视数均值,visits,4.0,433
radiomics不可用,radiomics访视数均值,visits,0.0,433
radiomics不可用,hr_her2_subtype,HR+/HER2-,0.3741339491916859,433
radiomics不可用,hr_her2_subtype,HR-/HER2-,0.3648960739030023,433
radiomics不可用,hr_her2_subtype,HR+/HER2+,0.17090069284064666,433
radiomics不可用,hr_her2_subtype,HR-/HER2+,0.09006928406466513,433
radiomics不可用,label_mp,0,0.5196304849884527,433
radiomics不可用,label_mp,1,0.48036951501154734,433
radiomics不可用,treatment_family,targeted_other,0.3418013856812933,433
radiomics不可用,treatment_family,her2_targeted,0.3140877598152425,433
radiomics不可用,treatment_family,taxane,0.18475750577367206,433
radiomics不可用,treatment_family,platinum_parp,0.08083140877598152,433
radiomics不可用,treatment_family,io,0.07852193995381063,433
radiomics不可用,fold_0_split,train,0.6420323325635104,433
radiomics不可用,fold_0_split,test,0.21478060046189376,433
radiomics不可用,fold_0_split,val,0.14318706697459585,433
radiomics不可用,fold_1_split,train,0.6605080831408776,433
radiomics不可用,fold_1_split,test,0.21939953810623555,433
radiomics不可用,fold_1_split,val,0.12009237875288684,433
radiomics不可用,fold_2_split,train,0.6581986143187067,433
radiomics不可用,fold_2_split,test,0.18244803695150116,433
radiomics不可用,fold_2_split,val,0.15935334872979215,433
radiomics不可用,fold_3_split,train,0.6558891454965358,433
radiomics不可用,fold_3_split,test,0.20554272517321015,433
radiomics不可用,fold_3_split,val,0.13856812933025403,433
radiomics不可用,fold_4_split,train,0.6951501154734411,433
radiomics不可用,fold_4_split,test,0.17782909930715934,433
radiomics不可用,fold_4_split,val,0.12702078521939955,433
两组比较限制,baseline lesion volume,radiomics不可用组无同源 FTV 字段，不能进行同定义比较,,0
