fold,split,transition,n_mri_patients,n_radiomics_patients,n_all_features_valid,n_valid_ftv,n_valid_sphericity,n_valid_ld,n_valid_bpe
all,all,T0→T1,808,375,375,375,375,375,375
all,all,T1→T2,808,375,375,375,375,375,375
all,all,T2→T3,808,375,375,375,375,375,375
0,train,T0→T1,525,247,247,247,247,247,247
0,train,T1→T2,525,247,247,247,247,247,247
0,train,T2→T3,525,247,247,247,247,247,247
0,val,T0→T1,121,59,59,59,59,59,59
0,val,T1→T2,121,59,59,59,59,59,59
0,val,T2→T3,121,59,59,59,59,59,59
0,test,T0→T1,162,69,69,69,69,69,69
0,test,T1→T2,162,69,69,69,69,69,69
0,test,T2→T3,162,69,69,69,69,69,69
1,train,T0→T1,525,239,239,239,239,239,239
1,train,T1→T2,525,239,239,239,239,239,239
1,train,T2→T3,525,239,239,239,239,239,239
1,val,T0→T1,121,69,69,69,69,69,69
1,val,T1→T2,121,69,69,69,69,69,69
1,val,T2→T3,121,69,69,69,69,69,69
1,test,T0→T1,162,67,67,67,67,67,67
1,test,T1→T2,162,67,67,67,67,67,67
1,test,T2→T3,162,67,67,67,67,67,67
2,train,T0→T1,525,240,240,240,240,240,240
2,train,T1→T2,525,240,240,240,240,240,240
2,train,T2→T3,525,240,240,240,240,240,240
2,val,T0→T1,121,52,52,52,52,52,52
2,val,T1→T2,121,52,52,52,52,52,52
2,val,T2→T3,121,52,52,52,52,52,52
2,test,T0→T1,162,83,83,83,83,83,83
2,test,T1→T2,162,83,83,83,83,83,83
2,test,T2→T3,162,83,83,83,83,83,83
3,train,T0→T1,526,242,242,242,242,242,242
3,train,T1→T2,526,242,242,242,242,242,242
3,train,T2→T3,526,242,242,242,242,242,242
3,val,T0→T1,121,61,61,61,61,61,61
3,val,T1→T2,121,61,61,61,61,61,61
3,val,T2→T3,121,61,61,61,61,61,61
3,test,T0→T1,161,72,72,72,72,72,72
3,test,T1→T2,161,72,72,72,72,72,72
3,test,T2→T3,161,72,72,72,72,72,72
4,train,T0→T1,526,225,225,225,225,225,225
4,train,T1→T2,526,225,225,225,225,225,225
4,train,T2→T3,526,225,225,225,225,225,225
4,val,T0→T1,121,66,66,66,66,66,66
4,val,T1→T2,121,66,66,66,66,66,66
4,val,T2→T3,121,66,66,66,66,66,66
4,test,T0→T1,161,84,84,84,84,84,84
4,test,T1→T2,161,84,84,84,84,84,84
4,test,T2→T3,161,84,84,84,84,84,84
