model_name,run_name,decision_point,metric,metric_cn,fold_mean,fold_std,mean_plus_minus_std,n_folds,n_oof_patients,errorbar_definition_cn
m0,m0_final,T0,auroc,AUROC,0.538466840865007,0.04256741105304634,0.5385 ± 0.0426,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0,auprc,AUPRC,0.37231201939784897,0.03870512074368603,0.3723 ± 0.0387,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0,accuracy,准确率,0.5011962272831838,0.06380404392612268,0.5012 ± 0.0638,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0,sensitivity,敏感度,0.5781818181818181,0.19683445240326342,0.5782 ± 0.1968,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0,specificity,特异度,0.46145300652442256,0.19170076163169544,0.4615 ± 0.1917,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T1,auroc,AUROC,0.5108760680335358,0.02825526032327351,0.5109 ± 0.0283,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T1,auprc,AUPRC,0.3526638166246726,0.025595787334307868,0.3527 ± 0.0256,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T1,accuracy,准确率,0.4716892876313167,0.08419655855402991,0.4717 ± 0.0842,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T1,sensitivity,敏感度,0.6363636363636364,0.2622219109428356,0.6364 ± 0.2622,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T1,specificity,特异度,0.38733909363427965,0.25655164036789097,0.3873 ± 0.2566,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T2,auroc,AUROC,0.5612856478735513,0.02574816959266916,0.5613 ± 0.0257,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T2,auprc,AUPRC,0.4312986192426826,0.0502656800717912,0.4313 ± 0.0503,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T2,accuracy,准确率,0.5073613986657465,0.03856396300278964,0.5074 ± 0.0386,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T2,sensitivity,敏感度,0.6581818181818182,0.07862453931068968,0.6582 ± 0.0786,5,808,fold 间样本标准差（ddof=1）
m0,m0_final,T0-T2,specificity,特异度,0.4293599012519838,0.09361407027479607,0.4294 ± 0.0936,5,808,fold 间样本标准差（ddof=1）
m1,m1_final,T0,auroc,AUROC,0.5243102867860406,0.02685375707840479,0.5243 ± 0.0269,5,808,fold 间样本标准差（ddof=1）
m1,m1_final,T0,auprc,AUPRC,0.3760719848164983,0.02194027349664444,0.3761 ± 0.0219,5,808,fold 间样本标准差（ddof=1）
m1,m1_final,T0,accuracy,准确率,0.4836745648339852,0.11817416423694625,0.4837 ± 0.1182,5,808,fold 间样本标准差（ddof=1）
m1,m1_final,T0,sensitivity,敏感度,0.5854545454545456,0.3375654206567084,0.5855 ± 0.3376,5,808,fold 间样本标准差（ddof=1）
m1,m1_final,T0,specificity,特异度,0.43048845000881675,0.353104816659767,0.4305 ± 0.3531,5,808,fold 间样本标准差（ddof=1）
m1,m1_final,T0-T1,auroc,AUROC,0.5369279107420528,0.03539221032130193,0.5369 ± 0.0354,5,808,fold 间样本标准差（ddof=1）
m1,m1_final,T0-T1,auprc,AUPRC,0.37660016400016205,0.024391305995294193,0.3766 ± 0.0244,5,808,fold 间样本标准差（ddof=1）
