model_name,model_label_cn,run_name,fold,decision_point,cohort_scope_cn,n,n_positive,prevalence,auroc,auprc,accuracy,sensitivity,specificity
m0,M0,m0_final,0,T0,完整 fold-test,162,55,0.3395061728395062,0.5427357689039933,0.3769984194125886,0.5246913580246914,0.5454545454545454,0.514018691588785
m0,M0,m0_final,0,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.4932880203908242,0.35543589691303307,0.4382716049382716,0.7090909090909091,0.29906542056074764
m0,M0,m0_final,0,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.5265930331350892,0.37051265146391243,0.5,0.5818181818181818,0.45794392523364486
m0,M0,m0_final,1,T0,完整 fold-test,162,55,0.3395061728395062,0.541036533559898,0.41511212136772707,0.5061728395061729,0.4727272727272727,0.5233644859813084
m0,M0,m0_final,1,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.5605777400169923,0.3961574423537999,0.5123456790123457,0.7090909090909091,0.411214953271028
m0,M0,m0_final,1,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.5792693288020391,0.4655792332000389,0.5123456790123457,0.6545454545454545,0.4392523364485981
m0,M0,m0_final,2,T0,完整 fold-test,162,55,0.3395061728395062,0.5833474936278674,0.3886010365275784,0.5061728395061729,0.7272727272727273,0.3925233644859813
m0,M0,m0_final,2,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.5,0.3395061728395062,0.3395061728395062,1.0,0.0
m0,M0,m0_final,2,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.5581988105352592,0.3900298051215353,0.5617283950617284,0.6,0.5420560747663551
m0,M0,m0_final,3,T0,完整 fold-test,161,55,0.3416149068322981,0.4686106346483705,0.31009651746510203,0.39751552795031053,0.8181818181818182,0.1792452830188679
m0,M0,m0_final,3,T0-T1,完整 fold-test,161,55,0.3416149068322981,0.4943396226415095,0.3360787492798635,0.5217391304347826,0.41818181818181815,0.5754716981132075
m0,M0,m0_final,3,T0-T2,完整 fold-test,161,55,0.3416149068322981,0.5926243567753001,0.4900521068653222,0.5093167701863354,0.6727272727272727,0.42452830188679247
m0,M0,m0_final,4,T0,完整 fold-test,161,55,0.3416149068322981,0.5566037735849056,0.3707520022162488,0.5714285714285714,0.32727272727272727,0.6981132075471698
m0,M0,m0_final,4,T0-T1,完整 fold-test,161,55,0.3416149068322981,0.5061749571183534,0.3361408217371603,0.546583850931677,0.34545454545454546,0.6509433962264151
m0,M0,m0_final,4,T0-T2,完整 fold-test,161,55,0.3416149068322981,0.5497427101200687,0.44031929956260407,0.453416149068323,0.7818181818181819,0.2830188679245283
m1,M1,m1_final,0,T0,完整 fold-test,162,55,0.3395061728395062,0.5602378929481734,0.395825276445651,0.5802469135802469,0.32727272727272727,0.7102803738317757
m1,M1,m1_final,0,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.5444350042480883,0.35931702050496805,0.5370370370370371,0.4727272727272727,0.5700934579439252
m1,M1,m1_final,0,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.5349192863211554,0.36662939645610243,0.5,0.6909090909090909,0.40186915887850466
m1,M1,m1_final,1,T0,完整 fold-test,162,55,0.3395061728395062,0.5401869158878505,0.3931887603194614,0.6296296296296297,0.16363636363636364,0.8691588785046729
m1,M1,m1_final,1,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.5604078164825828,0.38549625938667526,0.5802469135802469,0.34545454545454546,0.7009345794392523
m1,M1,m1_final,1,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.49243840271877654,0.3897249290232728,0.41358024691358025,0.7272727272727273,0.2523364485981308
m1,M1,m1_final,2,T0,完整 fold-test,162,55,0.3395061728395062,0.524214103653356,0.36976037569427567,0.43209876543209874,0.7636363636363637,0.2616822429906542
m1,M1,m1_final,2,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.4870008496176721,0.3509566867011086,0.5123456790123457,0.43636363636363634,0.5514018691588785
m1,M1,m1_final,2,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.5554800339847069,0.37219139787804034,0.5370370370370371,0.5454545454545454,0.5327102803738317
m1,M1,m1_final,3,T0,完整 fold-test,161,55,0.3416149068322981,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
m1,M1,m1_final,3,T0-T1,完整 fold-test,161,55,0.3416149068322981,0.5169811320754717,0.3740543759567843,0.5093167701863354,0.41818181818181815,0.5566037735849056
m1,M1,m1_final,3,T0-T2,完整 fold-test,161,55,0.3416149068322981,0.5656946826758148,0.4310307773158263,0.515527950310559,0.6363636363636364,0.4528301886792453
m1,M1,m1_final,4,T0,完整 fold-test,161,55,0.3416149068322981,0.4969125214408233,0.37997060479080524,0.43478260869565216,0.6727272727272727,0.3113207547169811
m1,M1,m1_final,4,T0-T1,完整 fold-test,161,55,0.3416149068322981,0.5758147512864494,0.4131764774512743,0.5590062111801242,0.6181818181818182,0.5283018867924528
m1,M1,m1_final,4,T0-T2,完整 fold-test,161,55,0.3416149068322981,0.537221269296741,0.426362689424299,0.42857142857142855,0.7454545454545455,0.2641509433962264
m2,M2,m2_final,0,T0,完整 fold-test,162,55,0.3395061728395062,0.5593882752761258,0.3981439683944452,0.5555555555555556,0.41818181818181815,0.6261682242990654
m2,M2,m2_final,0,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.5542905692438402,0.3667253644967858,0.5308641975308642,0.5454545454545454,0.5233644859813084
m2,M2,m2_final,0,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.5355989804587935,0.36651083461584394,0.5061728395061729,0.6909090909090909,0.411214953271028
m2,M2,m2_final,1,T0,完整 fold-test,162,55,0.3395061728395062,0.5415463041631267,0.39421108837193175,0.6234567901234568,0.16363636363636364,0.8598130841121495
m2,M2,m2_final,1,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.5602378929481733,0.3854977842116247,0.5740740740740741,0.34545454545454546,0.6915887850467289
m2,M2,m2_final,1,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.4943075615972812,0.39280245162487704,0.3950617283950617,0.7818181818181819,0.19626168224299065
m2,M2,m2_final,2,T0,完整 fold-test,162,55,0.3395061728395062,0.5045029736618523,0.34825943278512395,0.41975308641975306,0.8,0.22429906542056074
m2,M2,m2_final,2,T0-T1,完整 fold-test,162,55,0.3395061728395062,0.47884451996601535,0.3393662025596387,0.5246913580246914,0.34545454545454546,0.616822429906542
m2,M2,m2_final,2,T0-T2,完整 fold-test,162,55,0.3395061728395062,0.5592183517417163,0.37545587755627485,0.5308641975308642,0.6727272727272727,0.45794392523364486
m2,M2,m2_final,3,T0,完整 fold-test,161,55,0.3416149068322981,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
m2,M2,m2_final,3,T0-T1,完整 fold-test,161,55,0.3416149068322981,0.5092624356775299,0.37333586135040614,0.4658385093167702,0.6545454545454545,0.36792452830188677
m2,M2,m2_final,3,T0-T2,完整 fold-test,161,55,0.3416149068322981,0.5620926243567753,0.4246199148090628,0.5341614906832298,0.6,0.5
m2,M2,m2_final,4,T0,完整 fold-test,161,55,0.3416149068322981,0.5017152658662092,0.37869825283795816,0.4782608695652174,0.6181818181818182,0.4056603773584906
m2,M2,m2_final,4,T0-T1,完整 fold-test,161,55,0.3416149068322981,0.57221269296741,0.41024578921127136,0.5652173913043478,0.5636363636363636,0.5660377358490566
m2,M2,m2_final,4,T0-T2,完整 fold-test,161,55,0.3416149068322981,0.5205831903945112,0.38214925258472754,0.37888198757763975,0.9272727272727272,0.09433962264150944
