decision_point,metric,metric_cn,reference_model,candidate_model,contrast,reference_estimate,candidate_estimate,difference_candidate_minus_reference,ci_lower_95,ci_upper_95,n_bootstrap_requested,n_bootstrap_valid,resampling_unit,n_paired_patients,n_positive,seed
T0,auroc,AUROC,m0,m1,m1-m0,0.5491864233327648,0.5163977485928706,-0.03278867473989422,-0.08143716105876544,0.01698391521594953,2000,2000,paired patient,808,275,6983289108061901265
T0,auprc,AUPRC,m0,m1,m1-m0,0.37018903923039487,0.35606891452542855,-0.01412012470496632,-0.0600867316293198,0.03055942427156516,2000,2000,paired patient,808,275,6983289108061901265
T0,auroc,AUROC,m1,m2,m2-m1,0.5163977485928706,0.5083131502643697,-0.008084598328500836,-0.014679242216890298,-0.0019754365484129684,2000,2000,paired patient,808,275,14393262321518106040
T0,auprc,AUPRC,m1,m2,m2-m1,0.35606891452542855,0.3484562932500185,-0.00761262127541007,-0.014390484363695461,-0.00016843156880911122,2000,2000,paired patient,808,275,14393262321518106040
T0-T1,auroc,AUROC,m0,m1,m1-m0,0.5041344021831827,0.5385979873784752,0.03446358519529247,-0.01977419606899447,0.08775864067835051,2000,2000,paired patient,808,275,7325932125143622496
T0-T1,auprc,AUPRC,m0,m1,m1-m0,0.3433836820171312,0.37221294591195386,0.028829263894822654,-0.016235654374624774,0.0756359110161803,2000,2000,paired patient,808,275,7325932125143622496
T0-T1,auroc,AUROC,m1,m2,m2-m1,0.5385979873784752,0.529155722326454,-0.00944226505202117,-0.0189741736269234,-0.0009584390443624786,2000,2000,paired patient,808,275,2525883125012875500
T0-T1,auprc,AUPRC,m1,m2,m2-m1,0.37221294591195386,0.3627161632037556,-0.00949678270819826,-0.01861962707249749,-0.0013195321263218508,2000,2000,paired patient,808,275,2525883125012875500
T0-T2,auroc,AUROC,m0,m1,m1-m0,0.5486474501108648,0.5405082722155893,-0.008139177895275518,-0.05792082843713271,0.04140210471967143,2000,2000,paired patient,808,275,2472826097314889615
T0-T2,auprc,AUPRC,m0,m1,m1-m0,0.40503424436223134,0.37948145223226004,-0.025552792129971302,-0.07719881699713342,0.03137781032145351,2000,2000,paired patient,808,275,2472826097314889615
T0-T2,auroc,AUROC,m1,m2,m2-m1,0.5405082722155893,0.5406378986866791,0.0001296264710898276,-0.012293226103511287,0.012095144781815222,2000,2000,paired patient,808,275,5256100194406194444
T0-T2,auprc,AUPRC,m1,m2,m2-m1,0.37948145223226004,0.37407314159114924,-0.005408310641110803,-0.018289980033709807,0.006655897386174828,2000,2000,paired patient,808,275,5256100194406194444
