model_name,run_name,decision_point,metric,metric_cn,estimate,ci_lower_95,ci_upper_95,n_bootstrap_requested,n_bootstrap_valid,resampling_unit,n_patients,seed
m0,m0_final,T0,auroc,AUROC,0.5491864233327648,0.5072224043198339,0.5914016782992738,2000,2000,patient,808,9597913496852627431
m0,m0_final,T0,auprc,AUPRC,0.37018903923039487,0.32764176692654956,0.42434997778340505,2000,2000,patient,808,9597913496852627431
m0,m0_final,T0,accuracy,准确率,0.5012376237623762,0.46905940594059403,0.5371287128712872,2000,2000,patient,808,9597913496852627431
m0,m0_final,T0,sensitivity,敏感度,0.5781818181818181,0.5205954220792782,0.6376825266611976,2000,2000,patient,808,9597913496852627431
m0,m0_final,T0,specificity,特异度,0.46153846153846156,0.4201818576624505,0.5056396297347141,2000,2000,patient,808,9597913496852627431
m0,m0_final,T0-T1,auroc,AUROC,0.5041344021831827,0.462564509772405,0.5454330128322635,2000,2000,patient,808,14327642623246183372
m0,m0_final,T0-T1,auprc,AUPRC,0.3433836820171312,0.30378253238203423,0.39243344044315653,2000,2000,patient,808,14327642623246183372
m0,m0_final,T0-T1,accuracy,准确率,0.4715346534653465,0.4368502475247525,0.504950495049505,2000,2000,patient,808,14327642623246183372
m0,m0_final,T0-T1,sensitivity,敏感度,0.6363636363636364,0.5789336145241152,0.690566037735849,2000,2000,patient,808,14327642623246183372
m0,m0_final,T0-T1,specificity,特异度,0.38649155722326456,0.3457231891925321,0.4263869547963491,2000,2000,patient,808,14327642623246183372
m0,m0_final,T0-T2,auroc,AUROC,0.5486474501108648,0.5080625816857472,0.5900224810798809,2000,2000,patient,808,8181681773711372858
m0,m0_final,T0-T2,auprc,AUPRC,0.40503424436223134,0.35436216149708966,0.4604285161075693,2000,2000,patient,808,8181681773711372858
m0,m0_final,T0-T2,accuracy,准确率,0.5074257425742574,0.47277227722772275,0.5420792079207921,2000,2000,patient,808,8181681773711372858
m0,m0_final,T0-T2,sensitivity,敏感度,0.6581818181818182,0.6037020202020202,0.7142986075296545,2000,2000,patient,808,8181681773711372858
m0,m0_final,T0-T2,specificity,特异度,0.42964352720450283,0.39050876450108213,0.47058823529411764,2000,2000,patient,808,8181681773711372858
m1,m1_final,T0,auroc,AUROC,0.5163977485928706,0.47282843529607865,0.5590619537240907,2000,2000,patient,808,16213131873583249176
m1,m1_final,T0,auprc,AUPRC,0.35606891452542855,0.3136386518441612,0.4077975016045621,2000,2000,patient,808,16213131873583249176
m1,m1_final,T0,accuracy,准确率,0.4839108910891089,0.44925742574257427,0.5185643564356436,2000,2000,patient,808,16213131873583249176
m1,m1_final,T0,sensitivity,敏感度,0.5854545454545454,0.5289539297166417,0.6466224564908775,2000,2000,patient,808,16213131873583249176
m1,m1_final,T0,specificity,特异度,0.43151969981238275,0.38836216947255514,0.47289971980020534,2000,2000,patient,808,16213131873583249176
m1,m1_final,T0-T1,auroc,AUROC,0.5385979873784752,0.49810297228283273,0.5799301233441485,2000,2000,patient,808,12813866626025139234
m1,m1_final,T0-T1,auprc,AUPRC,0.37221294591195386,0.3278307272027817,0.4285743517109384,2000,2000,patient,808,12813866626025139234
m1,m1_final,T0-T1,accuracy,准确率,0.5396039603960396,0.507394801980198,0.5717821782178217,2000,2000,patient,808,12813866626025139234
m1,m1_final,T0-T1,sensitivity,敏感度,0.4581818181818182,0.4,0.516907337785256,2000,2000,patient,808,12813866626025139234
m1,m1_final,T0-T1,specificity,特异度,0.5816135084427767,0.5391360688602008,0.6238185255198487,2000,2000,patient,808,12813866626025139234
m1,m1_final,T0-T2,auroc,AUROC,0.5405082722155893,0.4985904538653328,0.5837737096009386,2000,2000,patient,808,5277416095814310243
m1,m1_final,T0-T2,auprc,AUPRC,0.37948145223226004,0.33507051493231194,0.43956610584855527,2000,2000,patient,808,5277416095814310243
m1,m1_final,T0-T2,accuracy,准确率,0.47896039603960394,0.4443069306930693,0.5148514851485149,2000,2000,patient,808,5277416095814310243
m1,m1_final,T0-T2,sensitivity,敏感度,0.6690909090909091,0.6125334756692049,0.7269237588652482,2000,2000,patient,808,5277416095814310243
