model_name,run_name,decision_point,perturbation,metric_change,estimate,ci_lower_95,ci_upper_95,n_bootstrap_requested,n_bootstrap_valid,resampling_unit,n_patients,seed
m0,m0_final,T0-T1,repeated_t0,auroc_perturbed_minus_native,0.014777417704246898,-0.03162679268608413,0.059004673408211236,2000,2000,patient,808,5805980056494580145
m0,m0_final,T0-T1,repeated_t0,auprc_perturbed_minus_native,0.013050625170942243,-0.021055147621513063,0.04709665826691775,2000,2000,patient,808,5805980056494580145
m0,m0_final,T0-T2,repeated_t0,auroc_perturbed_minus_native,-0.024574449940303666,-0.07106784150893368,0.023883543057638987,2000,2000,patient,808,3524288574346347684
m0,m0_final,T0-T2,repeated_t0,auprc_perturbed_minus_native,-0.03880277573223667,-0.08170187968272315,0.008399748561847352,2000,2000,patient,808,3524288574346347684
m0,m0_final,T0-T2,temporal_shuffle_t1_t2,auroc_perturbed_minus_native,-0.0027085110011939584,-0.05186061285461161,0.04315386653277286,2000,2000,patient,808,4728415218881235903
m0,m0_final,T0-T2,temporal_shuffle_t1_t2,auprc_perturbed_minus_native,-0.034216705507248146,-0.07944169417648202,0.013665826565887614,2000,2000,patient,808,4728415218881235903
m1,m1_final,T0-T1,repeated_t0,auroc_perturbed_minus_native,-0.0285928705440901,-0.08023178331756421,0.022331028784162023,2000,2000,patient,808,5881314609992086515
m1,m1_final,T0-T1,repeated_t0,auprc_perturbed_minus_native,-0.02756515763249695,-0.07106839288643912,0.015412906494162756,2000,2000,patient,808,5881314609992086515
m1,m1_final,T0-T2,repeated_t0,auroc_perturbed_minus_native,-0.04632440730001708,-0.09539657832291203,0.0014257678584078737,2000,2000,patient,808,5023535936767972062
m1,m1_final,T0-T2,repeated_t0,auprc_perturbed_minus_native,-0.05006796038858502,-0.09291425861765297,-0.010694961273294426,2000,2000,patient,808,5023535936767972062
m1,m1_final,T0-T2,temporal_shuffle_t1_t2,auroc_perturbed_minus_native,-0.010581613508442778,-0.05504992757081353,0.03395978300441577,2000,2000,patient,808,5619053419884111597
m1,m1_final,T0-T2,temporal_shuffle_t1_t2,auprc_perturbed_minus_native,-0.0075901014690313295,-0.05302318394546847,0.03660353387068421,2000,2000,patient,808,5619053419884111597
m2,m2_final,T0-T1,repeated_t0,auroc_perturbed_minus_native,-0.02431519699812379,-0.076023678504592,0.02963794846167707,2000,2000,patient,808,18269675339344334909
m2,m2_final,T0-T1,repeated_t0,auprc_perturbed_minus_native,-0.022703955695987876,-0.06568799915377377,0.019864441014626186,2000,2000,patient,808,18269675339344334909
m2,m2_final,T0-T2,repeated_t0,auroc_perturbed_minus_native,-0.05848882824492574,-0.10763439049504808,-0.013170096507791157,2000,2000,patient,808,13922966124798648294
m2,m2_final,T0-T2,repeated_t0,auprc_perturbed_minus_native,-0.05353920132291129,-0.09848110010510353,-0.018900735077136493,2000,2000,patient,808,13922966124798648294
m2,m2_final,T0-T2,temporal_shuffle_t1_t2,auroc_perturbed_minus_native,-0.018406958894763736,-0.06548453432114505,0.026699827126151925,2000,2000,patient,808,15360199342555099239
m2,m2_final,T0-T2,temporal_shuffle_t1_t2,auprc_perturbed_minus_native,-0.012805054924279635,-0.0585653043959306,0.029417516987390247,2000,2000,patient,808,15360199342555099239
