aggregation_level,model_name,run_name,fold,decision_point,perturbation,n_patients,mean_signed_change,std_signed_change,mean_absolute_change,median_absolute_change,q25_absolute_change,q75_absolute_change,q95_absolute_change
fold_test,m0,m0_final,0,T0-T1,repeated_t0,162,-0.06867075343844453,0.264405241187194,0.21332769152480915,0.17854261855962916,0.08366919063897604,0.30888902998554707,0.4948510480188397
fold_test,m0,m0_final,0,T0-T2,repeated_t0,162,-0.014639312904422531,0.03229923634061591,0.02798007464262771,0.0241156106667042,0.01105631506912325,0.03753160282409537,0.0647492391308189
fold_test,m0,m0_final,0,T0-T2,temporal_shuffle_t1_t2,162,-0.010095636212612098,0.035293253984961706,0.02640093902093886,0.0198279407044427,0.00842307769971645,0.03519285021383343,0.07571816662801822
fold_test,m0,m0_final,1,T0-T1,repeated_t0,162,-0.04085946267655148,0.07307207815648538,0.06620847753808387,0.0550756683602627,0.028359509572664525,0.09196189828917685,0.1728222155590695
fold_test,m0,m0_final,1,T0-T2,repeated_t0,162,-0.1133098078693722,0.512121509230314,0.35406987174161747,0.12468320353957471,0.007898884903435275,0.7184154555806607,0.9985472877217435
fold_test,m0,m0_final,1,T0-T2,temporal_shuffle_t1_t2,162,-0.05937547336981365,0.5065425318995713,0.3510937960090835,0.18709125296841073,0.02379625852278015,0.7031921343826611,0.9882848085794589
fold_test,m0,m0_final,2,T0-T1,repeated_t0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fold_test,m0,m0_final,2,T0-T2,repeated_t0,162,-0.04702456729144205,0.10715510454393132,0.09065540920458905,0.07497251206875795,0.033274740738891376,0.13097951464504592,0.23774311677293636
fold_test,m0,m0_final,2,T0-T2,temporal_shuffle_t1_t2,162,-0.02463236326291685,0.12608973521803268,0.09528837614225137,0.065918190576171,0.029302282139453878,0.14009706195854754,0.2680439478980958
fold_test,m0,m0_final,3,T0-T1,repeated_t0,161,-0.053436727445117356,0.08622660857936092,0.08176920822703677,0.0711759002914291,0.0363522610844075,0.1141503322219628,0.21739052681235
fold_test,m0,m0_final,3,T0-T2,repeated_t0,161,-0.10151423788084016,0.24875047352469934,0.2118796505552882,0.176087556554385,0.0879143601399741,0.293677330141265,0.5636162288808767
fold_test,m0,m0_final,3,T0-T2,temporal_shuffle_t1_t2,161,0.007947361829255413,0.24331426139349302,0.1939995512051801,0.1764016248223929,0.0829682064130536,0.2737169005200263,0.482572109260717
fold_test,m0,m0_final,4,T0-T1,repeated_t0,161,-0.0781940817265094,0.15610775155792941,0.13541993072351516,0.119195839360608,0.0472825552230347,0.1837315113688746,0.3414768158992633
fold_test,m0,m0_final,4,T0-T2,repeated_t0,161,-0.10724623626710819,0.4800234137322456,0.32020492386734123,0.1295509746719618,0.0055999861329777,0.6746706671954634,0.991860270857388
fold_test,m0,m0_final,4,T0-T2,temporal_shuffle_t1_t2,161,-0.0005081893155526421,0.48049733575073633,0.3149677683544637,0.1383906733766262,0.0092423791734091,0.6133910328819665,0.9817135730678944
fold_test,m1,m1_final,0,T0-T1,repeated_t0,162,-0.01195647440593244,0.03340952717066443,0.02490126885322003,0.0161535598968119,0.00684496718198635,0.03538775226769163,0.07959723067814074
fold_test,m1,m1_final,0,T0-T2,repeated_t0,162,-0.08869800031481981,0.17650148006234115,0.15542958913108526,0.1257078882681938,0.05777606742703477,0.2195322206094104,0.36421750188881685
fold_test,m1,m1_final,0,T0-T2,temporal_shuffle_t1_t2,162,-0.038953789839882715,0.17658041407406916,0.1324939954944806,0.09723630367895095,0.032811119096913526,0.19305094465740283,0.40109710300099033
fold_test,m1,m1_final,1,T0-T1,repeated_t0,162,-0.0302852958989197,0.06425925722357882,0.05315737265278897,0.0415700058376861,0.0156094567776265,0.0729783406003653,0.16171979074171677
fold_test,m1,m1_final,1,T0-T2,repeated_t0,162,-0.13963421668083822,0.18195097667142088,0.18748393331621901,0.1652549680284957,0.07567840322278947,0.28337100322528175,0.44041649307595093
fold_test,m1,m1_final,1,T0-T2,temporal_shuffle_t1_t2,162,-0.03697898838925,0.15290292949256648,0.118246452273737,0.09247368196139845,0.04243087547127445,0.15479668022991414,0.3293198073204772
fold_test,m1,m1_final,2,T0-T1,repeated_t0,162,-0.06556880864418436,0.5046442921109273,0.37830094316560975,0.30923560026357805,0.04767337309985858,0.681817055726388,0.9776891843998713
fold_test,m1,m1_final,2,T0-T2,repeated_t0,162,-0.09955712631270751,0.18285051345820458,0.16614579009008595,0.13332122885433145,0.06367348726928304,0.24589750220725362,0.381311437985656
fold_test,m1,m1_final,2,T0-T2,temporal_shuffle_t1_t2,162,-0.04842392195889742,0.16333419877237892,0.130186103500871,0.09902539897028284,0.043326337325146,0.18720457925055844,0.347855469711167
fold_test,m1,m1_final,3,T0-T1,repeated_t0,161,-0.072975407697538,0.2299159733443104,0.18386891606512146,0.1389167108806827,0.060093722588261,0.2708080441697527,0.4584567013361619
fold_test,m1,m1_final,3,T0-T2,repeated_t0,161,-0.1482927403084151,0.28963081610118235,0.2650583005110127,0.2361890614251554,0.1051674810235365,0.4027364836542363,0.5705939998313205
fold_test,m1,m1_final,3,T0-T2,temporal_shuffle_t1_t2,161,-0.015442386371980515,0.28524714499389,0.22905087050905099,0.1986319013710388,0.0962688914242095,0.3438282746143898,0.5385271624757995
fold_test,m1,m1_final,4,T0-T1,repeated_t0,161,-0.1365734062976925,0.48477504293571455,0.34427488260613087,0.2224339378552138,0.0143971831095289,0.6590561444666336,0.985411801838348
