fold,candidate,n_fold_train_measurement_patients,static_median_abs_spearman_with_ftv,static_redundancy_class,delta_median_abs_spearman_with_delta_ftv,delta_redundancy_class,static_median_residual_variance_ratio,static_median_residual_iqr_ratio,delta_median_residual_variance_ratio,delta_median_residual_iqr_ratio,median_standardized_abs_change,within_to_total_variance_ratio,near_zero_change_fraction_median,formal_selection_data,pcr_used
0,LD,247,0.6130451968827453,MODERATE,0.38778560029039105,LOW,0.6385042301927393,0.7277099147408119,0.8965220599285247,0.9102939525755027,0.26086956521739135,0.43210195811037655,0.12955465587044535,outer-fold training patients only,False
0,SPH,247,0.6362363308561908,MODERATE,0.02162774696834078,LOW,0.6664630212204788,0.7543122301186097,0.9969397326642527,1.008168991565392,0.41514424209576883,0.4203104309894154,0.012145748987854251,outer-fold training patients only,False
0,BPE,247,0.1301992915776095,LOW,0.25192395289500763,LOW,0.9704966975595841,0.9858948220230024,0.9797437170462646,0.9962383666940593,0.311790388192501,0.34633483505704077,0.008097165991902834,outer-fold training patients only,False
1,LD,239,0.6015255698269437,MODERATE,0.3403794450561081,LOW,0.6612502765372987,0.6863668413798931,0.914196858846352,0.9404926608071238,0.25454545454545446,0.45283313323598834,0.11715481171548117,outer-fold training patients only,False
1,SPH,239,0.6280853345522309,MODERATE,0.10977637917091523,LOW,0.6757475682198124,0.73744703880811,0.9984101431673336,0.9884048609987691,0.3743326107994199,0.39883332082229844,0.02092050209205021,outer-fold training patients only,False
1,BPE,239,0.22803039625892196,LOW,0.26958352378608347,LOW,0.9532886731831498,0.9409627250722397,0.9970328636722847,1.0077890467154877,0.2995832508726492,0.3202188662689959,0.016736401673640166,outer-fold training patients only,False
2,LD,240,0.5528024479683624,MODERATE,0.33418974093435466,LOW,0.7447488269481624,0.7018893174415641,0.9570744333238868,0.9378247520744126,0.2666666666666665,0.4737821267380833,0.125,outer-fold training patients only,False
2,SPH,240,0.6794011180749665,MODERATE,0.1453966214691227,LOW,0.6269779814438506,0.737065098576103,0.9970172168834059,1.03843501711215,0.34994460906788905,0.37147835940363866,0.025,outer-fold training patients only,False
2,BPE,240,0.23337171372831955,LOW,0.27830951926248715,LOW,0.9358713633086717,0.9835478060123268,0.9775476429936489,0.9952520309573113,0.3254965751414361,0.3643678695759299,0.016666666666666666,outer-fold training patients only,False
3,LD,242,0.578858375566432,MODERATE,0.3694658084820868,LOW,0.681891094583235,0.7014304322245075,0.9527310097100802,0.936810426642222,0.25263157894736843,0.47385118409154253,0.128099173553719,outer-fold training patients only,False
3,SPH,242,0.6154499435022509,MODERATE,0.09687003739562523,LOW,0.6854705295691573,0.8103896105310158,0.9965080188040915,1.0207864678356096,0.3681665080234755,0.44447467415964564,0.02066115702479339,outer-fold training patients only,False
3,BPE,242,0.1754681650318517,LOW,0.24275404194931421,LOW,0.9677498529989759,1.005395037209436,0.9672866453083225,0.9961868568853017,0.306826977238006,0.37968881983457675,0.01652892561983471,outer-fold training patients only,False
4,LD,225,0.5959772382727349,MODERATE,0.4035321384479824,MODERATE,0.6996980401375084,0.7441395606388745,0.9206414461528666,0.9057200856918506,0.28571428571428553,0.4567254691766544,0.14222222222222222,outer-fold training patients only,False
4,SPH,225,0.6281400126422251,MODERATE,0.1304266750948167,LOW,0.6800421551131739,0.7636278908834131,0.9915038800833796,1.0125364938886634,0.39711106392388257,0.40695274497746164,0.0044444444444444444,outer-fold training patients only,False
4,BPE,225,0.21643067846607672,LOW,0.2665623683101559,LOW,0.9526396050702707,1.0090220086672566,0.9785045462191184,0.973887205596612,0.3151396363475295,0.38005472282260405,0.013333333333333334,outer-fold training patients only,False
