scope,selection_scope,fold,feature,transition,n,median_delta,iqr_delta,median_abs_delta,robust_scale_start_visit_iqr,median_standardized_abs_change,proportion_delta_positive,proportion_delta_negative,proportion_near_zero,near_zero_definition,mean_within_patient_variance,pooled_total_variance,within_to_total_variance_ratio,between_patient_variance_fraction
all_workbook_descriptive,False,-1,FTV,T0→T1,384,-5.5136688,11.797985050000001,7.10142695,23.719623849999998,0.29939036954837717,0.11458333333333333,0.8697916666666666,0.015625,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",434.1082047075675,1172.6829838956273,0.370183767198079,0.629816232801921
all_workbook_descriptive,False,-1,FTV,T1→T2,384,-4.0887124,9.327994975,4.487031275,14.829938225000003,0.3025657428185274,0.078125,0.8958333333333334,0.026041666666666668,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",434.1082047075675,1172.6829838956273,0.370183767198079,0.629816232801921
all_workbook_descriptive,False,-1,FTV,T2→T3,384,-0.80705699,2.6865848405,1.1252704599999999,5.0562302699999995,0.22255126841760714,0.171875,0.7604166666666666,0.06770833333333333,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",434.1082047075675,1172.6829838956273,0.370183767198079,0.629816232801921
all_workbook_descriptive,False,-1,LD,T0→T1,384,-0.5,1.0000000000000002,0.6000000000000001,2.325,0.25806451612903225,0.140625,0.7369791666666666,0.12239583333333333,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",2.4236111328125003,5.254412756178113,0.4612525215044878,0.5387474784955122
all_workbook_descriptive,False,-1,LD,T1→T2,384,-0.9,1.5999999999999999,1.0,2.2,0.45454545454545453,0.11979166666666667,0.828125,0.052083333333333336,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",2.4236111328125003,5.254412756178113,0.4612525215044878,0.5387474784955122
all_workbook_descriptive,False,-1,LD,T2→T3,384,-0.3999999999999999,1.4999999999999996,0.6,2.3,0.2608695652173913,0.1015625,0.6536458333333334,0.24479166666666666,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",2.4236111328125003,5.254412756178113,0.4612525215044878,0.5387474784955122
all_workbook_descriptive,False,-1,SPH,T0→T1,384,-0.0031316599999999944,0.070862505,0.035813954999999995,0.13487816500000002,0.26552818982968807,0.46875,0.5234375,0.0078125,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",0.005657176630577615,0.013992345870070191,0.4043050881609773,0.5956949118390227
all_workbook_descriptive,False,-1,SPH,T1→T2,384,0.019410780000000016,0.09390153000000001,0.0501778025,0.12737076500000002,0.3939507036799221,0.6432291666666666,0.328125,0.028645833333333332,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",0.005657176630577615,0.013992345870070191,0.4043050881609773,0.5956949118390227
all_workbook_descriptive,False,-1,SPH,T2→T3,384,0.02481569,0.10231584000000002,0.057797905000000024,0.15032932250000003,0.384475257646425,0.6145833333333334,0.3697916666666667,0.015625,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",0.005657176630577615,0.013992345870070191,0.4043050881609773,0.5956949118390227
all_workbook_descriptive,False,-1,BPE,T0→T1,384,-3.906824999999999,10.294507499999998,5.7712,18.379925,0.31399475242690056,0.2942708333333333,0.6927083333333334,0.013020833333333334,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",68.82303678609162,191.38217685459108,0.35961048158827347,0.6403895184117265
