task,fold,candidate,cell,n,predictor_transform,target_transform,model,fit_and_evaluation_scope,original_variance,residual_variance,residual_variance_ratio,original_iqr,residual_iqr,residual_iqr_ratio
static,0,LD,T0,247,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.12838193369685785,0.06805710170621387,0.5301143217464995,0.4715729095886658,0.316229240138186,0.6705839833208826
static,0,LD,T1,247,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.18112771644536724,0.11474255435237325,0.6334897640416206,0.528844129268669,0.3353556461539746,0.6341294676329927
static,0,LD,T2,247,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.40148274290315344,0.25836165131759353,0.6435186963438578,0.7396671961948382,0.5979374973857245,0.8083872050318963
static,0,LD,T3,247,log1p(FTV),log1p(LD),StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.426868332496544,0.3364341336919801,0.7881449807352574,1.252762968495368,0.983213284417904,0.7848358461607411
delta,0,LD,T0→T1,247,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.212415873067908,1.9834796359414066,0.8965220599285247,1.0000000000000004,0.9102939525755032,0.9102939525755027
delta,0,LD,T1→T2,247,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,3.0806782605845044,2.9938580334142086,0.9718178206789361,1.6,1.56206562943122,0.9762910183945125
delta,0,LD,T2→T3,247,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,2.712566014850268,2.213908241012887,0.8161675066680704,1.5,1.3142413652245708,0.8761609101497139
static,0,SPH,T0,247,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.008790395523594221,0.005977813115009249,0.6800391517041815,0.13338359500000002,0.09961313550054753,0.7468169942529103
static,0,SPH,T1,247,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.00743946899049787,0.005233940791959553,0.7035368785923635,0.11918337499999998,0.09300302464827,0.7803355513994298
static,0,SPH,T2,247,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.015367578413239899,0.010033290488373798,0.6528868907367762,0.14675795500000002,0.11180130581158929,0.7618074659843092
static,0,SPH,T3,247,log1p(FTV),identity,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.018774333519110824,0.012173640810611095,0.6484193326074275,0.180872445,0.12292350222670889,0.6796143117693184
delta,0,SPH,T0→T1,247,identity raw ΔFTV,identity raw ΔX,StandardScaler + Ridge(alpha=1.0),same outer-fold training patients; descriptive explained relation,0.005348896048674154,0.005332176658195643,0.9968742352952148,0.0722033645,0.07500755463428355,1.0388373887242268
