file,file_sha256,sheet,sheet_dimension,column,dtype,role,feature,visit_or_interval,unit,definition,n_rows,n_nonmissing,n_missing,missing_pct,n_infinite,n_unique,n_zero,min,median,max
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,CLINICAL-TRIAL-SUBJECT-ID,int64,patient_identifier,,,不适用,患者唯一六位 ClinicalTrialSubjectID,384,384,0,0.0,0,384,0,100899.0,516023.5,999733.0
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,VOLUME_TUM_BLU_V10,float64,reference_target,FTV,T0,cc（随附 DICOM 说明；工作簿未单列单位）,满足 PE/SER 阈值的增强组织功能性肿瘤体积,384,384,0,0.0,0,384,0,0.99584305,15.5885005,433.3787
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,VOLUME_TUM_BLU_V20,float64,reference_target,FTV,T1,cc（随附 DICOM 说明；工作簿未单列单位）,满足 PE/SER 阈值的增强组织功能性肿瘤体积,384,384,0,0.0,0,384,0,0.11963261,7.382986300000001,471.31446
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,VOLUME_TUM_BLU_V30,float64,reference_target,FTV,T2,cc（随附 DICOM 说明；工作簿未单列单位）,满足 PE/SER 阈值的增强组织功能性肿瘤体积,384,384,0,0.0,0,384,0,0.018750023,1.7670007,377.38232
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,VOLUME_TUM_BLU_V40,float64,reference_target,FTV,T3,cc（随附 DICOM 说明；工作簿未单列单位）,满足 PE/SER 阈值的增强组织功能性肿瘤体积,384,384,0,0.0,0,383,0,0.011963261,0.8385565349999999,158.89941
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,SPHERICITY_T0,float64,formal_candidate,SPH,T0,无量纲，范围理论上 0–1,等体积球表面积 / 3D FTV tumor mask 表面积,384,384,0,0.0,0,384,0,0.052752,0.19774121,0.60223981
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,SPHERICITY_T1,float64,formal_candidate,SPH,T1,无量纲，范围理论上 0–1,等体积球表面积 / 3D FTV tumor mask 表面积,384,384,0,0.0,0,384,0,0.0082898257,0.197726795,0.53507684
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,SPHERICITY_T2,float64,formal_candidate,SPH,T2,无量纲，范围理论上 0–1,等体积球表面积 / 3D FTV tumor mask 表面积,384,384,0,0.0,0,384,0,0.0086590285,0.22926554,0.79678169
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,SPHERICITY_T3,float64,formal_candidate,SPH,T3,无量纲，范围理论上 0–1,等体积球表面积 / 3D FTV tumor mask 表面积,384,384,0,0.0,0,384,0,0.070608102,0.25580017,0.7631615
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,f714c7784b1e57daa74d7cfb20db71cd432b4e4596b9b4eacdd5a76b7f8a58dc,datawith4visits,A1:AC385,LD_T0,float64,formal_candidate,LD,T0,工作簿未明示,影像报告中的肿瘤最长径（longest diameter）,384,384,0,0.0,0,88,0,0.8,3.7,13.2
