seed,fold,arm,timing,attention_concentration,attention_concentration_top10,attention_entropy,center_mass,longitudinal_embedding_cosine,outer_mass
2026,0,C1,T0,,,,,,
2026,0,C1,T0_T1,,,,,,
2026,0,C1,T0_T2,,,,,,
2026,0,C1,T0_T3,,,,,,
2026,1,C1,T0,,,,,,
2026,1,C1,T0_T1,,,,,,
2026,1,C1,T0_T2,,,,,,
2026,1,C1,T0_T3,,,,,,
2026,2,C1,T0,,,,,,
2026,2,C1,T0_T1,,,,,,
2026,2,C1,T0_T2,,,,,,
2026,2,C1,T0_T3,,,,,,
2026,3,C1,T0,,,,,,
2026,3,C1,T0_T1,,,,,,
2026,3,C1,T0_T2,,,,,,
2026,3,C1,T0_T3,,,,,,
2026,4,C1,T0,,,,,,
2026,4,C1,T0_T1,,,,,,
2026,4,C1,T0_T2,,,,,,
2026,4,C1,T0_T3,,,,,,
2026,0,C2,T0,0.16087921988219023,0.586218997836113,0.7083599716424942,0.4009675271809101,0.0,0.5990324802696705
2026,0,C2,T0_T1,0.23983608499111142,0.5498383101075888,0.676512636244297,0.42843111138790846,0.9440786838531494,0.571568900719285
2026,0,C2,T0_T2,0.06961404714578141,0.33595852740108967,0.8767475311954817,0.5057687051594257,0.9585714340209961,0.49423130849997204
2026,0,C2,T0_T3,0.003237889912270475,0.12738706218078732,0.9979609940201044,0.6064496636390686,0.9377421736717224,0.3935503577813506
2026,1,C2,T0,0.7541291564702988,0.9538795575499535,0.17571219988167286,0.6061782254837453,0.0,0.39382180478423834
2026,1,C2,T0_T1,0.0596653445973061,0.4564337795600295,0.8483712412416935,0.58076586201787,0.987619936466217,0.4192341510206461
2026,1,C2,T0_T2,0.005077107663964853,0.16655206928650537,0.9919546072681745,0.6038165589173635,0.9263354539871216,0.39618346467614174
2026,1,C2,T0_T3,0.02914129449345637,0.3849770927336067,0.9097638949751854,0.5854638013988733,0.8788129091262817,0.4145362132694572
2026,2,C2,T0,0.028176579769933596,0.2442824374884367,0.9435041174292564,0.5477562323212624,0.0,0.45224377512931824
2026,2,C2,T0_T1,0.6887454651296139,0.9120117127895355,0.22012761130463332,0.5672039723722264,0.42169106006622314,0.43279601568269754
2026,2,C2,T0_T2,0.6775773751238982,0.9587189853191376,0.19519030659769973,0.6709911754975716,0.48721691966056824,0.32900883793521035
2026,2,C2,T0_T3,0.2988029025727883,0.7473013428971171,0.5482466174289584,0.4580542389303446,0.445646733045578,0.5419457647949457
2026,3,C2,T0,0.8218144103884697,0.9995490461587906,0.0867412673542276,0.48841288685798645,0.0,0.5115871054003946
2026,3,C2,T0_T1,0.22150418534874916,0.6042008716613054,0.6741668526083231,0.7100067138671875,0.8241666555404663,0.2899933038279414
2026,3,C2,T0_T2,0.4964568143089612,0.8184545760353407,0.37865826146056253,0.7066675747434298,0.6886479258537292,0.29333241037481156
2026,3,C2,T0_T3,0.07156544391182251,0.36258361767977476,0.8742399141192436,0.6694854591041803,0.8451964855194092,0.33051454136148095
2026,4,C2,T0,0.2945431564003229,0.7877320200204849,0.5459526032209396,0.48173763230443,0.0,0.5182623937726021
2026,4,C2,T0_T1,0.016761032136855647,0.31570893805474043,0.919404961168766,0.6088268496096134,0.9728522896766663,0.3911731783300638
2026,4,C2,T0_T2,0.1765429274722313,0.5691710617393255,0.7060756434996923,0.5786579387883345,0.820097804069519,0.42134208511561155
2026,4,C2,T0_T3,0.12643589789513499,0.5465663564391434,0.7532467553392053,0.5520946406759322,0.7146152257919312,0.44790535559877753
2026,0,C3,T0,0.014860094010752315,0.2622384534527858,0.9405317157506943,0.5933260867993037,0.0,0.40667390761276084
2026,0,C3,T0_T1,0.007954382507402139,0.21926905199264488,0.9698991104960442,0.5982151565452417,0.9960655570030212,0.40178484842181206
2026,0,C3,T0_T2,0.019001289073558938,0.3299408090404338,0.9284881601730982,0.5554382743106948,0.9945734739303589,0.4445617219640149
2026,0,C3,T0_T3,0.01340529696365896,0.2820869779679924,0.9449174627661705,0.5923725587005416,0.995776355266571,0.4076274400576949
2026,1,C3,T0,0.08180910981415461,0.4329735307643811,0.8373574490348498,0.5402917576332887,0.0,0.459708238641421
2026,1,C3,T0_T1,0.035208164617264025,0.46133503783494234,0.8606484134991964,0.5970860992868742,0.9962668418884277,0.4029139041279753
2026,1,C3,T0_T2,0.19083289248454902,0.616109561175108,0.6850278704530663,0.6296784149275886,0.9340984225273132,0.3703215779322717
2026,1,C3,T0_T3,0.009918048521891857,0.25621628233542043,0.9544924963265657,0.5896066467588147,0.9953951835632324,0.41039335634559393
2026,2,C3,T0,0.17969633995865783,0.5947896614670753,0.6900057916839918,0.6391290066142877,0.0,0.36087098096807796
2026,2,C3,T0_T1,0.24860642850399017,0.8236859552562237,0.5401119499777755,0.6419871971011162,0.9262325763702393,0.35801280274366337
2026,2,C3,T0_T2,0.008899841273281103,0.23787870444357395,0.9614436626434326,0.5856375003026592,0.9905805587768555,0.41436249514420825
2026,2,C3,T0_T3,0.31237160200059105,0.8144404270375768,0.5028124456293881,0.5813018369954079,0.7469264268875122,0.4186981633150329
2026,3,C3,T0,0.07694926213783522,0.6069698743522167,0.7545781632264456,0.48627389781177044,0.0,0.5137261065344015
2026,3,C3,T0_T1,0.11242328070026512,0.6120807758222023,0.7326507878800234,0.5909413204838833,0.984666109085083,0.4090586795161168
2026,3,C3,T0_T2,0.09875648833500843,0.49621324830998975,0.7901498882306947,0.6544489988850223,0.9854495525360107,0.34555100246022147
2026,3,C3,T0_T3,0.1431693019500623,0.6352593569705883,0.698841905221343,0.6050820654879013,0.9445891380310059,0.39491793715084594
2026,4,C3,T0,0.10058642259294477,0.40367743248740834,0.8279837866624197,0.5811595506966114,0.0,0.41884046606719494
2026,4,C3,T0_T1,0.19315908332161294,0.5913463051741322,0.6878038474048177,0.558631328245004,0.9798502922058105,0.4413686689610283
2026,4,C3,T0_T2,0.1004722978751589,0.5266958864198791,0.7709235358569357,0.6119243206663264,0.9821426868438721,0.38807568036847645
2026,4,C3,T0_T3,0.18946453578246292,0.639839208840082,0.6616420013209184,0.5403571642624835,0.9230648875236511,0.4596428389195353
2026,0,C4,T0,0.0005714999727691369,0.19165414944291115,0.9840153132875761,0.05483763183777531,0.0,0.945162370800972
2026,0,C4,T0_T1,0.0005468092228208358,0.17994750927512845,0.9899709795912107,0.05816590886873504,0.9998847842216492,0.9418340946237246
2026,0,C4,T0_T2,0.039810172269224293,0.47186105470690465,0.8305799286398623,0.11639006854966283,0.9993085265159607,0.8836099439197116
2026,0,C4,T0_T3,0.000497780813323819,0.17774088587611914,0.9891018209358057,0.052318758835705616,0.9998191893100739,0.9476812444627285
2026,1,C4,T0,0.0012219796274924495,0.2331122619410356,0.9735326444109281,0.06379154433185856,0.0,0.9362084592382113
2026,1,C4,T0_T1,0.12004133503978665,0.5086471455482146,0.7431357403596243,0.060911300485410415,0.999643862247467,0.9390887084106604
2026,1,C4,T0_T2,0.00575445183393539,0.30937490250087446,0.9346907205051846,0.05377763835713267,0.999954879283905,0.9462223657303386
2026,1,C4,T0_T3,0.0010204591671936214,0.247771923430264,0.967753247047464,0.055403978447429836,0.999944806098938,0.9445960310598215
2026,2,C4,T0,0.17380441735925464,0.5053157315899929,0.7182353101670742,0.16263683466240764,0.0,0.8373631859819094
2026,2,C4,T0_T1,0.013367068254713862,0.39544674024606746,0.890958541383346,0.09300140679503481,0.9996760189533234,0.9069985809425513
2026,2,C4,T0_T2,0.03552654224848892,0.5793736336959733,0.8110463673041927,0.07540659721740263,0.9968230426311493,0.9245934146973822
2026,2,C4,T0_T3,0.23243581487137513,0.8980103569726149,0.5115850691994032,0.11042128852285298,0.9755832850933075,0.8895788087199131
2026,3,C4,T0,0.0005655981791884793,0.18298344469318786,0.988712452352047,0.05761305460085472,0.0,0.9423869450887045
2026,3,C4,T0_T1,0.06818959445202684,0.4932576610396306,0.803776336212953,0.04556967267611375,0.9998071789741516,0.9544303342700005
2026,3,C4,T0_T2,0.007648005443722165,0.33728625770244336,0.9222049862146378,0.07159701507124636,0.999675452709198,0.9284029867913988
2026,3,C4,T0_T3,0.02273948650872626,0.3678563091283043,0.891770550981164,0.07533628206389646,0.9993810057640076,0.924663720652461
2026,4,C4,T0,0.0008694689386175014,0.22010677432020506,0.975812499721845,0.05511630574862162,0.0,0.9448836967349052
2026,4,C4,T0_T1,0.201531295174694,0.44850022190560895,0.736464150249958,0.07652302649027358,0.9886359572410583,0.9234769629935423
2026,4,C4,T0_T2,0.18311672601137413,0.7128526291085614,0.6189950913604763,0.10568413408625095,0.998155951499939,0.8943158826894231
2026,4,C4,T0_T3,0.16970448435555832,0.7603376948585113,0.6112316955501834,0.11755184092089621,0.9709164202213287,0.8824481790264448
2026,0,C5,T0,,,,,,
2026,0,C5,T0_T1,,,,,,
2026,0,C5,T0_T2,,,,,,
2026,0,C5,T0_T3,,,,,,
2026,1,C5,T0,,,,,,
2026,1,C5,T0_T1,,,,,,
2026,1,C5,T0_T2,,,,,,
2026,1,C5,T0_T3,,,,,,
2026,2,C5,T0,,,,,,
2026,2,C5,T0_T1,,,,,,
2026,2,C5,T0_T2,,,,,,
2026,2,C5,T0_T3,,,,,,
2026,3,C5,T0,,,,,,
2026,3,C5,T0_T1,,,,,,
2026,3,C5,T0_T2,,,,,,
2026,3,C5,T0_T3,,,,,,
2026,4,C5,T0,,,,,,
2026,4,C5,T0_T1,,,,,,
2026,4,C5,T0_T2,,,,,,
2026,4,C5,T0_T3,,,,,,
3026,0,C1,T0,,,,,,
3026,0,C1,T0_T1,,,,,,
3026,0,C1,T0_T2,,,,,,
3026,0,C1,T0_T3,,,,,,
3026,1,C1,T0,,,,,,
3026,1,C1,T0_T1,,,,,,
3026,1,C1,T0_T2,,,,,,
3026,1,C1,T0_T3,,,,,,
3026,2,C1,T0,,,,,,
3026,2,C1,T0_T1,,,,,,
3026,2,C1,T0_T2,,,,,,
3026,2,C1,T0_T3,,,,,,
3026,3,C1,T0,,,,,,
3026,3,C1,T0_T1,,,,,,
3026,3,C1,T0_T2,,,,,,
3026,3,C1,T0_T3,,,,,,
3026,4,C1,T0,,,,,,
3026,4,C1,T0_T1,,,,,,
3026,4,C1,T0_T2,,,,,,
3026,4,C1,T0_T3,,,,,,
3026,0,C2,T0,0.0037152490112930536,0.14412076584994793,0.9949650019407272,0.6130931153893471,0.0,0.3869069069623947
3026,0,C2,T0_T1,0.28387883957475424,0.6473384499549866,0.5998350381851196,0.6505623664706945,0.9588358402252197,0.3494376428425312
3026,0,C2,T0_T2,0.2759469586114089,0.6882351289192835,0.6020399791498979,0.6021586243684093,0.9536104202270508,0.3978413852552573
3026,0,C2,T0_T3,0.006782813521567732,0.17334902379661798,0.9878206271678209,0.5838447464630008,0.9410395622253418,0.41615526005625725
3026,1,C2,T0,0.3020246531814337,0.6776767149567604,0.5732335112988949,0.5948528684675694,0.0,0.4051471259444952
3026,1,C2,T0_T1,0.01744411131949164,0.3468552799895406,0.9035552367568016,0.46227695047855377,0.9817256927490234,0.5377230551093817
3026,1,C2,T0_T2,0.014387828957599899,0.28501984663307667,0.9392464260260264,0.5774091693262259,0.9757158756256104,0.422590850541989
3026,1,C2,T0_T3,0.01749174417636823,0.2715688771568239,0.9539802018553019,0.6537249460816383,0.9671449661254883,0.34627506928518414
3026,2,C2,T0,0.05484010942745954,0.40908455289900303,0.8816736042499542,0.4569530822336674,0.0,0.543046910315752
3026,2,C2,T0_T1,0.19472523545846343,0.49641521461308,0.7216592505574226,0.5603111237287521,0.9369495511054993,0.43968889582902193
3026,2,C2,T0_T2,0.2863793404151996,0.6892911940813065,0.6038208839794,0.6183224233488241,0.5236517786979675,0.38167757106324035
3026,2,C2,T0_T3,0.1556633078143932,0.4758350243791938,0.7596939764916897,0.5608066497370601,0.613591730594635,0.43919336423277855
3026,3,C2,T0,0.4468651486095041,0.7798256278038025,0.4194963499903679,0.4325971007347107,0.0,0.567402895539999
3026,3,C2,T0_T1,0.3320917719975114,0.7397328987717628,0.5250554792582989,0.5293613774701953,0.9677163362503052,0.4706386420875788
3026,3,C2,T0_T2,0.12123538134619594,0.5231310886641344,0.7647873709599177,0.6378466511766115,0.9789324998855591,0.3621533550322056
3026,3,C2,T0_T3,0.12268739938735962,0.4597432119771838,0.787573054432869,0.6860512550920248,0.7947406768798828,0.3139487544540316
3026,4,C2,T0,0.041064730496145785,0.4289218746125698,0.8774093985557556,0.5457282774150372,0.0,0.45427174493670464
3026,4,C2,T0_T1,0.5239997860044241,0.8622219040989876,0.3543562572449446,0.6237227935343981,0.91002357006073,0.3762772068148479
3026,4,C2,T0_T2,0.4236238729208708,0.8001759002606074,0.4376458376646042,0.5879795116682848,0.8146539330482483,0.41202048150201637
3026,4,C2,T0_T3,0.2702978055458516,0.7001460315659642,0.6001325324177742,0.5028307205066085,0.891539454460144,0.49716928554698825
3026,0,C3,T0,0.006006880042453607,0.19714487995952368,0.9780018106102943,0.5724389230211576,0.0,0.42756107449531555
3026,0,C3,T0_T1,0.1474729803351996,0.5547584195931753,0.7365166513870159,0.46661443061505753,0.9637279510498047,0.5333855599164963
3026,0,C3,T0_T2,0.1546503304141677,0.6741941604349349,0.6808605670101113,0.5047261711830894,0.9817769527435303,0.4952738261264231
3026,0,C3,T0_T3,0.0386340655143916,0.38610136074324447,0.8795350703100363,0.5464985370635986,0.9946446418762207,0.45350147131830454
3026,1,C3,T0,0.010077430362192294,0.2246375431617101,0.964501366019249,0.5988254671295484,0.0,0.40117452293634415
3026,1,C3,T0_T1,0.014809001387523798,0.24405055943255624,0.9553892537951469,0.6156568924585978,0.9969664812088013,0.384343105678757
3026,1,C3,T0_T2,0.12926335908317318,0.630162742609779,0.7201860451863872,0.6307395028157367,0.8905749320983887,0.3692605012199945
3026,1,C3,T0_T3,0.012508314718919186,0.2565920803075035,0.9546073470264673,0.6059340350329876,0.9851034879684448,0.39406597179671127
3026,2,C3,T0,0.04715798477021357,0.4637011376519998,0.866989923020204,0.5929949792722861,0.0,0.40700501886506874
3026,2,C3,T0_T1,0.1709816660732031,0.6337746419012547,0.6813800372183323,0.621110723974804,0.9646823406219482,0.37888928316533566
3026,2,C3,T0_T2,0.18686077281987915,0.5638402021593518,0.7006634422060516,0.5487387610806359,0.8991998434066772,0.4512612405750487
3026,2,C3,T0_T3,0.2985218696218605,0.7628743353610238,0.5338344513438642,0.6065620430357134,0.9218497276306152,0.39343795884633437
3026,3,C3,T0,0.014470258611254394,0.2507196015988787,0.9512482285499573,0.608137771487236,0.0,0.3918622359633446
3026,3,C3,T0_T1,0.3651352259718503,0.8352646802862486,0.45688196442400414,0.5740348726885713,0.9642366170883179,0.4259651182219386
3026,3,C3,T0_T2,0.11900926672064492,0.49017420038580894,0.7699151730371846,0.5730380275183253,0.9831243753433228,0.42696198013921577
3026,3,C3,T0_T3,0.33150281322499114,0.84999161430945,0.4786868585118403,0.5730586835901098,0.8414558172225952,0.4269413174964332
3026,4,C3,T0,0.0041866000489487005,0.15839367918670177,0.9895223279794058,0.5921299184362093,0.0,0.4078700952231884
3026,4,C3,T0_T1,0.3147530765272677,0.7291124245772759,0.529619635703663,0.581444832496345,0.8753077983856201,0.4185551665723324
3026,4,C3,T0_T2,0.3220782947157406,0.6762296662976345,0.5482043066165514,0.5803732840965191,0.7545501589775085,0.41962671942181057
3026,4,C3,T0_T3,0.007601571482761453,0.19099191095059118,0.9748567175120115,0.5894766338169575,0.9986042976379395,0.4105233649412791
3026,0,C4,T0,0.0005333507239508132,0.18541516239444414,0.9865020861228307,0.05294570497547587,0.0,0.9470542967319489
3026,0,C4,T0_T1,0.016397260173107497,0.6423301802327236,0.7704342926541964,0.12814775553791455,0.999919980764389,0.8718522389729818
3026,0,C4,T0_T2,0.0014062690190459965,0.23290586802694532,0.9724970675177045,0.06898245106761654,0.9991579055786133,0.9310175470179982
3026,0,C4,T0_T3,0.08478967051147872,0.7301473245024681,0.7096466471751531,0.08793129436394054,0.9987941384315491,0.9120687134563923
3026,1,C4,T0,0.00037365182530872215,0.15016542840749025,0.9939861223101616,0.051092702274521194,0.0,0.9489072983463606
