n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.2151782702707129,1.0760861902018746,0.129050516535967,2026,0,T0,ftv_complete_375,C0,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6459183673469387,0.3786370941998554,0.218650442368626,0.9263630551358464,0.1377600945093183,2026,0,T0,ftv_complete_375,C0,C_PLUS_M,0.01,0.8131578947368421
69.0,20.0,49.0,0.636734693877551,0.394817879513026,0.2446679821089077,107.69115081701952,0.1976676425038014,2026,0,T0,ftv_complete_375,C0,F,0.001,0.381578947368421
69.0,20.0,49.0,0.6755102040816326,0.4491744535901651,0.2007162743020153,0.4265958587318167,0.0713208512721438,2026,0,T0,ftv_complete_375,C0,C_PLUS_F,0.1,0.793421052631579
69.0,20.0,49.0,0.6459183673469387,0.377806919008929,0.2214207785884809,0.3141278529867212,0.1481937356628004,2026,0,T0,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.1,0.8026315789473684
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.2151782702707129,1.0760861902018746,0.129050516535967,2026,0,T0_T1,ftv_complete_375,C0,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.5795918367346939,0.3218161478113036,0.2275635246923353,0.4019418773776417,0.1336254370592602,2026,0,T0_T1,ftv_complete_375,C0,C_PLUS_M,0.01,0.8210526315789475
69.0,20.0,49.0,0.6316326530612246,0.3881432863141405,0.2019354130869279,0.6899905703719266,0.0470333744459984,2026,0,T0_T1,ftv_complete_375,C0,F,10.0,0.743421052631579
69.0,20.0,49.0,0.6918367346938775,0.4787698719742781,0.2015430324400101,0.2688640611057228,0.1721844602713109,2026,0,T0_T1,ftv_complete_375,C0,C_PLUS_F,1.0,0.8355263157894737
69.0,20.0,49.0,0.6204081632653061,0.3568618240324491,0.2641183807088934,0.0939028941715383,0.2041406878814957,2026,0,T0_T1,ftv_complete_375,C0,C_PLUS_F_PLUS_M,10.0,0.8539473684210526
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.2151782702707129,1.0760861902018746,0.129050516535967,2026,0,T0_T2,ftv_complete_375,C0,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6,0.3501979654058441,0.2428893838396237,4.053749599243444,0.1972409616411525,2026,0,T0_T2,ftv_complete_375,C0,C_PLUS_M,0.001,0.8513157894736842
69.0,20.0,49.0,0.6744897959183673,0.4351920882225621,0.1928004742690524,0.86183005134592,0.0765438669208544,2026,0,T0_T2,ftv_complete_375,C0,F,10.0,0.8052631578947368
69.0,20.0,49.0,0.7418367346938775,0.4934387041790169,0.186571179421622,0.5824722653894238,0.1611547786628973,2026,0,T0_T2,ftv_complete_375,C0,C_PLUS_F,0.1,0.8552631578947368
69.0,20.0,49.0,0.6571428571428571,0.3769714666303254,0.2290656010802693,0.3191679032581295,0.1464963650594259,2026,0,T0_T2,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.1,0.875
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.2151782702707129,1.0760861902018746,0.129050516535967,2026,0,T0_T3,ftv_complete_375,C0,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6408163265306123,0.3832072674126113,0.242783557616292,6.427600426024766,0.1997104678369696,2026,0,T0_T3,ftv_complete_375,C0,C_PLUS_M,0.001,0.8710526315789474
69.0,20.0,49.0,0.6857142857142857,0.4558727704892661,0.1890631399430539,0.9743421316769164,0.1089696471929072,2026,0,T0_T3,ftv_complete_375,C0,F,10.0,0.775
69.0,20.0,49.0,0.7438775510204081,0.5059069032482271,0.1940203040000984,0.3618286320307985,0.1389952006508458,2026,0,T0_T3,ftv_complete_375,C0,C_PLUS_F,1.0,0.8513157894736842
69.0,20.0,49.0,0.6928571428571428,0.4125788402026922,0.2142656473564358,0.4342939543531955,0.1404509704604627,2026,0,T0_T3,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.1,0.875
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711981,2.341556061037932,0.1386823008926775,2026,1,T0,ftv_complete_375,C0,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.6978723404255318,0.5115597941307986,0.1913915228859985,0.7774420926274155,0.1136139323118231,2026,1,T0,ftv_complete_375,C0,C_PLUS_M,0.1,0.7182539682539683
67.0,20.0,47.0,0.4170212765957446,0.2833948686229713,0.2457136755953513,-44.47713175757704,0.18995625319289,2026,1,T0,ftv_complete_375,C0,F,0.001,0.5267857142857143
67.0,20.0,47.0,0.6936170212765957,0.4346975794357506,0.2412848763990996,12.904098918633542,0.18646997245056,2026,1,T0,ftv_complete_375,C0,C_PLUS_F,0.001,0.6874999999999999
67.0,20.0,47.0,0.696808510638298,0.451067923968703,0.2416267203895898,11.755515470081004,0.1869566335667822,2026,1,T0,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.001,0.7033730158730159
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711981,2.341556061037932,0.1386823008926775,2026,1,T0_T1,ftv_complete_375,C0,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.6670212765957446,0.5256439885064823,0.2061396775309492,1.5750383269280566,0.1247891137432474,2026,1,T0_T1,ftv_complete_375,C0,C_PLUS_M,0.01,0.7688492063492064
67.0,20.0,47.0,0.725531914893617,0.5412142678790525,0.1928207148882276,2.553727889153828,0.102036356981785,2026,1,T0_T1,ftv_complete_375,C0,F,0.1,0.6180555555555556
67.0,20.0,47.0,0.7276595744680852,0.6659310230953213,0.1701456718366252,0.4664083968690483,0.1466244559596308,2026,1,T0_T1,ftv_complete_375,C0,C_PLUS_F,10.0,0.7331349206349206
67.0,20.0,47.0,0.6787234042553191,0.6002839403509961,0.2005530472829289,0.3413605685622577,0.2029473738045017,2026,1,T0_T1,ftv_complete_375,C0,C_PLUS_F_PLUS_M,10.0,0.7728174603174603
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711981,2.341556061037932,0.1386823008926775,2026,1,T0_T2,ftv_complete_375,C0,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.725531914893617,0.5688179654146946,0.1951781094812681,1.9692550997410532,0.1919299490580831,2026,1,T0_T2,ftv_complete_375,C0,C_PLUS_M,0.01,0.7847222222222222
67.0,20.0,47.0,0.7563829787234043,0.5458804328279717,0.1790025459700913,1.5284082019956071,0.1030747186920484,2026,1,T0_T2,ftv_complete_375,C0,F,1.0,0.6686507936507937
67.0,20.0,47.0,0.7297872340425532,0.6321511435905094,0.1747090461444502,0.5606373844496044,0.0854414151471423,2026,1,T0_T2,ftv_complete_375,C0,C_PLUS_F,1.0,0.7757936507936508
67.0,20.0,47.0,0.751063829787234,0.6600457031911893,0.1925976135985494,0.3746156018294421,0.1837109191481571,2026,1,T0_T2,ftv_complete_375,C0,C_PLUS_F_PLUS_M,10.0,0.8194444444444444
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711981,2.341556061037932,0.1386823008926775,2026,1,T0_T3,ftv_complete_375,C0,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.65,0.459713313161942,0.2092526808503057,1.6696348765243525,0.1165103055599068,2026,1,T0_T3,ftv_complete_375,C0,C_PLUS_M,0.01,0.7678571428571429
67.0,20.0,47.0,0.7138297872340426,0.5252261929678913,0.1922747221781807,1.4539064000505546,0.1241277693377362,2026,1,T0_T3,ftv_complete_375,C0,F,0.1,0.6349206349206349
67.0,20.0,47.0,0.7191489361702127,0.6231081757636228,0.177414496572493,0.8515372265704059,0.0855825759105093,2026,1,T0_T3,ftv_complete_375,C0,C_PLUS_F,0.1,0.7519841269841271
67.0,20.0,47.0,0.6904255319148936,0.6229036332439428,0.1855219609729024,0.3212050032302563,0.131155457135179,2026,1,T0_T3,ftv_complete_375,C0,C_PLUS_F_PLUS_M,10.0,0.810515873015873
