n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.21517827027071298,1.0760861902018748,0.12905051653596716,2026,0,T0,ftv_complete_375,C3,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6959183673469388,0.44364534536346356,0.20051686305019326,0.2418852634907807,0.1786363919843293,2026,0,T0,ftv_complete_375,C3,C_PLUS_M,10.0,0.7907894736842105
69.0,20.0,49.0,0.636734693877551,0.39481787951302605,0.24466798210890778,107.69115081702066,0.19766764250380137,2026,0,T0,ftv_complete_375,C3,F,0.001,0.381578947368421
69.0,20.0,49.0,0.6755102040816326,0.44917445359016517,0.20071627430201536,0.4265958587318156,0.0713208512721438,2026,0,T0,ftv_complete_375,C3,C_PLUS_F,0.1,0.793421052631579
69.0,20.0,49.0,0.6948979591836735,0.4419084176483657,0.19986700726949222,0.24576197485056872,0.14097073796250972,2026,0,T0,ftv_complete_375,C3,C_PLUS_F_PLUS_M,10.0,0.7828947368421053
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.21517827027071298,1.0760861902018748,0.12905051653596716,2026,0,T0_T1,ftv_complete_375,C3,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6612244897959184,0.40420073658139016,0.21426622159608064,1.2108803108648312,0.13114588195004248,2026,0,T0_T1,ftv_complete_375,C3,C_PLUS_M,0.01,0.8052631578947369
69.0,20.0,49.0,0.6316326530612246,0.3881432863141405,0.2019354130869279,0.6899905703719267,0.04703337444599842,2026,0,T0_T1,ftv_complete_375,C3,F,10.0,0.743421052631579
69.0,20.0,49.0,0.6918367346938775,0.47876987197427817,0.20154303244001012,0.2688640611057228,0.17218446027131104,2026,0,T0_T1,ftv_complete_375,C3,C_PLUS_F,1.0,0.8355263157894737
69.0,20.0,49.0,0.6979591836734694,0.46788624251090233,0.20564906347717535,0.2239234754489348,0.15317870021908614,2026,0,T0_T1,ftv_complete_375,C3,C_PLUS_F_PLUS_M,10.0,0.8355263157894737
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.21517827027071298,1.0760861902018748,0.12905051653596716,2026,0,T0_T2,ftv_complete_375,C3,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6469387755102041,0.38719293633252694,0.2166679047635105,0.9819992752172461,0.1309136606653808,2026,0,T0_T2,ftv_complete_375,C3,C_PLUS_M,0.01,0.8131578947368421
69.0,20.0,49.0,0.6744897959183673,0.43519208822256217,0.1928004742690524,0.8618300513459201,0.0765438669208545,2026,0,T0_T2,ftv_complete_375,C3,F,10.0,0.8052631578947368
69.0,20.0,49.0,0.7418367346938775,0.4934387041790169,0.186571179421622,0.5824722653894249,0.16115477866289737,2026,0,T0_T2,ftv_complete_375,C3,C_PLUS_F,0.1,0.8552631578947368
69.0,20.0,49.0,0.7204081632653061,0.4778880326108787,0.20984465725532636,0.2523600932882564,0.1718068083241378,2026,0,T0_T2,ftv_complete_375,C3,C_PLUS_F_PLUS_M,10.0,0.8513157894736842
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.21517827027071298,1.0760861902018748,0.12905051653596716,2026,0,T0_T3,ftv_complete_375,C3,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.616326530612245,0.3515469300972097,0.22327904974631424,0.2532345774422697,0.1504350016277078,2026,0,T0_T3,ftv_complete_375,C3,C_PLUS_M,0.1,0.8157894736842105
69.0,20.0,49.0,0.6857142857142857,0.4558727704892661,0.18906313994305393,0.9743421316769153,0.10896964719290682,2026,0,T0_T3,ftv_complete_375,C3,F,10.0,0.775
69.0,20.0,49.0,0.7438775510204081,0.5059069032482271,0.1940203040000984,0.36182863203079846,0.13899520065084592,2026,0,T0_T3,ftv_complete_375,C3,C_PLUS_F,1.0,0.8513157894736842
69.0,20.0,49.0,0.7112244897959185,0.44994288931788934,0.21844705439011874,0.23136782066419578,0.19714268136151444,2026,0,T0_T3,ftv_complete_375,C3,C_PLUS_F_PLUS_M,10.0,0.8342105263157895
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711982,2.3415560610379336,0.13868230089267755,2026,1,T0,ftv_complete_375,C3,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.6074468085106383,0.40778800101463475,0.24283108186284708,5.695958701451224,0.19948916313726053,2026,1,T0,ftv_complete_375,C3,C_PLUS_M,0.001,0.763888888888889
67.0,20.0,47.0,0.41702127659574467,0.28339486862297136,0.24571367559535137,-44.47713175757705,0.1899562531928899,2026,1,T0,ftv_complete_375,C3,F,0.001,0.5267857142857143
67.0,20.0,47.0,0.6936170212765957,0.43469757943575066,0.24128487639909965,12.904098918633558,0.18646997245055996,2026,1,T0,ftv_complete_375,C3,C_PLUS_F,0.001,0.6874999999999999
67.0,20.0,47.0,0.5840425531914895,0.40850718772281863,0.24316593687525068,4.8815292912638855,0.1996353071426844,2026,1,T0,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7648809523809523
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711982,2.3415560610379336,0.13868230089267755,2026,1,T0_T1,ftv_complete_375,C3,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.6787234042553192,0.5171250161476206,0.24084786350374277,12.470216109523653,0.2143410197509025,2026,1,T0_T1,ftv_complete_375,C3,C_PLUS_M,0.001,0.7390873015873015
67.0,20.0,47.0,0.725531914893617,0.5412142678790525,0.19282071488822766,2.553727889153829,0.10203635698178506,2026,1,T0_T1,ftv_complete_375,C3,F,0.1,0.6180555555555556
67.0,20.0,47.0,0.7276595744680852,0.6659310230953213,0.17014567183662527,0.4664083968690409,0.1466244559596309,2026,1,T0_T1,ftv_complete_375,C3,C_PLUS_F,10.0,0.7331349206349206
67.0,20.0,47.0,0.6680851063829788,0.5715126520227327,0.2408091411428158,10.995934940669864,0.21434584958444403,2026,1,T0_T1,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7549603174603176
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711982,2.3415560610379336,0.13868230089267755,2026,1,T0_T2,ftv_complete_375,C3,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.626595744680851,0.46234304500055995,0.24132439673570175,7.324826078252785,0.18667224260601192,2026,1,T0_T2,ftv_complete_375,C3,C_PLUS_M,0.001,0.822420634920635
67.0,20.0,47.0,0.7563829787234043,0.5458804328279717,0.17900254597009135,1.5284082019956076,0.10307471869204837,2026,1,T0_T2,ftv_complete_375,C3,F,1.0,0.6686507936507937
67.0,20.0,47.0,0.7297872340425532,0.6321511435905094,0.1747090461444503,0.560637384449604,0.08544141514714232,2026,1,T0_T2,ftv_complete_375,C3,C_PLUS_F,1.0,0.7757936507936508
67.0,20.0,47.0,0.6542553191489362,0.5246146111928764,0.2094497699191911,1.2761158218260762,0.13370167033402355,2026,1,T0_T2,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.01,0.8283730158730159
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711982,2.3415560610379336,0.13868230089267755,2026,1,T0_T3,ftv_complete_375,C3,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.6638297872340426,0.4980253142420785,0.20965835006068326,1.7614408037231695,0.13387964544568867,2026,1,T0_T3,ftv_complete_375,C3,C_PLUS_M,0.01,0.7103174603174603
67.0,20.0,47.0,0.7138297872340426,0.5252261929678913,0.19227472217818078,1.4539064000505553,0.12412776933773625,2026,1,T0_T3,ftv_complete_375,C3,F,0.1,0.6349206349206349
67.0,20.0,47.0,0.7191489361702127,0.6231081757636228,0.17741449657249297,0.8515372265704063,0.08558257591050941,2026,1,T0_T3,ftv_complete_375,C3,C_PLUS_F,0.1,0.7519841269841271
67.0,20.0,47.0,0.6851063829787235,0.5906942017335898,0.20634751553533212,1.8353417523588647,0.16409042709614916,2026,1,T0_T3,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.01,0.763888888888889
83.0,24.0,59.0,0.6147598870056497,0.48792454573834704,0.21611054606559738,1.5044506024321702,0.13611863773692542,2026,2,T0,ftv_complete_375,C3,C,0.01,0.7436974789915967
83.0,24.0,59.0,0.5769774011299436,0.41839021460279174,0.2195336644691342,1.1640435584258946,0.14353097506338028,2026,2,T0,ftv_complete_375,C3,C_PLUS_M,0.01,0.8033613445378152
83.0,24.0,59.0,0.5628531073446328,0.4705568601967343,0.24500124234014573,97.06363933392142,0.19877949585295623,2026,2,T0,ftv_complete_375,C3,F,0.001,0.4890756302521008
83.0,24.0,59.0,0.6193502824858756,0.495950188268933,0.2160012239908575,1.519310885042323,0.13608852084855835,2026,2,T0,ftv_complete_375,C3,C_PLUS_F,0.01,0.7428571428571429
83.0,24.0,59.0,0.5677966101694916,0.41634314259250876,0.2201182357390835,1.1227386801564403,0.14414331073681866,2026,2,T0,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.01,0.8117647058823529
83.0,24.0,59.0,0.6147598870056497,0.48792454573834704,0.21611054606559738,1.5044506024321702,0.13611863773692542,2026,2,T0_T1,ftv_complete_375,C3,C,0.01,0.7436974789915967
83.0,24.0,59.0,0.5353107344632768,0.3478033023974633,0.2288940911518163,0.22321541574115877,0.17093689907440027,2026,2,T0_T1,ftv_complete_375,C3,C_PLUS_M,0.01,0.7747899159663866
83.0,24.0,59.0,0.7281073446327684,0.5646531213483411,0.1835829890036165,1.761774651041822,0.1317653333723246,2026,2,T0_T1,ftv_complete_375,C3,F,1.0,0.7949579831932774
83.0,24.0,59.0,0.6836158192090396,0.5227797024208795,0.18758801290003077,0.6780002318724825,0.09884893616906586,2026,2,T0_T1,ftv_complete_375,C3,C_PLUS_F,1.0,0.8319327731092436
83.0,24.0,59.0,0.5056497175141242,0.3380054159006649,0.2611965168968175,0.023717409063824687,0.2399758491589862,2026,2,T0_T1,ftv_complete_375,C3,C_PLUS_F_PLUS_M,10.0,0.8067226890756303
83.0,24.0,59.0,0.6147598870056497,0.48792454573834704,0.21611054606559738,1.5044506024321702,0.13611863773692542,2026,2,T0_T2,ftv_complete_375,C3,C,0.01,0.7436974789915967
83.0,24.0,59.0,0.5317796610169492,0.43597373896612474,0.22046239715457852,0.9778641591428581,0.1435217625483925,2026,2,T0_T2,ftv_complete_375,C3,C_PLUS_M,0.01,0.7663865546218488
83.0,24.0,59.0,0.7309322033898304,0.5016259667368882,0.17935930517760085,1.1682618609765902,0.06431038018274868,2026,2,T0_T2,ftv_complete_375,C3,F,10.0,0.7109243697478991
83.0,24.0,59.0,0.7337570621468927,0.5498809417751204,0.17439165325771916,1.0630737072628056,0.10029903929651482,2026,2,T0_T2,ftv_complete_375,C3,C_PLUS_F,0.1,0.8151260504201681
83.0,24.0,59.0,0.7005649717514124,0.5047002316429464,0.1860043972369989,0.849776926038551,0.0985280763467596,2026,2,T0_T2,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.1,0.8369747899159664
83.0,24.0,59.0,0.6147598870056497,0.48792454573834704,0.21611054606559738,1.5044506024321702,0.13611863773692542,2026,2,T0_T3,ftv_complete_375,C3,C,0.01,0.7436974789915967
83.0,24.0,59.0,0.5734463276836158,0.35138773902827364,0.32159020725461784,0.08439061750227933,0.3291174429256649,2026,2,T0_T3,ftv_complete_375,C3,C_PLUS_M,10.0,0.7983193277310924
83.0,24.0,59.0,0.7274011299435028,0.5282304987129173,0.17793137218633173,1.3179520978323653,0.0649693525510031,2026,2,T0_T3,ftv_complete_375,C3,F,1.0,0.6974789915966386
83.0,24.0,59.0,0.7351694915254237,0.559182139105535,0.173734156679351,1.039922302304773,0.0875936444706219,2026,2,T0_T3,ftv_complete_375,C3,C_PLUS_F,0.1,0.7915966386554621
83.0,24.0,59.0,0.594632768361582,0.3832877535462473,0.29300205854113337,0.12849388396815475,0.295826207011903,2026,2,T0_T3,ftv_complete_375,C3,C_PLUS_F_PLUS_M,1.0,0.8235294117647058
72.0,23.0,49.0,0.7519964507542147,0.5926420714482201,0.20766714661179497,3.238079960345513,0.12455061291661312,2026,3,T0,ftv_complete_375,C3,C,0.01,0.674390243902439
72.0,23.0,49.0,0.7852706299911268,0.6561905866773108,0.24045519868346746,21.895732094296893,0.22176193771858435,2026,3,T0,ftv_complete_375,C3,C_PLUS_M,0.001,0.7073170731707318
72.0,23.0,49.0,0.4720496894409938,0.322390649001701,0.2455984973373019,0.037680851415184215,0.16787545466627735,2026,3,T0,ftv_complete_375,C3,F,0.001,0.5634146341463415
72.0,23.0,49.0,0.7568766637089619,0.6082652916841986,0.20781646516360486,3.2276196194858344,0.1526509673387416,2026,3,T0,ftv_complete_375,C3,C_PLUS_F,0.01,0.6817073170731708
72.0,23.0,49.0,0.7755102040816326,0.6481445516530362,0.24048865213379608,21.65154165147269,0.2078386657063023,2026,3,T0,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7097560975609756
72.0,23.0,49.0,0.7519964507542147,0.5926420714482201,0.20766714661179497,3.238079960345513,0.12455061291661312,2026,3,T0_T1,ftv_complete_375,C3,C,0.01,0.674390243902439
72.0,23.0,49.0,0.7213842058562556,0.5842918089902445,0.241939414357485,13.691826701733449,0.20770657330044337,2026,3,T0_T1,ftv_complete_375,C3,C_PLUS_M,0.001,0.6365853658536585
72.0,23.0,49.0,0.5226264418811002,0.34116706887553394,0.22716814036518343,1.3700323359154205,0.10373267138318867,2026,3,T0_T1,ftv_complete_375,C3,F,0.01,0.7951219512195121
72.0,23.0,49.0,0.7453416149068323,0.6262364940817735,0.18268548736818743,1.1110814695621007,0.07900164304796829,2026,3,T0_T1,ftv_complete_375,C3,C_PLUS_F,0.1,0.7426829268292683
72.0,23.0,49.0,0.717834960070985,0.5695166426602853,0.24209769732749542,12.133985240116349,0.19331444103732076,2026,3,T0_T1,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.6890243902439025
72.0,23.0,49.0,0.7519964507542147,0.5926420714482201,0.20766714661179497,3.238079960345513,0.12455061291661312,2026,3,T0_T2,ftv_complete_375,C3,C,0.01,0.674390243902439
72.0,23.0,49.0,0.7897071872227152,0.6805565295412298,0.2398007082268497,21.577041948159806,0.2631901944526047,2026,3,T0_T2,ftv_complete_375,C3,C_PLUS_M,0.001,0.6658536585365853
72.0,23.0,49.0,0.6681455190771961,0.46780151175259843,0.20430353922525918,1.3238843204864679,0.07192573067474212,2026,3,T0_T2,ftv_complete_375,C3,F,0.1,0.8597560975609756
72.0,23.0,49.0,0.7861579414374446,0.6827472421869503,0.17186093979651149,1.246675128710397,0.04556666668686963,2026,3,T0_T2,ftv_complete_375,C3,C_PLUS_F,0.1,0.776829268292683
72.0,23.0,49.0,0.7746228926353149,0.6271394050784943,0.23925201623046746,15.563473650509279,0.20514131837310687,2026,3,T0_T2,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7463414634146343
72.0,23.0,49.0,0.7519964507542147,0.5926420714482201,0.20766714661179497,3.238079960345513,0.12455061291661312,2026,3,T0_T3,ftv_complete_375,C3,C,0.01,0.674390243902439
72.0,23.0,49.0,0.7985803016858918,0.7310848192819565,0.23777595830579973,19.446971211444623,0.24633670269387503,2026,3,T0_T3,ftv_complete_375,C3,C_PLUS_M,0.001,0.7121951219512196
72.0,23.0,49.0,0.6645962732919255,0.4341694758003184,0.20388727992108585,1.2253891215997235,0.04061388737839624,2026,3,T0_T3,ftv_complete_375,C3,F,0.1,0.8341463414634147
72.0,23.0,49.0,0.7409050576752441,0.6086902640711258,0.24058694087583582,15.961185959763688,0.17139608160025518,2026,3,T0_T3,ftv_complete_375,C3,C_PLUS_F,0.001,0.7780487804878048
72.0,23.0,49.0,0.7852706299911268,0.6806400934766139,0.23674289035990123,13.815815070656312,0.2293757962033647,2026,3,T0_T3,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7841463414634147
84.0,23.0,61.0,0.7526728439059159,0.507493425780703,0.20279496876484693,3.289152296398268,0.1765174819852552,2026,4,T0,ftv_complete_375,C3,C,0.01,0.6885869565217391
84.0,23.0,61.0,0.7462580185317178,0.4469629743946352,0.20399227293261943,2.545511165599317,0.15697143963624607,2026,4,T0,ftv_complete_375,C3,C_PLUS_M,0.01,0.683695652173913
84.0,23.0,61.0,0.48325017818959376,0.3100256329911585,0.24523141842658255,0.04207860305253402,0.21539331403933698,2026,4,T0,ftv_complete_375,C3,F,0.001,0.583695652173913
84.0,23.0,61.0,0.759800427655025,0.5515457902440151,0.16945982970171364,1.4200217023617066,0.09709385284241606,2026,4,T0,ftv_complete_375,C3,C_PLUS_F,0.1,0.6902173913043479
84.0,23.0,61.0,0.7441197434069851,0.4418759619163184,0.20400179837019894,2.5338459175958277,0.16871650383649264,2026,4,T0,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.01,0.6858695652173913
84.0,23.0,61.0,0.7526728439059159,0.507493425780703,0.20279496876484693,3.289152296398268,0.1765174819852552,2026,4,T0_T1,ftv_complete_375,C3,C,0.01,0.6885869565217391
