timing,reference_arm,candidate_arm,delta_auroc_mean,delta_auroc_std,seeds
T0,C0,C1,-0.024338534964542566,0.0164388665483932,2
T0,C0,C2,-0.02176364607766991,0.025040099745206545,2
T0,C0,C3,-0.001881650126993057,0.0555647672189715,2
T0,C0,C4,-0.03310218156129234,0.014204348563804856,2
T0,C0,C5,-0.03228022817758208,0.010867915043896578,2
T0,C2,C3,0.01952951522939029,0.031321192096858685,2
T0,C3,C4,-0.0314557828209257,0.041286004906136854,2
T0_T1,C0,C1,-0.04043192667116363,0.008713259635218549,2
T0_T1,C0,C2,-0.01466298451657558,0.023566708330041646,2
T0_T1,C0,C3,-0.020350205797961547,0.0128123414563667,2
T0_T1,C0,C4,-0.03931110833773274,0.01578256190408562,2
T0_T1,C0,C5,-0.04765300333703242,0.013648234095865902,2
T0_T1,C2,C3,-0.005249037346656542,0.010293001659884551,2
T0_T1,C3,C4,-0.01901975704342181,0.003539144399564368,2
T0_T2,C0,C1,-0.033880229345717196,0.019058342491041196,2
T0_T2,C0,C2,0.0002738257923189727,0.03242264991298462,2
T0_T2,C0,C3,-0.008580673947601425,0.006459406001114117,2
T0_T2,C0,C4,-0.02789286363118704,0.027316949539010097,2
T0_T2,C0,C5,-0.03760070974304115,0.017838771091226398,2
T0_T2,C2,C3,-0.009396379180606504,0.026032922055247123,2
T0_T2,C3,C4,-0.02010081593955287,0.02157804229037121,2
T0_T3,C0,C1,-0.015549553850951723,0.015372140146389195,2
T0_T3,C0,C2,-0.019533551755553873,0.00969832619100281,2
T0_T3,C0,C3,-0.030548548868659126,0.03918557343233873,2
T0_T3,C0,C4,-0.03762133021491344,0.006949361122003713,2
T0_T3,C0,C5,-0.04448516676378249,0.019725455048806385,2
T0_T3,C2,C3,-0.010283364893782121,0.02800389480983674,2
T0_T3,C3,C4,-0.007601116758893198,0.03172048836655845,2
