fold,visit,n_train,coefficient,intercept,residual_train_mean,residual_train_population_scale,residualizer_id
0,T0,247,-0.5616992156997066,3.393733122479742e-16,1.4383456189475712e-17,0.8257961531496048,05cfe87359dc3d4a5e433af6c2231f563f07b82ab206abf06ca84b68db097165
0,T1,247,-0.5395563624947627,-9.398672977407741e-17,5.393796071053392e-18,0.840548437674823,e12d7d2ea05624475d1398189e5b0d7965d02049c0b5b1db4399fe54a29066f8
0,T2,247,-0.5963045134898133,6.420810043012946e-17,-1.797932023684464e-18,0.8009630106415035,92d93f35082f143ef53b68c26c25a910eabbc254d136677e70ac414f6c19a3a2
0,T3,247,-0.6004024589963645,4.754942186453577e-18,7.191728094737856e-18,0.7978709141394686,6169e715dadf2401ce8d186afdec12f533e0c01f933623392e3e39997272e736
1,T0,239,-0.5587371269798935,1.0412257668221618e-16,-1.1148683092470191e-17,0.8277683117502677,536ba7402d286299b5fa4c45b1d7c13f282db4d9605c2670e15b976472765dfc
1,T1,239,-0.5287961267060183,-2.3741052078478274e-16,-3.7162276974900636e-17,0.8473692792084463,3d6edbcd2f8dcbad4174e1e1fd22f3026891db24c6c957674825594df23e536d
1,T2,239,-0.5805381737920099,3.993061068713903e-17,2.972982157992051e-17,0.8124993165974015,dd4e96db3ec5767d632ce8b204cd28ad1d399e964b866e49eac9b58b8c884995
1,T3,239,-0.6204614095314507,2.6829505391637564e-16,1.4864910789960254e-17,0.7821803585178642,33d7df30f1ca1e109217b1871114f6ab033e5855fa9ee735a80945c68969412d
2,T0,240,-0.6054000903180621,3.600821671981054e-17,2.960594732333751e-17,0.7940003065059694,14b5241c06fc2437f0979098cfc3b46dcfd8f0e43234f8dfb82ab0c6a7c8034e
2,T1,240,-0.5379102837036634,-9.646226555521257e-18,-1.4802973661668754e-17,0.8415707324649306,17c39bf67c221bc72af2742da36f0653ede85591a82e5bf6b2f7626a3d71e951
2,T2,240,-0.6232091542287548,-4.860340304167692e-17,-1.850371707708594e-17,0.7799831855043581,3e3c9c90d4bac045540185473414aa40f7966f692351a7d9e666f6a3732f0a3e
2,T3,240,-0.6391282161947853,1.4360497575907098e-16,0.0,0.7668840085855242,253373e04b8ac632497ef3239d6c6803335dfd8fc548c11ec3eabfba6bdfbfcb
3,T0,242,-0.5400317782063668,-2.850624554447868e-16,2.202095255454856e-17,0.8402115671206642,475d28e983d5f535baddd3729d16ca056f62b2f5ab152e65bc9e9351eb5383c7
3,T1,242,-0.4995400219072058,-8.076712739677901e-17,-3.6701587590914267e-17,0.8650996766464061,03d5829b3cec677489a124dd36ee85082b9f08563502618e2ef958008ee74259
3,T2,242,-0.5884115603972458,-2.0305583993289042e-16,3.670158759091427e-18,0.8067902117665863,acae939be6aabf58f89f95f73592fe9a0b2c5d4aba0679e07a2e101283854b5f
3,T3,242,-0.6212343225763233,1.0416377024275006e-17,2.5691111313639987e-17,0.7815871001376045,f27eb24dc8574e681134d9ff165a54389c3a0e8e4ca481eacc1e592d034ad94e
4,T0,225,-0.5759092516171229,-3.65822293633051e-16,0.0,0.8157084914919324,3ec6b4614892084a109e567c5e6198ad3235f43406f71021596a9ca796ffe2dc
4,T1,225,-0.5237853973613126,-3.468110972149583e-16,-2.3684757858670008e-17,0.8504176507392868,e36b0ed08ae08b5d6da1f1668fed6488665f89873c2d96d51197b9255045650b
4,T2,225,-0.5652444030710314,1.963476884448443e-16,-3.157967714489334e-17,0.8232003120852722,14a4d67e6435a4f04c0318497518152019e37814898dd91c26fc07a12f76bb08
4,T3,225,-0.6244421594210663,-3.009982018936099e-16,-6.908054375445418e-18,0.7788491270957999,2c334c57d09cd5828c64388e99cf50c41bf97514019f83f399aa7748ddd86db3
