contract,view,scope,n,median,q05,q25,minimum,physical_volume_retention_median,physical_volume_retention_q05,physical_volume_retention_q25,physical_volume_retention_minimum,extent_retention_min_axis_median,extent_retention_min_axis_q05,extent_retention_min_axis_q25,extent_retention_min_axis_minimum
C0,legacy,T0,375,0.9640053744431089,0.5315006285704375,0.8064136094515613,0.2215931276844982,0.9640053744431089,0.5315006285704375,0.8064136094515613,0.2215931276844982,0.7948717948717948,0.40206282231598683,0.5925925925925926,0.2601626016260163
C1A,detail,T0,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1A-tight,detail,T0,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1B,detail,T0,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1C,detail,T0,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2A,detail,T0,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2A,context,T0,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2B,detail,T0,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2B,context,T0,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C0,legacy,T1,375,0.8617927312589594,0.19852759844894183,0.6169849186084384,0.0,0.8617927312589594,0.19852759844894183,0.6169849186084384,0.0,0.7022168153555015,0.34594017094017093,0.5421963276836158,0.11290322580645161
C1A,detail,T1,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1A-tight,detail,T1,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1B,detail,T1,375,1.0,1.0,1.0,0.16306010928961748,1.0,1.0,1.0,0.16306010928961748,1.0,1.0,1.0,0.45918367346938777
C1C,detail,T1,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2A,detail,T1,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2A,context,T1,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2B,detail,T1,375,1.0,1.0,1.0,0.16306010928961748,1.0,1.0,1.0,0.16306010928961748,1.0,1.0,1.0,0.45918367346938777
C2B,context,T1,375,1.0,1.0,1.0,0.22316939890710383,1.0,1.0,1.0,0.22316939890710383,1.0,1.0,1.0,0.5306122448979592
C0,legacy,T2,375,0.7902338376891335,0.1206627393225331,0.4773012274488636,0.0,0.7902338376891335,0.1206627393225331,0.4773012274488636,0.0,0.6506024096385542,0.30348370927318297,0.5178571428571429,0.05405405405405406
C1A,detail,T2,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1A-tight,detail,T2,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1B,detail,T2,375,1.0,1.0,1.0,0.721763085399449,1.0,1.0,1.0,0.721763085399449,1.0,1.0,1.0,0.6571428571428571
C1C,detail,T2,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2A,detail,T2,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2A,context,T2,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2B,detail,T2,375,1.0,1.0,1.0,0.721763085399449,1.0,1.0,1.0,0.721763085399449,1.0,1.0,1.0,0.6571428571428571
C2B,context,T2,375,1.0,1.0,1.0,0.9540455616653575,1.0,1.0,1.0,0.9540455616653575,1.0,1.0,1.0,0.7714285714285715
C0,legacy,T3,375,0.732705689725747,0.08510429520388603,0.36116143039034904,0.0,0.732705689725747,0.08510429520388603,0.36116143039034904,0.0,0.6170212765957447,0.23437888198757764,0.4870657797487066,0.013333333333333334
C1A,detail,T3,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1A-tight,detail,T3,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1B,detail,T3,375,1.0,1.0,1.0,0.3220217469231688,1.0,1.0,1.0,0.3220217469231688,1.0,1.0,1.0,0.5000000000000003
C1C,detail,T3,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2A,detail,T3,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2A,context,T3,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2B,detail,T3,375,1.0,1.0,1.0,0.3220217469231688,1.0,1.0,1.0,0.3220217469231688,1.0,1.0,1.0,0.5000000000000003
C2B,context,T3,375,1.0,1.0,1.0,0.5245549050065719,1.0,1.0,1.0,0.5245549050065719,1.0,1.0,1.0,0.7391304347826086
C0,legacy,OVERALL,1500,0.8611731811516217,0.15616813140716337,0.5801572057432282,0.0,0.8611731811516217,0.15616813140716337,0.5801572057432282,0.0,0.6848018923713779,0.32,0.5367063492063493,0.013333333333333334
C1A,detail,OVERALL,1500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1A-tight,detail,OVERALL,1500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1B,detail,OVERALL,1500,1.0,1.0,1.0,0.16306010928961748,1.0,1.0,1.0,0.16306010928961748,1.0,1.0,1.0,0.45918367346938777
