contract,view,subgroup,scope,n,suspected_truncation_rate,severe_truncation_rate,sufficient_containment_rate,exact_full_support_containment_rate,retained_ftv_fraction_q05,minimum_margin_mm_median,minimum_margin_mm_min,source_boundary_censored_rate,upstream_censoring_adjusted_suspected_rate
C0,legacy,LD_TOP_QUARTILE,OVERALL,394,0.9568527918781726,0.7182741116751269,0.04314720812182741,0.04568527918781726,0.22117051922081912,-21.600000858306885,-68.40229910612106,0.02284263959390863,0.9568527918781726
C0,legacy,LD_TOP_QUARTILE,T0,97,0.979381443298969,0.6701030927835051,0.020618556701030927,0.020618556701030927,0.4403807327406868,-18.0,-48.00000190734863,0.010309278350515464,0.979381443298969
C0,legacy,LD_TOP_QUARTILE,T1,98,1.0,0.8061224489795918,0.0,0.0,0.2159087502935821,-24.6999990940094,-67.02800178527832,0.05102040816326531,1.0
C0,legacy,LD_TOP_QUARTILE,T2,101,0.9306930693069307,0.6633663366336634,0.06930693069306931,0.06930693069306931,0.2261541830186454,-21.600000858306885,-63.57480078935623,0.009900990099009901,0.9306930693069307
C0,legacy,LD_TOP_QUARTILE,T3,98,0.9183673469387755,0.7346938775510204,0.08163265306122448,0.09183673469387756,0.1473427467204488,-22.6500004529953,-68.40229910612106,0.02040816326530612,0.9183673469387755
C0,legacy,LD_TOP_10PCT,OVERALL,154,1.0,0.8506493506493507,0.0,0.0,0.19370861271305592,-26.40000081062317,-68.40229910612106,0.03896103896103896,1.0
C0,legacy,LD_TOP_10PCT,T0,39,1.0,0.8205128205128205,0.0,0.0,0.3260939248546268,-22.0,-48.00000190734863,0.02564102564102564,1.0
C0,legacy,LD_TOP_10PCT,T1,38,1.0,0.9210526315789473,0.0,0.0,0.2159087502935821,-30.86875033378601,-67.02800178527832,0.07894736842105263,1.0
C0,legacy,LD_TOP_10PCT,T2,38,1.0,0.868421052631579,0.0,0.0,0.16186568559092926,-30.5,-63.57480078935623,0.02631578947368421,1.0
C0,legacy,LD_TOP_10PCT,T3,39,1.0,0.7948717948717948,0.0,0.0,0.10983328138362064,-27.200034856796265,-68.40229910612106,0.02564102564102564,1.0
C1A,detail,LD_TOP_QUARTILE,OVERALL,394,0.0,0.0,1.0,1.0,1.0,35.77694973051548,4.999999999999972,0.02284263959390863,0.02284263959390863
C1A,detail,LD_TOP_QUARTILE,T0,97,0.0,0.0,1.0,1.0,1.0,32.74469941854477,6.615385345855572,0.010309278350515464,0.010309278350515464
C1A,detail,LD_TOP_QUARTILE,T1,98,0.0,0.0,1.0,1.0,1.0,34.274150013923645,11.0625,0.05102040816326531,0.05102040816326531
C1A,detail,LD_TOP_QUARTILE,T2,101,0.0,0.0,1.0,1.0,1.0,38.47994939684867,7.672224950790394,0.009900990099009901,0.009900990099009901
C1A,detail,LD_TOP_QUARTILE,T3,98,0.0,0.0,1.0,1.0,1.0,41.225,4.999999999999972,0.02040816326530612,0.02040816326530612
C1A,detail,LD_TOP_10PCT,OVERALL,154,0.0,0.0,1.0,1.0,1.0,31.70937446355819,6.615385345855572,0.03896103896103896,0.03896103896103896
C1A,detail,LD_TOP_10PCT,T0,39,0.0,0.0,1.0,1.0,1.0,30.43698022961614,6.615385345855572,0.02564102564102564,0.02564102564102564
C1A,detail,LD_TOP_10PCT,T1,38,0.0,0.0,1.0,1.0,1.0,30.2464573085308,11.0625,0.07894736842105263,0.07894736842105263
C1A,detail,LD_TOP_10PCT,T2,38,0.0,0.0,1.0,1.0,1.0,31.82500062584876,7.672224950790394,0.02631578947368421,0.02631578947368421
C1A,detail,LD_TOP_10PCT,T3,39,0.0,0.0,1.0,1.0,1.0,38.35416591167448,9.1875,0.02564102564102564,0.02564102564102564
C1A-tight,detail,LD_TOP_QUARTILE,OVERALL,394,0.0,0.0,1.0,1.0,1.0,5.0,4.999999999999943,0.02284263959390863,0.02284263959390863
C1A-tight,detail,LD_TOP_QUARTILE,T0,97,0.0,0.0,1.0,1.0,1.0,5.0,4.999999999999943,0.010309278350515464,0.010309278350515464
