scope,measurement,n,median,q25,q75,minimum,maximum
OVERALL,shape_x,1500,256.0,256.0,256.0,256.0,384.0
OVERALL,shape_y,1500,256.0,256.0,256.0,256.0,384.0
OVERALL,shape_z,1500,80.0,78.0,134.0,64.0,256.0
OVERALL,raw_dce_phase_count,1500,7.0,7.0,8.0,4.0,11.0
OVERALL,spacing_x_mm,1500,0.6640999913215637,0.625,0.703125,0.3125,1.328125
OVERALL,spacing_y_mm,1500,0.6640999913215637,0.625,0.703125,0.3125,1.328125
OVERALL,spacing_z_mm,1500,2.0,1.2000000476837158,2.200000047683716,0.7999969720840454,2.5
OVERALL,legacy_fov_x_mm,1500,63.75359916687012,60.0,67.5,30.0,127.5
OVERALL,legacy_fov_y_mm,1500,63.75359916687012,60.0,67.5,30.0,127.5
OVERALL,legacy_fov_z_mm,1500,64.0,38.400001525878906,70.4000015258789,25.599903106689453,80.0
OVERALL,acquisition_fov_x_mm,1500,170.6666717529297,160.0,190.00320434570312,100.0,429.99998474121094
OVERALL,acquisition_fov_y_mm,1500,170.6666717529297,160.0,190.00320434570312,100.0,429.99998474121094
OVERALL,acquisition_fov_z_mm,1500,160.0,160.0,160.80000638961792,128.0,246.399995803833
T0,shape_x,375,256.0,256.0,256.0,256.0,384.0
T0,shape_y,375,256.0,256.0,256.0,256.0,384.0
T0,shape_z,375,80.0,78.0,134.0,64.0,256.0
T0,raw_dce_phase_count,375,7.0,7.0,8.0,5.0,10.0
T0,spacing_x_mm,375,0.6640999913215637,0.625,0.703125,0.3125,1.328125
T0,spacing_y_mm,375,0.6640999913215637,0.625,0.703125,0.3125,1.328125
T0,spacing_z_mm,375,2.0,1.2000000476837158,2.049999952316284,0.7999969720840454,2.5
T0,legacy_fov_x_mm,375,63.75359916687012,60.0,67.5,30.0,127.5
T0,legacy_fov_y_mm,375,63.75359916687012,60.0,67.5,30.0,127.5
T0,legacy_fov_z_mm,375,64.0,38.400001525878906,65.5999984741211,25.599903106689453,80.0
T0,acquisition_fov_x_mm,375,175.00160217285156,160.0,190.00320434570312,100.0,420.0
