analysis,population,seed,arm,fold,view,target,variant,clinical_contract,selected_c,validation_auroc,validation_auprc,threshold,train_rows,validation_rows,test_rows,feature_dim,class_weight,c_grid
phenotype,full_808,2026,LOCAL0,0,T0,HR,P1,,10.0,0.5862930077691454,,0.4909599157756334,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,HER2,P1,,0.01,0.6455197132616488,,0.5280477871554862,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,subtype_4class,P1,,1.0,0.5834988735248507,0.3148022070181018,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,HR,P2,,0.001,0.4919533851276359,,0.4738155405416934,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,HER2,P2,,0.0001,0.5974910394265233,,0.5021217186837836,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,subtype_4class,P2,,0.0001,0.5455913149530172,0.3082905344985084,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,HR,P3,,100.0,0.5923973362930078,,0.9578186524547266,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,HER2,P3,,0.001,0.6172043010752688,,0.5115608195679276,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,subtype_4class,P3,,0.1,0.5406439969911023,0.2811043520319536,,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,HR,P4,,100.0,0.5435627081021088,,0.00030064128918922263,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,HER2,P4,,0.001,0.6702508960573477,,0.500596746509065,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,subtype_4class,P4,,10.0,0.558939594435636,0.29896566519308165,,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T0,HR,P5,,0.1,0.49750277469478354,,0.21588497080258234,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,0,T0,HER2,P5,,0.001,0.6548387096774193,,0.4991739655384538,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,0,T0,subtype_4class,P5,,0.001,0.5492329783633594,0.30676648008171525,,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,0,T1,HR,P1,,100.0,0.5493895671476138,,0.8069264387898454,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T1,HER2,P1,,0.001,0.5752688172043011,,0.5318169711727846,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T1,subtype_4class,P1,,0.0001,0.5524841281434552,0.2805699951599537,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T1,HR,P2,,0.0001,0.5593784683684795,,0.4933828269812911,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T1,HER2,P2,,0.1,0.6519713261648745,,0.533969168516886,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T1,subtype_4class,P2,,0.001,0.5729045225606334,0.31300705369044945,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T1,HR,P3,,100.0,0.5821309655937847,,0.8429232299406266,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
