seed,arm,view,target,model,clinical_contract,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,delta_auroc_vs_C+F,delta_auprc_vs_C+F,brier_improvement_vs_C+F,delta_auroc_vs_C+F+P1,delta_auprc_vs_C+F+P1,brier_improvement_vs_C+F+P1
2026,LOCAL0,T0,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,0.00864493996569482,-0.0026848982645223396,-0.007473382219283509,0.030566037735849205,0.08496089003447099,-0.03335520365835301
2026,LOCAL0,T0,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6880274442538593,0.538897485664505,0.646483704974271,0.2356217123236572,0.0,0.0,0.0,0.021921097770154385,0.08764578829899333,-0.025881821439069502
2026,LOCAL0,T0,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6661063464837049,0.4512516973655117,0.6393653516295026,0.2097398908845877,-0.021921097770154385,-0.08764578829899333,0.025881821439069502,0.0,0.0,0.0
2026,LOCAL0,T0,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6501886792452831,0.42899309442051436,0.602401372212693,0.21466424134081347,-0.03783876500857619,-0.10990439124399065,0.02095747098284373,-0.015917667238421807,-0.02225860294499732,-0.004924350456225773
2026,LOCAL0,T0,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.620377358490566,0.38873714243622326,0.5965694682675815,0.24395225667815673,-0.06765008576329334,-0.15016034322828176,-0.008330544354499536,-0.04572898799313896,-0.06251455492928842,-0.03421236579356904
2026,LOCAL0,T0-T1,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.00048027444253839757,0.01021505173753634,-0.045140466954625424,0.002024013722127127,0.06289150029086155,-0.04018043080189462
2026,LOCAL0,T0-T1,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6971526586620925,0.5259975356624463,0.7015437392795884,0.19795462758831528,0.0,0.0,0.0,0.0025042881646655246,0.052676448553325206,0.004960036152730801
2026,LOCAL0,T0-T1,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.694648370497427,0.47332108710912113,0.6259005145797598,0.20291466374104608,-0.0025042881646655246,-0.052676448553325206,-0.004960036152730801,0.0,0.0,0.0
2026,LOCAL0,T0-T1,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6699485420240137,0.44927222495201413,0.6468267581475129,0.21183274143650865,-0.027204116638078868,-0.0767253107104322,-0.013878113848193374,-0.024699828473413343,-0.024048862157106998,-0.008918077695462573
2026,LOCAL0,T0-T1,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6445969125214408,0.44205934875759956,0.6013722126929674,0.22551531090796387,-0.05255574614065173,-0.08393818690484678,-0.027560683319648588,-0.0500514579759862,-0.03126173835152157,-0.022600647166917787
2026,LOCAL0,T0-T2,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.029433962264150848,-0.003788477761201392,-0.05435960064823231,-0.0057975986277872815,0.04426565316495906,-0.03995061935792829
2026,LOCAL0,T0-T2,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.726106346483705,0.5400010651611841,0.6954545454545455,0.1887354938947084,0.0,0.0,0.0,0.023636363636363567,0.048054130926160454,0.014408981290304018
2026,LOCAL0,T0-T2,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.7024699828473414,0.4919469342350236,0.6476843910806175,0.2031444751850124,-0.023636363636363567,-0.048054130926160454,-0.014408981290304018,0.0,0.0,0.0
2026,LOCAL0,T0-T2,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6803087478559178,0.460450870350393,0.6073756432246997,0.21177807330702103,-0.045797598627787206,-0.07955019481079106,-0.023042579412312636,-0.02216123499142364,-0.03149606388463061,-0.008633598122008618
2026,LOCAL0,T0-T2,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6633619210977701,0.4337443519018348,0.6221269296740994,0.23194423727651603,-0.06274442538593483,-0.10625671325934927,-0.043208743381807635,-0.039108061749571266,-0.05820258233318881,-0.028799762091503617
2026,LOCAL0,T0-T3,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.018730703259005055,-0.003162366345117573,-0.05010146635999263,0.007890222984562767,0.06347393760962305,-0.03317712133159437
2026,LOCAL0,T0-T3,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.7154030874785592,0.5393749537451002,0.68147512864494,0.19299362818294807,0.0,0.0,0.0,0.026620926243567822,0.06663630395474063,0.016924345028398263
2026,LOCAL0,T0-T3,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6887821612349914,0.4727386497903596,0.6424528301886793,0.20991797321134634,-0.026620926243567822,-0.06663630395474063,-0.016924345028398263,0.0,0.0,0.0
2026,LOCAL0,T0-T3,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6746483704974271,0.4596078121536118,0.6270154373927959,0.2167414634540697,-0.04075471698113209,-0.07976714159148846,-0.02374783527112162,-0.014133790737564267,-0.013130837636747827,-0.006823490242723357
2026,LOCAL0,T0-T3,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6392109777015437,0.41832260156547446,0.5934819897084047,0.2745886523131471,-0.07619210977701552,-0.12105235217962579,-0.08159502413019903,-0.049571183533447694,-0.05441604822488516,-0.06467067910180077
2026,LOCAL3,T0,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,0.00864493996569482,-0.0026848982645223396,-0.007473382219283509,0.08144082332761593,0.1597911726918324,-0.004211610829577328
2026,LOCAL3,T0,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6880274442538593,0.538897485664505,0.646483704974271,0.2356217123236572,0.0,0.0,0.0,0.07279588336192111,0.16247607095635475,0.0032617713897061806
2026,LOCAL3,T0,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6152315608919382,0.37642141470815027,0.6163807890222984,0.23888348371336338,-0.07279588336192111,-0.16247607095635475,-0.0032617713897061806,0.0,0.0,0.0
2026,LOCAL3,T0,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6551286449399657,0.44083280806170044,0.6276157804459691,0.2117039634408972,-0.03289879931389361,-0.09806467760280457,0.023917748882759993,0.0398970840480275,0.06441139335355017,0.027179520272466173
2026,LOCAL3,T0,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6296740994854203,0.4225988332190876,0.5800171526586622,0.22299308119964723,-0.05835334476843901,-0.11629865244541743,0.01262863112400997,0.014442538593482102,0.04617741851093732,0.01589040251371615
2026,LOCAL3,T0-T1,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.00048027444253839757,0.01021505173753634,-0.045140466954625424,0.0006174957118354474,0.04511654617341421,-0.04337100915832204
2026,LOCAL3,T0-T1,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6971526586620925,0.5259975356624463,0.7015437392795884,0.19795462758831528,0.0,0.0,0.0,0.001097770154373845,0.03490149443587787,0.0017694577963033864
2026,LOCAL3,T0-T1,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6960548885077187,0.49109604122656847,0.63147512864494,0.19972408538461867,-0.001097770154373845,-0.03490149443587787,-0.0017694577963033864,0.0,0.0,0.0
2026,LOCAL3,T0-T1,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6745454545454547,0.45791485768747053,0.6215265866209263,0.20940608670315547,-0.022607204116637858,-0.0680826779749758,-0.01145145911484019,-0.021509433962264013,-0.033181183539097936,-0.009682001318536804
2026,LOCAL3,T0-T1,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6231903945111492,0.4163358619958161,0.5951972555746141,0.22954682293487136,-0.07396226415094331,-0.10966167366663021,-0.03159219534655608,-0.07286449399656947,-0.07476017923075234,-0.029822737550252693
2026,LOCAL3,T0-T2,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.029433962264150848,-0.003788477761201392,-0.05435960064823231,-0.004219554030874706,0.04914661100851325,-0.03829348193371046
2026,LOCAL3,T0-T2,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.726106346483705,0.5400010651611841,0.6954545454545455,0.1887354938947084,0.0,0.0,0.0,0.025214408233276142,0.052935088769714644,0.01606611871452185
2026,LOCAL3,T0-T2,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.7008919382504288,0.4870659763914694,0.6319897084048027,0.20480161260923024,-0.025214408233276142,-0.052935088769714644,-0.01606611871452185,0.0,0.0,0.0
2026,LOCAL3,T0-T2,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6884048027444253,0.4719474950516703,0.6253859348198971,0.20841881670588205,-0.0377015437392797,-0.0680535701095138,-0.01968332281117366,-0.012487135506003555,-0.01511848133979915,-0.0036172040966518104
2026,LOCAL3,T0-T2,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6480960548885077,0.4178870248232716,0.6221269296740994,0.2586040090667988,-0.07801029159519723,-0.12211404033791246,-0.06986851517209042,-0.05279588336192109,-0.06917895156819781,-0.05380239645756857
2026,LOCAL3,T0-T3,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.018730703259005055,-0.003162366345117573,-0.05010146635999263,0.02222984562607222,0.07503848104457889,-0.028374154128031404
2026,LOCAL3,T0-T3,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.7154030874785592,0.5393749537451002,0.68147512864494,0.19299362818294807,0.0,0.0,0.0,0.040960548885077275,0.07820084738969646,0.021727312231961227
2026,LOCAL3,T0-T3,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6744425385934819,0.4611741063554038,0.6283876500857632,0.2147209404149093,-0.040960548885077275,-0.07820084738969646,-0.021727312231961227,0.0,0.0,0.0
