seed,arm,view,target,variant,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier
2026,LOCAL0,T0,pCR,C+F+P1_res,ftv_complete_375,375,110,265,2,0.6579759862778731,0.4445195356873298,0.6200686106346484,0.21834451383135292
2026,LOCAL0,T0,pCR,C+F+P3_res,ftv_complete_375,375,110,265,2,0.6479931389365352,0.45462252855783847,0.5740994854202401,0.21081240863635728
2026,LOCAL0,T0,pCR,P1_res,ftv_complete_375,375,110,265,2,0.5016466552315609,0.2949178577841188,0.5466552315608919,0.2892203026648158
2026,LOCAL0,T0,pCR,P3_res,ftv_complete_375,375,110,265,2,0.49557461406518005,0.3366799185362856,0.5214408233276158,0.23656459264391924
2026,LOCAL0,T0-T1,pCR,C+F+P1_res,ftv_complete_375,375,110,265,2,0.6784905660377358,0.47875076889484425,0.6286449399656946,0.20876526578140328
2026,LOCAL0,T0-T1,pCR,C+F+P3_res,ftv_complete_375,375,110,265,2,0.6709090909090909,0.4735701481145609,0.6230703259005146,0.21024616373168958
2026,LOCAL0,T0-T1,pCR,P1_res,ftv_complete_375,375,110,265,2,0.5415094339622641,0.3310645256022052,0.5439108061749571,0.2328693343905208
2026,LOCAL0,T0-T1,pCR,P3_res,ftv_complete_375,375,110,265,2,0.5849399656946827,0.4005459753527194,0.5598627787307032,0.2654096629184138
2026,LOCAL0,T0-T2,pCR,C+F+P1_res,ftv_complete_375,375,110,265,2,0.697392795883362,0.4735435144002375,0.6373070325900514,0.2049744510472242
2026,LOCAL0,T0-T2,pCR,C+F+P3_res,ftv_complete_375,375,110,265,2,0.6643910806174956,0.4369237231639751,0.6124356775300172,0.21652325280507126
2026,LOCAL0,T0-T2,pCR,P1_res,ftv_complete_375,375,110,265,2,0.539622641509434,0.337778378154056,0.5116638078902229,0.2532001593482987
2026,LOCAL0,T0-T2,pCR,P3_res,ftv_complete_375,375,110,265,2,0.5563293310463122,0.33481100491475363,0.5433962264150943,0.2636362118797838
2026,LOCAL0,T0-T3,pCR,C+F+P1_res,ftv_complete_375,375,110,265,2,0.68590051457976,0.45870495114688214,0.616295025728988,0.21174830673929584
2026,LOCAL0,T0-T3,pCR,C+F+P3_res,ftv_complete_375,375,110,265,2,0.6606518010291595,0.45365669600357655,0.6411663807890222,0.2270416162561991
2026,LOCAL0,T0-T3,pCR,P1_res,ftv_complete_375,375,110,265,2,0.5309433962264151,0.32615108949202537,0.5330188679245282,0.259760937744786
2026,LOCAL0,T0-T3,pCR,P3_res,ftv_complete_375,375,110,265,2,0.589811320754717,0.38478184989500547,0.6042024013722127,0.2440855191913701
2026,LOCAL3,T0,pCR,C+F+P1_res,ftv_complete_375,375,110,265,2,0.6420926243567753,0.4377532139636646,0.6212692967409948,0.21663113106797588
2026,LOCAL3,T0,pCR,C+F+P3_res,ftv_complete_375,375,110,265,2,0.6407204116638079,0.43493301130695966,0.6135506003430531,0.21781594807511995
2026,LOCAL3,T0,pCR,P1_res,ftv_complete_375,375,110,265,2,0.5137564322469983,0.32113686869422875,0.5321612349914238,0.24736348131770972
2026,LOCAL3,T0,pCR,P3_res,ftv_complete_375,375,110,265,2,0.5121440823327617,0.33262194091370484,0.5076329331046312,0.23295061641892129
2026,LOCAL3,T0-T1,pCR,C+F+P1_res,ftv_complete_375,375,110,265,2,0.6908061749571184,0.49090443358945957,0.6691252144082332,0.20630198076559714
2026,LOCAL3,T0-T1,pCR,C+F+P3_res,ftv_complete_375,375,110,265,2,0.6697427101200686,0.47813509311146046,0.6373927958833618,0.21334474761678612
2026,LOCAL3,T0-T1,pCR,P1_res,ftv_complete_375,375,110,265,2,0.554271012006861,0.370799822886114,0.5465694682675815,0.2395335510737958
2026,LOCAL3,T0-T1,pCR,P3_res,ftv_complete_375,375,110,265,2,0.5782504288164665,0.383047687958073,0.5679245283018868,0.2574486715997709
2026,LOCAL3,T0-T2,pCR,C+F+P1_res,ftv_complete_375,375,110,265,2,0.6968439108061749,0.47670670363224693,0.6509433962264151,0.20620524316229094
2026,LOCAL3,T0-T2,pCR,C+F+P3_res,ftv_complete_375,375,110,265,2,0.6511835334476844,0.43202828650576397,0.5939108061749572,0.22476693455922736
