seed,arm,view,target,variant,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier
2026,LOCAL0,T0->T1,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.5262778730703259,0.32947862778150755,0.48704974271012,0.27485844893342803
2026,LOCAL0,T0->T1,pCR,DELTA_MEAN,full_808,808,275,533,2,0.5184376599010746,0.3729466245537861,0.491570868156234,0.24600072496622472
2026,LOCAL0,T0->T1,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.5251114922813036,0.31215014887484954,0.5025728987993139,0.2938586771742474
2026,LOCAL0,T0->T1,pCR,DELTA_STD,full_808,808,275,533,2,0.5288350673716526,0.3636503332819385,0.5227801466825857,0.2445344128975989
2026,LOCAL0,T0->T1,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.5149571183533448,0.3332933126148125,0.5328473413379073,0.28710548678015063
2026,LOCAL0,T0->T1,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5346477912331571,0.3620955628641176,0.5139894252089374,0.27897578576072185
2026,LOCAL0,T1->T2,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.5076843910806176,0.3269396515077363,0.49648370497427097,0.24915984907560731
2026,LOCAL0,T1->T2,pCR,DELTA_MEAN,full_808,808,275,533,2,0.5093638069247824,0.35397011833779835,0.5032065495480129,0.23587459187335008
2026,LOCAL0,T1->T2,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.5313036020583191,0.3343240988389716,0.5219554030874786,0.26482232307544074
2026,LOCAL0,T1->T2,pCR,DELTA_STD,full_808,808,275,533,2,0.510591847177213,0.3533324423661601,0.4938359201773836,0.24571073093695442
2026,LOCAL0,T1->T2,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.5877873070325901,0.3645473566240436,0.5877358490566038,0.24297671326571874
2026,LOCAL0,T1->T2,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5306634828586049,0.3565706439942591,0.5117550741940986,0.3171808544399384
2026,LOCAL0,T2->T3,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.5629502572898799,0.35175079180236735,0.5387650085763294,0.2504391778582601
2026,LOCAL0,T2->T3,pCR,DELTA_MEAN,full_808,808,275,533,2,0.5398123827392121,0.34953694792789486,0.5548217636022514,0.23290859500610206
2026,LOCAL0,T2->T3,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.5539965694682676,0.36255186057800015,0.5227272727272727,0.241465681371767
2026,LOCAL0,T2->T3,pCR,DELTA_STD,full_808,808,275,533,2,0.5016135084427767,0.3340624002516648,0.4949752686338052,0.23847590818260023
2026,LOCAL0,T2->T3,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.5450085763293311,0.35287548793567575,0.5135506003430532,0.25808837351936087
2026,LOCAL0,T2->T3,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5823980897151628,0.3924966246247886,0.5658741258741259,0.236321365224949
2026,LOCAL3,T0->T1,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.5097427101200686,0.2978530719016455,0.5095197255574614,0.2775801403437853
2026,LOCAL3,T0->T1,pCR,DELTA_MEAN,full_808,808,275,533,2,0.5189493433395872,0.351097592730955,0.5150434930922736,0.27735003541337067
2026,LOCAL3,T0->T1,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.5126243567753003,0.3132490662462929,0.5110634648370498,0.2661133217982737
2026,LOCAL3,T0->T1,pCR,DELTA_STD,full_808,808,275,533,2,0.5288077775882654,0.358044152772806,0.5178679856728637,0.2418752880668525
2026,LOCAL3,T0->T1,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.5208576329331047,0.3226606563705217,0.5311320754716982,0.3096882179119513
2026,LOCAL3,T0->T1,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5243800102336688,0.3598928785589491,0.505410199556541,0.28413222203915695
2026,LOCAL3,T1->T2,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.49145797598627794,0.2971989393836083,0.46174957118353344,0.2460685232142301
2026,LOCAL3,T1->T2,pCR,DELTA_MEAN,full_808,808,275,533,2,0.49204161691966575,0.3360872470343581,0.5090772641992154,0.2687291408916482
2026,LOCAL3,T1->T2,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.49296740994854205,0.2942548867037324,0.5091766723842195,0.3118536278800007
2026,LOCAL3,T1->T2,pCR,DELTA_STD,full_808,808,275,533,2,0.5200750469043152,0.3479629688600235,0.5216885553470919,0.2791371509480461
2026,LOCAL3,T1->T2,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.5497427101200687,0.3295291184925973,0.5404802744425385,0.26357452120072183
2026,LOCAL3,T1->T2,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5454818352379328,0.36835665964517045,0.5356234009892546,0.2798772473407544
2026,LOCAL3,T2->T3,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.5484048027444254,0.34799074356277376,0.5399656946826759,0.24793626639255678
2026,LOCAL3,T2->T3,pCR,DELTA_MEAN,full_808,808,275,533,2,0.5432508954460175,0.3715971145059827,0.5419102848371141,0.24594721719469984
2026,LOCAL3,T2->T3,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.5434305317324185,0.34414293820036834,0.5099485420240137,0.2603779947999905
2026,LOCAL3,T2->T3,pCR,DELTA_STD,full_808,808,275,533,2,0.4901722667576326,0.32676710246346824,0.4980897151628859,0.24089682606038654
2026,LOCAL3,T2->T3,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.5890222984562609,0.38981007112668853,0.5476843910806175,0.24937537912438476
2026,LOCAL3,T2->T3,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5705611461709023,0.38455057242446494,0.5702166126556371,0.2381192443776026
3026,LOCAL0,T0->T1,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.5374614065180103,0.3394008778346097,0.49605488850771867,0.25143405327539026
3026,LOCAL0,T0->T1,pCR,DELTA_MEAN,full_808,808,275,533,2,0.5221900051168343,0.35571343337172723,0.5134947978850418,0.24107644431523287
3026,LOCAL0,T0->T1,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.49396226415094335,0.30189287362472195,0.4922813036020583,0.2838520694669957
3026,LOCAL0,T0->T1,pCR,DELTA_STD,full_808,808,275,533,2,0.5323759167661606,0.3798561081962242,0.5101108647450111,0.2549984757737217
