seed,arm,view,target,variant,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier
2026,LOCAL0,T0,HER2,CORE,oracle_pair_CORE,808,201.0,607.0,2,0.49770095158474514,0.25164659580379933,0.5123312596818215,
2026,LOCAL0,T0,HER2,CORE_PERI,oracle_pair_CORE_PERI,808,201.0,607.0,2,0.5095937118362062,0.2586978344489342,0.5088232642389371,
2026,LOCAL0,T0,HER2,FIXED_P3,oracle_pair_CORE,808,201.0,607.0,2,0.5131918660404731,0.2682978025222824,0.5182284623013433,
2026,LOCAL0,T0,HER2,FIXED_P3,oracle_pair_CORE_PERI,808,201.0,607.0,2,0.5131918660404731,0.2682978025222824,0.5182284623013433,
2026,LOCAL0,T0,HER2,FIXED_P3,oracle_pair_LOCAL_REST,757,187.0,570.0,2,0.5273759264471339,0.2885900808740587,0.5269443662632517,
2026,LOCAL0,T0,HER2,FIXED_P3,oracle_pair_PERI10,808,201.0,607.0,2,0.5131918660404731,0.2682978025222824,0.5182284623013433,
2026,LOCAL0,T0,HER2,FIXED_P3,oracle_pair_PERI20,808,201.0,607.0,2,0.5131918660404731,0.2682978025222824,0.5182284623013433,
2026,LOCAL0,T0,HER2,LOCAL_REST,oracle_pair_LOCAL_REST,757,187.0,570.0,2,0.5228726897457547,0.2799853392543065,0.5185946148794446,
2026,LOCAL0,T0,HER2,PERI10,oracle_pair_PERI10,808,201.0,607.0,2,0.5354200988467874,0.28162225847092043,0.5402231019531667,
2026,LOCAL0,T0,HER2,PERI20,oracle_pair_PERI20,808,201.0,607.0,2,0.5342890162039883,0.27664718709007163,0.5570582015785979,
2026,LOCAL0,T0,HR,CORE,oracle_pair_CORE,808,453.0,355.0,2,0.5643938687311507,0.6241831676873818,0.539623169480459,
2026,LOCAL0,T0,HR,CORE_PERI,oracle_pair_CORE_PERI,808,453.0,355.0,2,0.5588533407953238,0.6121971200606324,0.5394956938096571,
2026,LOCAL0,T0,HR,FIXED_P3,oracle_pair_CORE,808,453.0,355.0,2,0.5251127071479651,0.5837115545337488,0.5115412119516214,
2026,LOCAL0,T0,HR,FIXED_P3,oracle_pair_CORE_PERI,808,453.0,355.0,2,0.5251127071479651,0.5837115545337488,0.5115412119516214,
2026,LOCAL0,T0,HR,FIXED_P3,oracle_pair_LOCAL_REST,757,428.0,329.0,2,0.48351702979859673,0.5588922786541579,0.48100303951367784,
2026,LOCAL0,T0,HR,FIXED_P3,oracle_pair_PERI10,808,453.0,355.0,2,0.5251127071479651,0.5837115545337488,0.5115412119516214,
2026,LOCAL0,T0,HR,FIXED_P3,oracle_pair_PERI20,808,453.0,355.0,2,0.5251127071479651,0.5837115545337488,0.5115412119516214,
2026,LOCAL0,T0,HR,LOCAL_REST,oracle_pair_LOCAL_REST,757,428.0,329.0,2,0.5157941084566655,0.58110055629058,0.535962844075789,
2026,LOCAL0,T0,HR,PERI10,oracle_pair_PERI10,808,453.0,355.0,2,0.5430028293380593,0.6062166408720426,0.5317942977956036,
2026,LOCAL0,T0,HR,PERI20,oracle_pair_PERI20,808,453.0,355.0,2,0.520399216490999,0.5946635515773706,0.5161738643783229,
2026,LOCAL0,T0,pCR,CORE,oracle_pair_CORE,808,275.0,533.0,2,0.514255500596964,0.35541611386787464,0.5024697253965547,0.27657693369824154
2026,LOCAL0,T0,pCR,CORE_PERI,oracle_pair_CORE_PERI,808,275.0,533.0,2,0.515544942862016,0.361336405796037,0.5137267610438342,0.2515662583331237
2026,LOCAL0,T0,pCR,FIXED_P3,oracle_pair_CORE,808,275.0,533.0,2,0.5029370629370629,0.3554211520246775,0.5061743134913866,0.3076385676081315
2026,LOCAL0,T0,pCR,FIXED_P3,oracle_pair_CORE_PERI,808,275.0,533.0,2,0.5029370629370629,0.3554211520246775,0.5061743134913866,0.3076385676081315
2026,LOCAL0,T0,pCR,FIXED_P3,oracle_pair_LOCAL_REST,757,264.0,493.0,2,0.5398380355276906,0.3831587599878997,0.5295039645952425,0.2738077463800122
2026,LOCAL0,T0,pCR,FIXED_P3,oracle_pair_PERI10,808,275.0,533.0,2,0.5029370629370629,0.3554211520246775,0.5061743134913866,0.3076385676081315
2026,LOCAL0,T0,pCR,FIXED_P3,oracle_pair_PERI20,808,275.0,533.0,2,0.5029370629370629,0.3554211520246775,0.5061743134913866,0.3076385676081315
2026,LOCAL0,T0,pCR,LOCAL_REST,oracle_pair_LOCAL_REST,757,264.0,493.0,2,0.5346210584547298,0.38704167261928096,0.5220857151638084,0.2905747076821403
