status,stage,seed,arm,analysis,view,target,variant,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,stage_a_baseline_seed,stage_a_baseline_arm,stage_a_baseline_variant,baseline_auroc,baseline_auprc,baseline_balanced_accuracy,baseline_brier,delta_auroc,delta_auprc,delta_balanced_accuracy,brier_improvement
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,phenotype,T0,HER2,DUAL_MEAN_STD_192,full_808,808,201.0,607.0,2,0.5199045956379552,0.25944670625146915,0.5183923873220389,,2026,LOCAL3,P1,0.5328546722729024,0.2693426273411633,0.5378666797806684,,-0.012950076634947183,-0.00989592108969417,-0.019474292458629527,
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,phenotype,T0,HR,DUAL_MEAN_STD_192,full_808,808,453.0,355.0,2,0.5464602182632217,0.5989957332762681,0.5357491527531636,,2026,LOCAL3,P1,0.5296272113919722,0.5879690078897071,0.5373348257314305,,0.016833006871249445,0.01102672538656102,-0.0015856729782669499,
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,mri_only_pcr,T0,pCR,DUAL_MEAN_STD_192,ftv_complete_375,375,110.0,265.0,2,0.4767066895368782,0.2977253159757697,0.4662092624356775,0.30907829684793325,2026,LOCAL3,P1,0.5017495711835335,0.3080035557671906,0.4943396226415094,0.258439426160558,-0.025042881646655246,-0.010278239791420896,-0.028130360205831872,-0.05063887068737527
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,mri_only_pcr,T0,pCR,DUAL_MEAN_STD_192,full_808,808,275.0,533.0,2,0.5250076752515777,0.36143799742306926,0.52389220535562,0.2612474216229706,2026,LOCAL3,P1,0.5208732730683949,0.3489863499972896,0.5192222411734607,0.2476700674293039,0.004134402183182728,0.012451647425779644,0.004669964182159259,-0.013577354193666707
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,phenotype,T0,subtype_4class,DUAL_MEAN_STD_192,full_808,808,,,4,0.5208878079918654,0.2623850200930957,0.26469122669928047,,2026,LOCAL3,P1,0.5250180044058433,0.2659484869725969,0.2610306421991133,,-0.004130196413977938,-0.0035634668795011537,0.003660584500167152,
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,mri_only_pcr,T0-T1,pCR,DUAL_MEAN_STD_192,ftv_complete_375,375,110.0,265.0,2,0.4986277873070326,0.29449970728088215,0.49408233276157804,0.2990647489547742,2026,LOCAL3,P1,0.5935849056603774,0.3925218842937463,0.5886792452830188,0.2430240129746749,-0.09495711835334475,-0.09802217701286414,-0.09459691252144081,-0.05604073598009929
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,mri_only_pcr,T0-T1,pCR,DUAL_MEAN_STD_192,full_808,808,275.0,533.0,2,0.5360122804025244,0.36079656925941794,0.5349855023025755,0.2921164585165413,2026,LOCAL3,P1,0.5365580760702713,0.3645629015345259,0.524577861163227,0.2505405768780644,-0.0005457956677469289,-0.0037663322751079753,0.010407641139348445,-0.041575881638476864
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,mri_only_pcr,T0-T2,pCR,DUAL_MEAN_STD_192,ftv_complete_375,375,110.0,265.0,2,0.5215094339622641,0.31509242039129187,0.49099485420240135,0.2934725079428939,2026,LOCAL3,P1,0.5541680960548885,0.3593939996388667,0.5393653516295025,0.2604831455152369,-0.03265866209262436,-0.04430157924757483,-0.048370497427101145,-0.03298936242765704
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,mri_only_pcr,T0-T2,pCR,DUAL_MEAN_STD_192,full_808,808,275.0,533.0,2,0.5698857240320655,0.3908304335349542,0.5504008186935017,0.26218625488049363,2026,LOCAL3,P1,0.5069895957700836,0.3531494750518956,0.5078185229404741,0.2668917231208413,0.06289612826198188,0.037680958483058635,0.04258229575302752,0.004705468240347677
COMPLETE,B,2026,RESPONSE_PHENOTYPE_DUAL_STATISTIC_STATE,mri_only_pcr,T0-T3,pCR,DUAL_MEAN_STD_192,ftv_complete_375,375,110.0,265.0,2,0.5144768439108062,0.3092272505628174,0.4921955403087478,0.2859186574085011,2026,LOCAL3,P1,0.5666552315608919,0.3845999491014465,0.5309605488850772,0.2569357695464067,-0.052178387650085756,-0.0753726985386291,-0.03876500857632936,-0.02898288786209441
