transition_scope,fold,n_patients,n_transitions,learned_layer_norm_mse,copy_layer_norm_mse,learned_raw_mse,copy_raw_mse,learned_cosine_similarity,copy_cosine_similarity,learned_cosine_error,copy_cosine_error,normalized_transition_gain,percentage_improvement
T0->T1,0,162,162,0.20505448978410457,1.5351891139443907,0.03473629658707462,0.30522936815940926,0.8940390903700551,0.23403076818583246,0.10596090962994473,0.7659692318141675,0.8601616537747764,86.01616537747762
T0->T1,1,162,162,0.1655563956960561,1.7552289095965685,0.024634756053604403,0.28406374264095063,0.9174799168582142,0.12177307276497297,0.08252008314178581,0.878226927235027,0.9052140115531147,90.52140115531147
T0->T1,2,162,162,0.16730164313186252,1.5090890472784542,0.035613062936736106,0.2859280436270088,0.9146884689861003,0.24562017128789465,0.08531153101389966,0.7543798287121054,0.885793956677162,88.5793956677162
T0->T1,3,161,161,0.2324306152431663,1.4555227466080056,0.047793450926503035,0.29308413623570273,0.860105704100484,0.2667880051086202,0.1398942958995159,0.7332119948913798,0.8114449072377361,81.14449072377361
T0->T1,4,161,161,0.16723466143595234,1.4954953362600822,0.03576667362532909,0.2161316998881843,0.9130364744292081,0.2514137884577822,0.08696352557079175,0.7485862115422178,0.8863433511657661,88.63433511657662
T1->T2,0,162,162,0.2375480802419709,1.498951491858502,0.04013595344384838,0.30669085010493596,0.8774273679720929,0.2516234289696225,0.12257263202790701,0.7483765710303775,0.8304926196179744,83.04926196179744
T1->T2,1,162,162,0.2119125206820474,1.7281587711080357,0.03082740123650663,0.2868037296244821,0.8945842850542759,0.134770809157281,0.10541571494572402,0.865229190842719,0.8732260698377305,87.32260698377304
T1->T2,2,162,162,0.20365062223631225,1.471170993850617,0.04199426497112131,0.28404629044215596,0.896826310509277,0.26466209584221345,0.10317368949072309,0.7353379041577865,0.8549571357791692,85.49571357791692
T1->T2,3,161,161,0.26167271448032925,1.3768964735237006,0.05252528475255178,0.29703120432604196,0.8462622401515144,0.30596540629075003,0.15373775984848562,0.6940345937092499,0.7701977369529746,77.01977369529746
T1->T2,4,161,161,0.20794497003635348,1.4760286352830256,0.04254225573776076,0.22445619502753805,0.8925090913997854,0.26159382677895576,0.10749090860021455,0.7384061732210442,0.8539298155615792,85.39298155615793
T2->T3,0,162,162,0.26008863710979996,1.5372106906113014,0.042938029005717714,0.30764730196268564,0.8659094407186787,0.23266778317017617,0.13409055928132127,0.7673322168298238,0.8188382012681407,81.88382012681406
T2->T3,1,162,162,0.24129221183037558,1.7064170644630599,0.034950039836223475,0.29149423236289523,0.8798241188161422,0.14579566018367154,0.1201758811838578,0.8542043398163284,0.8526282761336245,85.26282761336245
T2->T3,2,162,162,0.23609065858587808,1.4879578316848754,0.04743712465395731,0.28868187602637185,0.8804209548335025,0.256339316670422,0.11957904516649741,0.7436606833295779,0.8333546782108905,83.33546782108905
T2->T3,3,161,161,0.2836449701944638,1.3689027408104366,0.05603549282515009,0.29924373486320804,0.8362650093769521,0.3100489863288577,0.16373499062304786,0.6899510136711423,0.7573756237319393,75.73756237319394
T2->T3,4,161,161,0.24478124066685417,1.4812102544018029,0.0481919539400508,0.23103909824449653,0.8748301072542981,0.2592892706889329,0.1251698927457018,0.7407107293110671,0.8281589135495793,82.81589135495793
ALL,0,162,486,0.23423040237862516,1.5237837654713982,0.03927009301221357,0.30652250674234366,0.8791252996869423,0.23944066010854367,0.12087470031305768,0.7605593398914563,0.8364974915536304,83.64974915536304
ALL,1,162,486,0.20625370940282636,1.729934915055888,0.030137399042111504,0.287453901542776,0.8972961069095441,0.13411318070197517,0.10270389309045588,0.8658868192980249,0.8770227858414898,87.70227858414898
ALL,2,162,486,0.20234764131801763,1.4894059576046488,0.04168148418727157,0.2862187366985122,0.89731191144296,0.25554052793351,0.10268808855704005,0.74445947206649,0.8580352568890739,85.80352568890738
ALL,3,161,483,0.25924943330598643,1.400440653647381,0.0521180761680683,0.29645302514165095,0.8475443178763169,0.2942674659094093,0.15245568212368313,0.7057325340905908,0.7796727559742166,77.96727559742166
ALL,4,161,483,0.20665362404638665,1.484244741981637,0.04216696110104688,0.22387566438673961,0.8934585576944306,0.25743229530855694,0.10654144230556938,0.7425677046914431,0.8561440267589749,85.61440267589748
